	cat_ctx_control	podtreck_control	iri_young_sham
-	NA	14.00860274285389	NA
0610005C13RIK	NA	4.530076668049264	5.078228425640273
0610006L08RIK	NA	2.163229595664181	NA
0610007P14RIK	NA	NA	3.4052218909905343
0610009B22RIK	NA	4.4368562336214055	5.195183391437435
0610009E02RIK	NA	NA	0.7797485924472194
0610009L18RIK	NA	2.1849591701038538	3.0175184209840364
0610009O20RIK	NA	NA	4.991291471172686
0610010F05RIK	NA	1.7503000890164084	2.449549805862539
0610010K14RIK	NA	2.82558671438708	NA
0610011F06RIK	NA	NA	7.848836326556142
0610012G03RIK	NA	4.337539860800539	6.938000406552373
0610025J13RIK	NA	NA	0.9254159189170658
0610031O16RIK	NA	1.563774097946321	2.819911658059793
0610033M10RIK	NA	0.609287198697032	NA
0610037L13RIK	NA	NA	3.3353249572195973
0610038B21RIK	NA	NA	0.8850928564196702
0610040B10RIK	NA	NA	1.5950258476978227
0610040F04RIK	NA	1.337092765019296	1.412533803402572
0610040J01RIK	NA	3.447862430169474	4.641699886379755
0610043K17RIK	NA	1.5512886052950356	2.659087121670613
1110001J03RIK	NA	NA	6.378254787274706
1110002L01RIK	NA	1.5653622772937859	0.9000384331366588
1110004E09RIK	NA	NA	4.557395781159685
1110006O24RIK	NA	0.7673972515778521	NA
1110007C09RIK	NA	NA	4.8077552021555965
1110008F13RIK	NA	NA	5.154151496190068
1110008L16RIK	NA	NA	2.774904941693414
1110008P14RIK	NA	2.16846165060177	3.585577339697363
1110012L19RIK	NA	NA	3.5220420760594435
1110019B22RIK	NA	1.8713261414468274	NA
1110019D14RIK	NA	1.8422511796677183	2.1589506038206157
1110020A21RIK	NA	NA	1.4303712434371254
1110025M09RIK	NA	0.9129834997967349	NA
1110032A03RIK	NA	2.8658287618213674	4.218680699036228
1110034G24RIK	NA	NA	1.80696778536198
1110037F02RIK	NA	NA	2.966646942748856
1110038B12RIK	NA	2.244432244958162	3.265127568525618
1110051M20RIK	NA	1.446653341437566	2.630357847756178
1110054M08RIK	NA	NA	2.314131069128576
1110057K04RIK	NA	NA	3.779445041571968
1110058L19RIK	NA	NA	4.45345026475103
1190002F15RIK	NA	NA	0.9775608329520821
1190002N15RIK	NA	NA	1.9949104142527236
1190007I07RIK	NA	2.4248964107451836	3.933541661061911
1200014J11RIK	NA	NA	1.8239864357073607
1300002E11RIK	NA	1.5351618459317005	2.241835199421397
1300014J16RIK	NA	0.3065121350965175	NA
1500011B03RIK	NA	1.5466118288087662	2.533326381230208
1500011K16RIK	NA	NA	5.159567652738947
1500012F01RIK	NA	NA	2.6560085711208647
1500015A07RIK	NA	0.6632603941394338	1.4043195643840576
1500015O10RIK	NA	NA	0.8200167903872077
1500026H17RIK	NA	1.6610069301772346	1.5507343635750346
1600002H07RIK	NA	NA	1.3332240058380835
1600002K03RIK	NA	NA	2.8896963348928004
1600020E01RIK	NA	0.9625125366735038	2.5752531643247343
1700001L05RIK	NA	NA	1.263373509740026
1700007L15RIK	NA	1.755955843449308	2.3988205909095455
1700008J07RIK	NA	1.4261898374052107	1.1691650625681127
1700009J07RIK	NA	NA	0.8797269233704714
1700009P17RIK	NA	NA	2.6593042733271504
1700011H14RIK	NA	NA	6.298444871515154
1700016C15RIK	NA	1.582949075923534	4.90749295134694
1700019G17RIK	NA	NA	2.218019926958818
1700020I14RIK	NA	NA	4.005679482259165
1700021F05RIK	NA	NA	4.906891787428662
1700021K19RIK	NA	NA	3.107851672375267
1700022N22RIK	NA	NA	2.0378362282745335
1700024P16RIK	NA	NA	1.518637270378255
1700028J19RIK	NA	1.2332040111880822	2.6797070413116812
1700029I15RIK	NA	NA	1.159446674103996
1700029J07RIK	NA	0.834414182968264	1.4790579178601908
1700030C10RIK	NA	0.5313340602049291	NA
1700034P13RIK	NA	NA	0.9115875791705929
1700037H04RIK	NA	2.6660336369210236	4.168878166285411
1700040L02RIK	NA	NA	3.373602309445866
1700048M11RIK	NA	NA	0.7188169950775883
1700049G17RIK	NA	NA	1.310440496725074
1700052K11RIK	NA	0.7550703237202147	0.8113425576268075
1700052N19RIK	NA	NA	1.8389742242973284
1700055N04RIK	NA	NA	0.8693530011977161
1700058P15RIK	NA	NA	1.0427505093398675
1700086O06RIK	NA	0.8440807006143395	1.3644546344257111
1700094D03RIK	NA	0.8082138729217988	NA
1700096K18RIK	NA	1.2347096024212711	1.9265874998505197
1700101I11RIK	NA	NA	1.570357594130262
1700102H20RIK	NA	0.781033903211498	NA
1700109H08RIK	NA	NA	0.7466846507886081
1700112D23RIK	NA	NA	1.0505275421033995
1700113A16RIK	NA	2.036935798334714	1.5235678002836028
1700119H24RIK	NA	1.0023377663494468	1.4729516283899127
1700120K04RIK	NA	NA	0.5605071460530769
1810011O10RIK	NA	NA	3.6798384888940183
1810012K08RIK	NA	NA	1.4139937341697177
1810013L24RIK	NA	2.3978391939214228	3.9725617526585926
1810014B01RIK	NA	1.8163677308362765	1.8291276218698445
1810017P11RIK	NA	1.5113079673885566	NA
1810019D21RIK	NA	2.2638665491025454	4.1604734510550925
1810021B22RIK	NA	1.5108690427317149	2.334463216675441
1810022K09RIK	NA	NA	4.359629383544132
1810024B03RIK	NA	NA	1.0011770615632105
1810026J23RIK	NA	NA	4.681286610212858
1810032O08RIK	NA	NA	1.9551304494941473
1810034E14RIK	NA	1.6208979957670497	2.5790747414861914
1810037I17RIK	NA	4.771124082847893	5.2921211964713715
1810041H14RIK	NA	1.1179551466828432	1.9263455974869437
1810043G02RIK	NA	NA	2.2480796426281615
1810043H04RIK	NA	NA	4.9530981409008055
1810044D09RIK	NA	2.7785383916482345	3.133481383335708
1810058I24RIK	NA	3.5867244861961	4.461585204415709
1810059H22RIK	NA	1.1518656772079792	2.5984949616895463
1810063I02RIK	NA	0.8566763114724493	0.8504217050838871
2010001A14RIK	NA	3.218187610891633	3.2786976364447837
2010012O05RIK	NA	NA	2.6791198681147694
2010107E04RIK	NA	NA	8.571276159345318
2010107G23RIK	NA	NA	2.0470965032462605
2010109A12RIK	NA	NA	0.7039110935877458
2010111I01RIK	NA	NA	3.0780269866196157
2010203P06RIK	NA	1.0232941496480008	NA
2010204K13RIK	NA	1.4630094956579034	2.455650313310962
2010315B03RIK	NA	2.096687315436663	1.0909022464588067
2010320M18RIK	NA	2.8145190952918835	3.5402111160327716
2200002J24RIK	NA	NA	0.7707793394557253
2210011C24RIK	NA	NA	3.229494482020888
2210013O21RIK	NA	NA	2.8665403690826725
2210015D19RIK	NA	NA	3.0828239382895806
2210016F16RIK	NA	3.4804322106949983	4.455686544026417
2210018M11RIK	NA	NA	2.4764866426509737
2210404O09RIK	NA	NA	1.006891666527784
2210408F21RIK	NA	1.5265669618381228	3.8662458654537333
2210418O10RIK	NA	1.868786126272565	NA
2310001H17RIK	NA	0.7268312355975945	1.547967828104393
2310003H01RIK	NA	NA	2.5700699867768937
2310007B03RIK	NA	NA	1.134172294859937
