gene	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
-	NA	NA	NA	NA	0.4520276483475705	0.5892878666846926	1.269763136804439	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610005C13RIK	NA	NA	NA	NA	-0.8138817318077689	-1.7659099217963958	-0.827243355301921	0.1275445905097028	0.1580252551030208	-0.43501263892326136	-0.8653834432165874	-0.8930301799053861	-0.3047521097108481	-0.3660295791166419	-0.4189151386252661	-0.09806302458048766
0610006L08RIK	NA	NA	NA	NA	-0.3112630635431173	-1.6817368325485802	-1.3298476661500498	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610007P14RIK	NA	NA	NA	NA	NA	NA	NA	0.07569885445275926	-0.2473480605770142	0.14734788596423964	0.24973326938272677	-0.0393585533907741	0.4280707456220805	0.39774472080612977	0.23081102328946512	0.05653021534233549
0610009B22RIK	NA	NA	NA	NA	0.21494068737417127	0.1430232728773282	0.30883815092316347	-0.0954728930569777	-0.548020218397375	-0.43566776826889964	-0.11900171795190317	-0.1933184525572127	-0.11419690302157726	-0.35447038594667113	-0.023384957426078046	-0.08686399003095868
0610009E02RIK	NA	NA	NA	NA	NA	NA	NA	-0.06389159661421695	-0.15690864678366845	-0.07345946154961791	-0.3119212640138381	-0.32187285792131703	-0.1773833566141816	-0.13248201730654696	-0.14918982162003835	NA
0610009L18RIK	NA	NA	NA	NA	-0.511667438313949	-0.2366001223626817	-0.08115579119348082	0.08057201441528283	0.21439257873577233	-0.4895255918435284	-1.2148251164217447	-0.7276029079532886	0.0170566960909877	-0.24463820226255883	-0.43895401685486046	0.10507473805606082
0610009O20RIK	NA	NA	NA	NA	NA	NA	NA	0.12476043612174159	-0.16950625951419696	-0.16967382785337293	-0.517572685907906	-0.4370230569644624	-0.3203340420826395	0.07606035915384357	-0.11297170844914817	-0.05464540345474589
0610010F05RIK	NA	NA	NA	NA	0.5399607349384856	1.0404507413246182	0.6839310628187503	-0.7487405760977908	-0.32733721867177756	0.6143717411193932	0.5377677481316052	0.39203758868896	0.20436009052777981	-1.0501262796236452	0.2763834209066731	-0.01836230990017107
0610010K14RIK	NA	NA	NA	NA	-0.1033722098639287	0.3222624066072992	0.22999229704035873	NA	NA	NA	NA	NA	NA	NA	NA	NA
