gene	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
-	NA	NA	NA	NA	fallback	fallback	fallback	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610005C13RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610006L08RIK	NA	NA	NA	NA	fallback	fallback	fallback	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610007P14RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610009B22RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610009E02RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	NA
0610009L18RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610009O20RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610010F05RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610010K14RIK	NA	NA	NA	NA	fallback	fallback	fallback	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610011F06RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610012G03RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610025J13RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610031O16RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610033M10RIK	NA	NA	NA	NA	fallback	fallback	fallback	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610037L13RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610038B21RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610040B10RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610040F04RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610040J01RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
0610043K17RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110001J03RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110002L01RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110004E09RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110006O24RIK	NA	NA	NA	NA	fallback	fallback	fallback	NA	NA	NA	NA	NA	NA	NA	NA	NA
1110007C09RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110008F13RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110008L16RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110008P14RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110012L19RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110018N20RIK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	fallback	NA	NA	NA	NA	NA
1110019B22RIK	NA	NA	NA	NA	fallback	fallback	fallback	NA	NA	NA	NA	NA	NA	NA	NA	NA
1110019D14RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110020A21RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110025M09RIK	NA	NA	NA	NA	fallback	fallback	fallback	NA	NA	NA	NA	NA	NA	NA	NA	NA
1110032A03RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110034G24RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110037F02RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110038B12RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110051M20RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110054M08RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110057K04RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1110058L19RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1190002F15RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1190002N15RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1190007I07RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1200014J11RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1300002E11RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1300014J16RIK	NA	NA	NA	NA	fallback	fallback	fallback	NA	NA	NA	NA	NA	NA	NA	NA	NA
1500011B03RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1500011K16RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1500012F01RIK	NA	NA	NA	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
1500015A07RIK	NA	NA	NA	NA	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback	fallback
