	n_genes	hours	alpha	cos	nrm	R_perp	alpha_lo95	alpha_hi95	cos_lo95	cos_hi95	nrm_lo95	nrm_hi95
cat_CKD12	2016		0.544488	0.906892	0.600389	0.421363	0.520243	0.56957	0.892887	0.919225	0.576486	0.625509
cat_CKD34	2016		1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
cat_med_CKD12	2016		1.019948	0.789786	1.291423	0.613383	0.958433	1.084073	0.762134	0.816331	1.220053	1.363028
cat_med_CKD34	2016		0.935933	0.857448	1.091534	0.514571	0.897731	0.974128	0.838502	0.875282	1.052281	1.131149
mouse_5D	2016	120.0	0.198934	0.346244	0.574548	0.938144	0.161761	0.242245	0.289968	0.402885	0.526003	0.635839
mouse_2W	2016	336.0	0.739675	0.49835	1.484247	0.866976	0.665284	0.81393	0.452995	0.541952	1.405863	1.570367
mouse_3W	2016	504.0	0.488923	0.480126	1.018323	0.8772	0.435289	0.541173	0.430758	0.525449	0.963087	1.078635
IRI_2h	2016	2.0	0.111899	0.193046	0.579652	0.98119	0.080455	0.144189	0.137785	0.245653	0.538653	0.626564
IRI_4h	2016	4.0	0.159501	0.302903	0.526573	0.953021	0.131123	0.186619	0.242167	0.361442	0.469505	0.589886
IRI_24h	2016	24.0	0.640049	0.517576	1.236628	0.855637	0.571886	0.709544	0.472575	0.563001	1.172657	1.311367
IRI_48h	2016	48.0	0.576831	0.510085	1.130852	0.860124	0.512772	0.641278	0.465099	0.553669	1.064693	1.201092
IRI_72h	2016	72.0	0.568826	0.548237	1.037553	0.836323	0.507662	0.626493	0.503872	0.59046	0.975851	1.101571
IRI_7d	2016	168.0	0.591226	0.51162	1.155597	0.859212	0.520785	0.659591	0.456718	0.561209	1.086243	1.232512
IRI_14d	2016	336.0	0.511281	0.469761	1.088386	0.882794	0.445254	0.578427	0.416965	0.519141	1.018487	1.160107
IRI_28d	2016	672.0	0.400812	0.484065	0.828013	0.875032	0.34627	0.454532	0.42323	0.537607	0.769631	0.889649
IRI_12mo	2016	8760.0	0.220945	0.441618	0.500308	0.897203	0.181251	0.259619	0.368597	0.507595	0.457679	0.545962
