	n_genes	hours	alpha	cos	nrm	R_perp	alpha_lo95	alpha_hi95	cos_lo95	cos_hi95	nrm_lo95	nrm_hi95
cat_CKD12	1632		0.566285	0.900878	0.628592	0.434072	0.536511	0.597821	0.883403	0.916935	0.600688	0.659069
cat_CKD34	1632		1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
cat_med_CKD12	1632		0.946676	0.775599	1.220575	0.631226	0.873951	1.021362	0.744393	0.806258	1.136068	1.303415
cat_med_CKD34	1632		0.898933	0.842732	1.06669	0.538333	0.854674	0.944607	0.82021	0.863763	1.021001	1.111936
mouse_5D	1632	120.0	0.201407	0.325818	0.618157	0.945432	0.156649	0.252535	0.261735	0.38385	0.557362	0.690856
mouse_2W	1632	336.0	0.699407	0.448928	1.55795	0.893568	0.613849	0.787391	0.397635	0.501224	1.459076	1.659129
mouse_3W	1632	504.0	0.450557	0.430197	1.047328	0.902735	0.387943	0.516323	0.373464	0.487573	0.981189	1.11715
IRI_2h	1632	2.0	0.132984	0.209767	0.633959	0.977751	0.095437	0.17186	0.151983	0.269367	0.58429	0.688376
IRI_4h	1632	4.0	0.173953	0.298818	0.582137	0.95431	0.138869	0.211847	0.230714	0.36868	0.509847	0.662792
IRI_24h	1632	24.0	0.59618	0.465093	1.281851	0.885262	0.513321	0.683318	0.408243	0.516523	1.196934	1.374176
IRI_48h	1632	48.0	0.592884	0.497436	1.19188	0.867501	0.512955	0.672691	0.446108	0.546353	1.111767	1.276769
IRI_72h	1632	72.0	0.581692	0.534423	1.08845	0.845217	0.511726	0.654389	0.484396	0.583217	1.01492	1.166139
IRI_7d	1632	168.0	0.617092	0.493339	1.250849	0.869837	0.53368	0.700663	0.433142	0.548328	1.163016	1.340959
IRI_14d	1632	336.0	0.566919	0.465671	1.217424	0.884958	0.480476	0.652357	0.405135	0.522465	1.132366	1.303651
IRI_28d	1632	672.0	0.430499	0.465461	0.924889	0.885069	0.357538	0.498956	0.39457	0.527841	0.850444	1.000262
IRI_12mo	1632	8760.0	0.253289	0.45056	0.562165	0.892746	0.202476	0.305629	0.364563	0.529436	0.508282	0.618726
