subset	term	n_states	rho	ctrl_x_log_time	fisher_lo	fisher_hi	boot_lo	boot_hi	n_boot_ok	p_perm	fisher_ci_contains_0.553	boot_ci_contains_0.553
all_model_states	alpha x log_time	12	0.164624		-0.45198	0.674774	-0.695652	0.771443	5000	0.612439	True	True
all_model_states	nrm x log_time	12	-0.038529		-0.599182	0.547478	-0.725656	0.620457	5000	0.907809	False	True
all_model_states	cos x log_time	12	0.210158		-0.413632	0.699672	-0.552741	0.775973	5000	0.516848	True	True
all_model_states	R_perp x log_time	12	-0.210158		-0.699672	0.413632	-0.769854	0.527336	4999	0.507349	False	False
all_model_states	cos | nrm (partial)	12	0.262832	-0.038529	-0.40013	0.745212	-0.580057	0.820962	4996	0.419758	True	True
all_model_states	nrm | cos (partial)	12	-0.165865	0.210158	-0.696445	0.481965	-0.810244	0.504101	5000	0.621438	False	False
all_model_states	alpha | nrm (partial)	12	0.479595	-0.038529	-0.16886	0.838295	-0.496603	0.912517	4903	0.134987	True	True
IRI_only	alpha x log_time	9	0.166667		-0.55937	0.747995	-1.0	0.842105	4980	0.677732	True	True
IRI_only	nrm x log_time	9	-0.066667		-0.699805	0.625133	-0.892302	0.704348	4984	0.876012	True	True
IRI_only	cos x log_time	9	0.333333		-0.424836	0.816666	-0.814956	0.930435	4973	0.391761	True	True
IRI_only	R_perp x log_time	9	-0.333333		-0.816666	0.424836	-0.930435	0.736842	4982	0.384962	False	True
IRI_only	cos | nrm (partial)	9	0.43706	-0.066667	-0.386715	0.872895	-0.62004	0.965044	4948	0.271773	True	True
IRI_only	nrm | cos (partial)	9	-0.306503	0.333333	-0.83157	0.50786	-0.94871	0.609811	4928	0.466253	False	True
IRI_only	alpha | nrm (partial)	9	0.450893	-0.066667	-0.371965	0.876935	-0.884144	0.969773	4882	0.257574	True	True
