	n_genes	hours	alpha	cos	nrm	R_perp	alpha_lo95	alpha_hi95	cos_lo95	cos_hi95	nrm_lo95	nrm_hi95
cat_CKD12	1618		0.558945	0.880531	0.634782	0.473989	0.519778	0.602478	0.862277	0.896942	0.595455	0.675805
cat_CKD34	1618		1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
cat_med_CKD12	1618		0.929932	0.707077	1.315176	0.707136	0.83804	1.025884	0.660525	0.750476	1.205377	1.430066
cat_med_CKD34	1618		0.931729	0.813101	1.145896	0.582123	0.873496	0.98823	0.784336	0.840089	1.09477	1.196432
mouse_5D	1618	120.0	0.178149	0.280379	0.635385	0.959889	0.130678	0.22697	0.2111	0.346549	0.572612	0.70393
mouse_2W	1618	336.0	0.501152	0.352325	1.422412	0.935878	0.407703	0.596293	0.28556	0.416617	1.324819	1.521601
mouse_3W	1618	504.0	0.315396	0.321294	0.981641	0.946979	0.244539	0.384278	0.251025	0.388385	0.913427	1.050517
IRI_2h	1618	2.0	0.126803	0.148002	0.856766	0.988987	0.071304	0.183368	0.088964	0.206545	0.757349	0.966825
IRI_4h	1618	4.0	0.200838	0.258769	0.77613	0.965939	0.148795	0.256465	0.205547	0.314081	0.675484	0.879339
IRI_24h	1618	24.0	0.43551	0.390462	1.11537	0.920619	0.352621	0.526257	0.322754	0.455068	1.029877	1.200686
IRI_48h	1618	48.0	0.474164	0.448456	1.057325	0.893805	0.395811	0.557152	0.38522	0.512539	0.977597	1.136104
IRI_72h	1618	72.0	0.44765	0.453238	0.987672	0.89139	0.374566	0.52114	0.387101	0.513467	0.91397	1.062567
IRI_7d	1618	168.0	0.427619	0.412105	1.037647	0.911136	0.350048	0.503951	0.352371	0.469688	0.956878	1.118453
IRI_14d	1618	336.0	0.336325	0.307607	1.093359	0.951514	0.257019	0.417811	0.240357	0.369919	1.005774	1.180888
IRI_28d	1618	672.0	0.250315	0.35554	0.704041	0.934661	0.199142	0.304336	0.297919	0.41039	0.639095	0.769648
IRI_12mo	1618	8760.0	0.169278	0.384018	0.440807	0.923326	0.131145	0.210235	0.314588	0.452921	0.399761	0.483309
