	n_genes	hours	alpha	cos	nrm	R_perp	alpha_lo95	alpha_hi95	cos_lo95	cos_hi95	nrm_lo95	nrm_hi95
cat_CKD12	1632		0.545532	0.875995	0.622757	0.48232	0.510133	0.582063	0.857191	0.89268	0.589825	0.659533
cat_CKD34	1632		1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
cat_med_CKD12	1632		0.987241	0.734013	1.344991	0.679135	0.894953	1.078031	0.69144	0.771031	1.24231	1.452498
cat_med_CKD34	1632		0.951641	0.823891	1.155057	0.566748	0.893004	1.005558	0.794557	0.846877	1.104222	1.208414
mouse_5D	1632	120.0	0.155789	0.264115	0.589854	0.964491	0.115363	0.196881	0.201442	0.321297	0.530189	0.656529
mouse_2W	1632	336.0	0.513759	0.36297	1.415432	0.931801	0.414252	0.605037	0.295792	0.42149	1.312527	1.523679
mouse_3W	1632	504.0	0.320011	0.326567	0.979924	0.945174	0.248822	0.387742	0.257059	0.388182	0.909343	1.055787
IRI_2h	1632	2.0	0.102234	0.138042	0.740603	0.990426	0.059013	0.150074	0.081691	0.19505	0.670237	0.819144
IRI_4h	1632	4.0	0.168373	0.235619	0.7146	0.971845	0.123659	0.220231	0.184418	0.287063	0.634962	0.798009
IRI_24h	1632	24.0	0.4188	0.379576	1.103338	0.925161	0.329047	0.508918	0.303745	0.444766	1.020435	1.192175
IRI_48h	1632	48.0	0.388564	0.384748	1.009917	0.923022	0.305352	0.473858	0.304729	0.455583	0.93272	1.094634
IRI_72h	1632	72.0	0.381559	0.407753	0.93576	0.913092	0.310334	0.456468	0.341027	0.471756	0.858696	1.019158
IRI_7d	1632	168.0	0.402362	0.392614	1.024827	0.919703	0.32721	0.481461	0.326033	0.454204	0.94454	1.109699
IRI_14d	1632	336.0	0.324937	0.326053	0.996578	0.945351	0.257125	0.390948	0.266493	0.38086	0.920318	1.077797
IRI_28d	1632	672.0	0.241385	0.357715	0.674796	0.933831	0.192816	0.29001	0.29795	0.412884	0.614289	0.739474
IRI_12mo	1632	8760.0	0.143146	0.356841	0.401149	0.934165	0.113027	0.175658	0.292327	0.414475	0.365319	0.440203
