	n_genes	hours	alpha	cos	nrm	R_perp	alpha_lo95	alpha_hi95	cos_lo95	cos_hi95	nrm_lo95	nrm_hi95
cat_CKD12	7897		0.604245	0.897526	0.673235	0.440962	0.589825	0.619464	0.891142	0.903645	0.6584	0.688775
cat_CKD34	7897		1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
cat_med_CKD12	7897		0.795893	0.729543	1.090948	0.683935	0.76478	0.827124	0.712666	0.746719	1.052871	1.130899
cat_med_CKD34	7897		0.863134	0.809045	1.066855	0.587747	0.841009	0.884585	0.796633	0.820358	1.044787	1.091083
mouse_5D	7897	120.0	0.1872	0.335047	0.558727	0.942201	0.166858	0.207402	0.302831	0.365529	0.534224	0.586765
mouse_2W	7897	336.0	0.637475	0.459456	1.387457	0.888201	0.600175	0.674102	0.435123	0.482629	1.347962	1.427753
mouse_3W	7897	504.0	0.39665	0.431469	0.9193	0.902128	0.369093	0.423903	0.404414	0.457483	0.892429	0.947243
IRI_2h	7897	2.0	0.134026	0.18155	0.738233	0.983382	0.114182	0.155225	0.156475	0.206606	0.68983	0.793955
IRI_4h	7897	4.0	0.208128	0.278873	0.746318	0.960328	0.185132	0.230135	0.252525	0.303754	0.699837	0.800649
IRI_24h	7897	24.0	0.468941	0.436483	1.074361	0.899712	0.435608	0.504218	0.410414	0.46264	1.039558	1.110317
IRI_48h	7897	48.0	0.483175	0.473053	1.021396	0.881034	0.44994	0.518854	0.447081	0.499439	0.984957	1.057948
IRI_72h	7897	72.0	0.46575	0.494061	0.942697	0.869427	0.435735	0.495679	0.467558	0.520025	0.910953	0.974956
IRI_7d	7897	168.0	0.561568	0.512268	1.096239	0.858826	0.526797	0.596809	0.485914	0.536779	1.061227	1.130581
IRI_14d	7897	336.0	0.516501	0.467162	1.105614	0.884172	0.483216	0.55076	0.441674	0.491105	1.070871	1.140744
IRI_28d	7897	672.0	0.413758	0.500748	0.826279	0.865593	0.386497	0.441499	0.47415	0.525268	0.797807	0.855751
IRI_12mo	7897	8760.0	0.255624	0.529116	0.483116	0.84855	0.23681	0.274725	0.500737	0.554977	0.465357	0.502642
