subset	term	n_states	rho	ctrl_x_log_time	fisher_lo	fisher_hi	boot_lo	boot_hi	n_boot_ok	p_perm	fisher_ci_contains_0.553	boot_ci_contains_0.553
all_model_states	alpha x log_time	12	0.245184		-0.382546	0.718048	-0.50892	0.778017	5000	0.434757	True	True
all_model_states	nrm x log_time	12	0.017513		-0.562037	0.58553	-0.644275	0.689412	5000	0.959604	True	True
all_model_states	cos x log_time	12	0.626971		0.082898	0.883112	-0.003746	0.956522	5000	0.030997	True	True
all_model_states	R_perp x log_time	12	-0.626971		-0.883112	-0.082898	-0.955724	0.014469	5000	0.033897	False	False
all_model_states	cos | nrm (partial)	12	0.635185	0.017513	0.057046	0.894302	-0.106502	0.958206	4996	0.034797	True	True
all_model_states	nrm | cos (partial)	12	-0.131846	0.626971	-0.67809	0.508225	-0.701879	0.616672	4977	0.69803	False	True
all_model_states	alpha | nrm (partial)	12	0.62314	0.017513	0.037154	0.890239	-0.164786	0.916843	4898	0.042296	True	True
IRI_only	alpha x log_time	9	0.333333		-0.424836	0.816666	-0.732143	0.947368	4970	0.388961	True	True
IRI_only	nrm x log_time	9	0.083333		-0.614814	0.708258	-0.736842	0.948028	4983	0.837916	True	True
IRI_only	cos x log_time	9	0.866667		0.477219	0.971576	0.368421	1.0	4977	0.0046	True	True
IRI_only	R_perp x log_time	9	-0.866667		-0.971576	-0.477219	-1.0	-0.368421	4980	0.0045	False	False
IRI_only	cos | nrm (partial)	9	0.868419	0.083333	0.421972	0.975893	0.274517	1.0	4897	0.007599	True	True
IRI_only	nrm | cos (partial)	9	0.138104	0.866667	-0.627651	0.768033	-0.73613	0.944786	4318	0.736126	True	True
IRI_only	alpha | nrm (partial)	9	0.645163	0.083333	-0.109117	0.927959	-0.236536	0.976203	4608	0.086391	True	True
