	n_genes	hours	alpha	cos	nrm	R_perp	alpha_lo95	alpha_hi95	cos_lo95	cos_hi95	nrm_lo95	nrm_hi95
cat_CKD12	2643		0.541069	0.903855	0.598624	0.427838	0.519568	0.564648	0.890692	0.915179	0.577687	0.622848
cat_CKD34	2643		1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
cat_med_CKD12	2643		1.003898	0.778303	1.289855	0.627889	0.949912	1.064105	0.753789	0.802602	1.226531	1.357214
cat_med_CKD34	2643		0.928663	0.850223	1.092259	0.526423	0.888965	0.967814	0.832697	0.867242	1.055322	1.129178
mouse_5D	2643	120.0	0.188303	0.338517	0.556258	0.94096	0.155633	0.22273	0.288469	0.383429	0.514707	0.608413
mouse_2W	2643	336.0	0.710493	0.485119	1.464574	0.874448	0.649355	0.77391	0.4451	0.5235	1.39708	1.541227
mouse_3W	2643	504.0	0.461629	0.461397	1.000502	0.887194	0.415258	0.509265	0.418795	0.50326	0.951382	1.052776
IRI_2h	2643	2.0	0.105501	0.179556	0.587568	0.983748	0.077701	0.135056	0.134146	0.227267	0.550443	0.629276
IRI_4h	2643	4.0	0.155215	0.289213	0.536681	0.957265	0.129639	0.181946	0.237982	0.344145	0.484098	0.595375
IRI_24h	2643	24.0	0.627952	0.515177	1.218905	0.857084	0.569035	0.688931	0.474678	0.55486	1.157535	1.285553
IRI_48h	2643	48.0	0.568992	0.508875	1.118135	0.86084	0.515172	0.626767	0.470548	0.547753	1.055355	1.188324
IRI_72h	2643	72.0	0.553143	0.540489	1.023412	0.841351	0.503861	0.6065	0.504377	0.576864	0.964941	1.087543
IRI_7d	2643	168.0	0.576346	0.502824	1.146219	0.864389	0.517198	0.640761	0.457065	0.547338	1.083886	1.215576
IRI_14d	2643	336.0	0.504557	0.459569	1.097892	0.888142	0.443551	0.567684	0.410906	0.504524	1.035858	1.164255
IRI_28d	2643	672.0	0.392599	0.474727	0.826999	0.880133	0.345627	0.442139	0.4231	0.521615	0.773736	0.884528
IRI_12mo	2643	8760.0	0.215717	0.436888	0.493758	0.899516	0.181016	0.252353	0.373681	0.495674	0.454937	0.535951
