subset	term	n_states	rho	ctrl_x_log_time	fisher_lo	fisher_hi	boot_lo	boot_hi	n_boot_ok	p_perm	fisher_ci_contains_0.553	boot_ci_contains_0.553
all_model_states	alpha x log_time	12	0.136603		-0.474498	0.658853	-0.683383	0.757143	5000	0.673433	True	True
all_model_states	nrm x log_time	12	-0.070053		-0.619066	0.524954	-0.75	0.600762	5000	0.835816	False	True
all_model_states	cos x log_time	12	0.052539		-0.537571	0.608105	-0.778571	0.720455	5000	0.870913	True	True
all_model_states	R_perp x log_time	12	-0.052539		-0.608105	0.537571	-0.714292	0.772958	5000	0.869713	False	True
all_model_states	cos | nrm (partial)	12	0.15602	-0.070053	-0.489686	0.691204	-0.704382	0.848571	4992	0.655334	True	True
all_model_states	nrm | cos (partial)	12	-0.162613	0.052539	-0.69472	0.484527	-0.852704	0.519489	4995	0.628237	False	False
all_model_states	alpha | nrm (partial)	12	0.550525	-0.070053	-0.073683	0.864802	-0.45437	0.907961	4640	0.073893	True	True
IRI_only	alpha x log_time	9	0.116667		-0.593435	0.724642	-1.0	0.836364	4978	0.781122	True	True
IRI_only	nrm x log_time	9	-0.116667		-0.724642	0.593435	-0.947368	0.651376	4980	0.775822	True	True
IRI_only	cos x log_time	9	0.133333		-0.582356	0.732585	-0.945946	0.842105	4977	0.739526	True	True
IRI_only	R_perp x log_time	9	-0.133333		-0.732585	0.582356	-0.834862	0.946764	4978	0.743026	True	True
IRI_only	cos | nrm (partial)	9	0.313208	-0.116667	-0.502335	0.833844	-0.91929	0.951253	4916	0.467653	True	True
IRI_only	nrm | cos (partial)	9	-0.307039	0.133333	-0.831752	0.50742	-0.983343	0.441323	4914	0.457154	False	False
IRI_only	alpha | nrm (partial)	9	0.563361	-0.116667	-0.234343	0.907693	-0.866062	0.963343	4576	0.146085	True	True
