decile	n_core	n_added	rho_core	rho_added	delta_added_minus_core
1	885	174	0.35888845012107273	0.43777214613172355	0.07888369601065082
2	895	163	0.4467779175616105	0.4279265798792957	-0.018851337682314784
3	910	148	0.46568049695284486	0.45136356737507277	-0.014316929577772086
4	904	154	0.3883338073693955	0.38935902806870554	0.0010252206993100477
5	904	154	0.3995930707677094	0.3425433516515111	-0.05704971911619827
6	889	169	0.3426334690246925	0.3570384366764458	0.014404967651753309
7	876	181	0.37941022030717597	0.38998036953838056	0.010570149231204584
8	874	185	0.4494076518054436	0.4081062128046701	-0.04130143900077354
9	877	181	0.4838459362298511	0.5006840305182847	0.01683809428843358
10	767	291	0.6741870942705124	0.7173382875007914	0.04315119323027905
