	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
cat_CKD12	1.0	0.906892	0.759109	0.793747	0.286412	0.470344	0.449076	0.253738	0.29218	0.459897	0.482884	0.508878	0.513413	0.498394	0.471965	0.503532
cat_CKD34	0.906892	1.0	0.789786	0.857448	0.346244	0.49835	0.480126	0.193046	0.302903	0.517576	0.510085	0.548237	0.51162	0.469761	0.484065	0.441618
cat_med_CKD12	0.759109	0.789786	1.0	0.831607	0.186026	0.412074	0.413163	0.199463	0.25978	0.457609	0.425062	0.445893	0.39963	0.372084	0.371217	0.294823
cat_med_CKD34	0.793747	0.857448	0.831607	1.0	0.325495	0.472456	0.493866	0.213677	0.264822	0.506015	0.516261	0.527458	0.494648	0.432059	0.383566	0.421026
mouse_5D	0.286412	0.346244	0.186026	0.325495	1.0	0.768332	0.775696	-0.033166	0.341393	0.714538	0.702122	0.727343	0.682664	0.454334	0.594996	0.550502
mouse_2W	0.470344	0.49835	0.412074	0.472456	0.768332	1.0	0.958058	0.102315	0.378464	0.867702	0.837948	0.857671	0.884122	0.706573	0.836534	0.704065
mouse_3W	0.449076	0.480126	0.413163	0.493866	0.775696	0.958058	1.0	0.083865	0.357724	0.841618	0.866863	0.873876	0.860953	0.664675	0.786299	0.717794
IRI_2h	0.253738	0.193046	0.199463	0.213677	-0.033166	0.102315	0.083865	1.0	0.543788	0.153061	0.181091	0.197118	0.320556	0.601359	0.257134	0.255595
IRI_4h	0.29218	0.302903	0.25978	0.264822	0.341393	0.378464	0.357724	0.543788	1.0	0.421582	0.413216	0.446686	0.473733	0.400218	0.395701	0.344409
IRI_24h	0.459897	0.517576	0.457609	0.506015	0.714538	0.867702	0.841618	0.153061	0.421582	1.0	0.889939	0.854425	0.825109	0.643814	0.71733	0.60746
IRI_48h	0.482884	0.510085	0.425062	0.516261	0.702122	0.837948	0.866863	0.181091	0.413216	0.889939	1.0	0.950257	0.865596	0.68815	0.755009	0.724191
IRI_72h	0.508878	0.548237	0.445893	0.527458	0.727343	0.857671	0.873876	0.197118	0.446686	0.854425	0.950257	1.0	0.894344	0.717393	0.804642	0.725341
IRI_7d	0.513413	0.51162	0.39963	0.494648	0.682664	0.884122	0.860953	0.320556	0.473733	0.825109	0.865596	0.894344	1.0	0.852522	0.904942	0.808446
IRI_14d	0.498394	0.469761	0.372084	0.432059	0.454334	0.706573	0.664675	0.601359	0.400218	0.643814	0.68815	0.717393	0.852522	1.0	0.847051	0.757772
IRI_28d	0.471965	0.484065	0.371217	0.383566	0.594996	0.836534	0.786299	0.257134	0.395701	0.71733	0.755009	0.804642	0.904942	0.847051	1.0	0.790148
IRI_12mo	0.503532	0.441618	0.294823	0.421026	0.550502	0.704065	0.717794	0.255595	0.344409	0.60746	0.724191	0.725341	0.808446	0.757772	0.790148	1.0
