a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass
cat_CKD12	cat_CKD34	0.906892	0.895107	within_dataset	cat	cat	True	same_compartment_diff_stage
cat_CKD12	cat_med_CKD12	0.759109	0.821605	within_dataset	cat	cat	False	same_stage_diff_compartment
cat_CKD12	cat_med_CKD34	0.793747	0.816437	within_dataset	cat	cat	False	diff_compartment_diff_stage
cat_CKD12	mouse_5D	0.286412	0.416868	cross_species	cat	podtreck	False	
cat_CKD12	mouse_2W	0.470344	0.602102	cross_species	cat	podtreck	False	
cat_CKD12	mouse_3W	0.449076	0.588593	cross_species	cat	podtreck	False	
cat_CKD12	IRI_2h	0.253738	0.260228	cross_species	cat	iri	False	
cat_CKD12	IRI_4h	0.29218	0.34651	cross_species	cat	iri	False	
cat_CKD12	IRI_24h	0.459897	0.547588	cross_species	cat	iri	False	
cat_CKD12	IRI_48h	0.482884	0.56028	cross_species	cat	iri	False	
cat_CKD12	IRI_72h	0.508878	0.560966	cross_species	cat	iri	False	
cat_CKD12	IRI_7d	0.513413	0.620119	cross_species	cat	iri	False	
cat_CKD12	IRI_14d	0.498394	0.542476	cross_species	cat	iri	False	
cat_CKD12	IRI_28d	0.471965	0.542181	cross_species	cat	iri	False	
cat_CKD12	IRI_12mo	0.503532	0.593314	cross_species	cat	iri	False	
cat_CKD34	cat_med_CKD12	0.789786	0.830834	within_dataset	cat	cat	False	diff_compartment_diff_stage
cat_CKD34	cat_med_CKD34	0.857448	0.8066	within_dataset	cat	cat	False	same_stage_diff_compartment
cat_CKD34	mouse_5D	0.346244	0.49202	cross_species	cat	podtreck	False	
cat_CKD34	mouse_2W	0.49835	0.665466	cross_species	cat	podtreck	False	
cat_CKD34	mouse_3W	0.480126	0.636352	cross_species	cat	podtreck	False	
cat_CKD34	IRI_2h	0.193046	0.177666	cross_species	cat	iri	False	
cat_CKD34	IRI_4h	0.302903	0.360869	cross_species	cat	iri	False	
cat_CKD34	IRI_24h	0.517576	0.608345	cross_species	cat	iri	False	
cat_CKD34	IRI_48h	0.510085	0.59349	cross_species	cat	iri	False	
cat_CKD34	IRI_72h	0.548237	0.612106	cross_species	cat	iri	False	
cat_CKD34	IRI_7d	0.51162	0.630929	cross_species	cat	iri	False	
cat_CKD34	IRI_14d	0.469761	0.529374	cross_species	cat	iri	False	
cat_CKD34	IRI_28d	0.484065	0.612782	cross_species	cat	iri	False	
cat_CKD34	IRI_12mo	0.441618	0.525015	cross_species	cat	iri	False	
cat_med_CKD12	cat_med_CKD34	0.831607	0.774396	within_dataset	cat	cat	True	same_compartment_diff_stage
cat_med_CKD12	mouse_5D	0.186026	0.447006	cross_species	cat	podtreck	False	
cat_med_CKD12	mouse_2W	0.412074	0.664569	cross_species	cat	podtreck	False	
cat_med_CKD12	mouse_3W	0.413163	0.645574	cross_species	cat	podtreck	False	
cat_med_CKD12	IRI_2h	0.199463	0.229657	cross_species	cat	iri	False	
cat_med_CKD12	IRI_4h	0.25978	0.355565	cross_species	cat	iri	False	
cat_med_CKD12	IRI_24h	0.457609	0.585323	cross_species	cat	iri	False	
cat_med_CKD12	IRI_48h	0.425062	0.588175	cross_species	cat	iri	False	
cat_med_CKD12	IRI_72h	0.445893	0.600016	cross_species	cat	iri	False	
cat_med_CKD12	IRI_7d	0.39963	0.648678	cross_species	cat	iri	False	
cat_med_CKD12	IRI_14d	0.372084	0.56779	cross_species	cat	iri	False	
cat_med_CKD12	IRI_28d	0.371217	0.630759	cross_species	cat	iri	False	
cat_med_CKD12	IRI_12mo	0.294823	0.551524	cross_species	cat	iri	False	
cat_med_CKD34	mouse_5D	0.325495	0.450887	cross_species	cat	podtreck	False	
cat_med_CKD34	mouse_2W	0.472456	0.577777	cross_species	cat	podtreck	False	
cat_med_CKD34	mouse_3W	0.493866	0.60796	cross_species	cat	podtreck	False	
cat_med_CKD34	IRI_2h	0.213677	0.255674	cross_species	cat	iri	False	
cat_med_CKD34	IRI_4h	0.264822	0.331688	cross_species	cat	iri	False	
cat_med_CKD34	IRI_24h	0.506015	0.539268	cross_species	cat	iri	False	
cat_med_CKD34	IRI_48h	0.516261	0.595107	cross_species	cat	iri	False	
cat_med_CKD34	IRI_72h	0.527458	0.583869	cross_species	cat	iri	False	
cat_med_CKD34	IRI_7d	0.494648	0.641472	cross_species	cat	iri	False	
cat_med_CKD34	IRI_14d	0.432059	0.533306	cross_species	cat	iri	False	
cat_med_CKD34	IRI_28d	0.383566	0.495289	cross_species	cat	iri	False	
cat_med_CKD34	IRI_12mo	0.421026	0.645444	cross_species	cat	iri	False	
mouse_5D	mouse_2W	0.768332	0.735791	within_dataset	podtreck	podtreck	True	
mouse_5D	mouse_3W	0.775696	0.735979	within_dataset	podtreck	podtreck	True	
mouse_5D	IRI_2h	-0.033166	-0.005176	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_4h	0.341393	0.390783	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_24h	0.714538	0.693038	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_48h	0.702122	0.667816	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_72h	0.727343	0.716283	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_7d	0.682664	0.641408	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_14d	0.454334	0.38913	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_28d	0.594996	0.579212	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_12mo	0.550502	0.481248	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	mouse_3W	0.958058	0.939619	within_dataset	podtreck	podtreck	True	
mouse_2W	IRI_2h	0.102315	0.178609	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_4h	0.378464	0.437354	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_24h	0.867702	0.838209	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_48h	0.837948	0.793832	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_72h	0.857671	0.85975	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_7d	0.884122	0.874115	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_14d	0.706573	0.700991	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_28d	0.836534	0.87403	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_12mo	0.704065	0.663369	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_2h	0.083865	0.15003	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_4h	0.357724	0.41903	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_24h	0.841618	0.798796	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_48h	0.866863	0.841076	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_72h	0.873876	0.873155	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_7d	0.860953	0.851578	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_14d	0.664675	0.643421	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_28d	0.786299	0.799214	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_12mo	0.717794	0.705739	same_species_diff_dataset	podtreck	iri	False	
IRI_2h	IRI_4h	0.543788	0.460678	within_dataset	iri	iri	True	
IRI_2h	IRI_24h	0.153061	0.199798	within_dataset	iri	iri	True	
IRI_2h	IRI_48h	0.181091	0.19713	within_dataset	iri	iri	True	
IRI_2h	IRI_72h	0.197118	0.199156	within_dataset	iri	iri	True	
IRI_2h	IRI_7d	0.320556	0.36425	within_dataset	iri	iri	True	
IRI_2h	IRI_14d	0.601359	0.672074	within_dataset	iri	iri	True	
