	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
cat_CKD12	1.0	0.895107	0.821605	0.816437	0.416868	0.602102	0.588593	0.260228	0.34651	0.547588	0.56028	0.560966	0.620119	0.542476	0.542181	0.593314
cat_CKD34	0.895107	1.0	0.830834	0.8066	0.49202	0.665466	0.636352	0.177666	0.360869	0.608345	0.59349	0.612106	0.630929	0.529374	0.612782	0.525015
cat_med_CKD12	0.821605	0.830834	1.0	0.774396	0.447006	0.664569	0.645574	0.229657	0.355565	0.585323	0.588175	0.600016	0.648678	0.56779	0.630759	0.551524
cat_med_CKD34	0.816437	0.8066	0.774396	1.0	0.450887	0.577777	0.60796	0.255674	0.331688	0.539268	0.595107	0.583869	0.641472	0.533306	0.495289	0.645444
mouse_5D	0.416868	0.49202	0.447006	0.450887	1.0	0.735791	0.735979	-0.005176	0.390783	0.693038	0.667816	0.716283	0.641408	0.38913	0.579212	0.481248
mouse_2W	0.602102	0.665466	0.664569	0.577777	0.735791	1.0	0.939619	0.178609	0.437354	0.838209	0.793832	0.85975	0.874115	0.700991	0.87403	0.663369
mouse_3W	0.588593	0.636352	0.645574	0.60796	0.735979	0.939619	1.0	0.15003	0.41903	0.798796	0.841076	0.873155	0.851578	0.643421	0.799214	0.705739
IRI_2h	0.260228	0.177666	0.229657	0.255674	-0.005176	0.178609	0.15003	1.0	0.460678	0.199798	0.19713	0.199156	0.36425	0.672074	0.253204	0.360456
IRI_4h	0.34651	0.360869	0.355565	0.331688	0.390783	0.437354	0.41903	0.460678	1.0	0.46633	0.434386	0.467612	0.508087	0.426467	0.376051	0.404323
IRI_24h	0.547588	0.608345	0.585323	0.539268	0.693038	0.838209	0.798796	0.199798	0.46633	1.0	0.84246	0.816343	0.813708	0.637494	0.747866	0.610969
IRI_48h	0.56028	0.59349	0.588175	0.595107	0.667816	0.793832	0.841076	0.19713	0.434386	0.84246	1.0	0.927508	0.831364	0.617819	0.700152	0.721141
IRI_72h	0.560966	0.612106	0.600016	0.583869	0.716283	0.85975	0.873155	0.199156	0.467612	0.816343	0.927508	1.0	0.868083	0.660458	0.778584	0.693868
IRI_7d	0.620119	0.630929	0.648678	0.641472	0.641408	0.874115	0.851578	0.36425	0.508087	0.813708	0.831364	0.868083	1.0	0.804396	0.844972	0.774023
IRI_14d	0.542476	0.529374	0.56779	0.533306	0.38913	0.700991	0.643421	0.672074	0.426467	0.637494	0.617819	0.660458	0.804396	1.0	0.767047	0.651005
IRI_28d	0.542181	0.612782	0.630759	0.495289	0.579212	0.87403	0.799214	0.253204	0.376051	0.747866	0.700152	0.778584	0.844972	0.767047	1.0	0.589208
IRI_12mo	0.593314	0.525015	0.551524	0.645444	0.481248	0.663369	0.705739	0.360456	0.404323	0.610969	0.721141	0.693868	0.774023	0.651005	0.589208	1.0
