pair	n_ctrl_full	n_ctrl_split	cos_shared_control	cos_split_median	cos_split_lo	cos_split_hi	n_splits	inflation
cat_CKD12 x cat_CKD34	6	3	0.9069	0.7718	0.5528	0.8504	20	0.1351
IRI_2h x IRI_4h	6	3	0.5438	0.4701	0.2589	0.5495	20	0.0737
IRI_2h x IRI_24h	6	3	0.1531	0.1236	0.0442	0.1761	20	0.0294
IRI_2h x IRI_48h	6	3	0.1811	0.1538	0.0605	0.2128	20	0.0273
IRI_2h x IRI_72h	6	3	0.1971	0.1663	0.0553	0.2333	20	0.0308
IRI_2h x IRI_7d	6	3	0.3206	0.2884	0.1909	0.3485	20	0.0322
IRI_2h x IRI_14d	6	3	0.6014	0.5643	0.4358	0.6168	20	0.0371
IRI_2h x IRI_28d	6	3	0.2571	0.2185	0.0973	0.2591	20	0.0387
IRI_4h x IRI_24h	6	3	0.4216	0.3704	0.2481	0.459	20	0.0512
IRI_4h x IRI_48h	6	3	0.4132	0.3688	0.2566	0.4329	20	0.0444
IRI_4h x IRI_72h	6	3	0.4467	0.409	0.2757	0.4631	20	0.0377
IRI_4h x IRI_7d	6	3	0.4737	0.4208	0.2845	0.5229	20	0.0529
IRI_4h x IRI_14d	6	3	0.4002	0.3537	0.2001	0.4496	20	0.0465
IRI_4h x IRI_28d	6	3	0.3957	0.3568	0.1989	0.4129	20	0.0389
IRI_24h x IRI_48h	6	3	0.8899	0.8695	0.785	0.8994	20	0.0205
IRI_24h x IRI_72h	6	3	0.8544	0.8313	0.7343	0.8672	20	0.0231
IRI_24h x IRI_7d	6	3	0.8251	0.8076	0.7427	0.8179	20	0.0175
IRI_24h x IRI_14d	6	3	0.6438	0.6244	0.5651	0.6436	20	0.0194
IRI_24h x IRI_28d	6	3	0.7173	0.6849	0.6049	0.7221	20	0.0324
IRI_48h x IRI_72h	6	3	0.9503	0.9227	0.8397	0.9424	20	0.0276
IRI_48h x IRI_7d	6	3	0.8656	0.8461	0.7625	0.8761	20	0.0195
IRI_48h x IRI_14d	6	3	0.6882	0.6721	0.5738	0.7096	20	0.016
IRI_48h x IRI_28d	6	3	0.755	0.7282	0.6313	0.7565	20	0.0268
IRI_72h x IRI_7d	6	3	0.8943	0.8686	0.7719	0.9123	20	0.0258
IRI_72h x IRI_14d	6	3	0.7174	0.7014	0.5839	0.7471	20	0.0159
IRI_72h x IRI_28d	6	3	0.8046	0.779	0.6675	0.8068	20	0.0256
IRI_7d x IRI_14d	6	3	0.8525	0.8336	0.7585	0.8489	20	0.019
IRI_7d x IRI_28d	6	3	0.9049	0.8643	0.7737	0.904	20	0.0406
IRI_14d x IRI_28d	6	3	0.8471	0.8131	0.7126	0.8613	20	0.034
