	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
cat_CKD12	1.0	0.900878	0.744331	0.778365	0.247719	0.413735	0.387591	0.270699	0.282743	0.392165	0.450018	0.471794	0.483893	0.485358	0.441294	0.504941
cat_CKD34	0.900878	1.0	0.775599	0.842732	0.325818	0.448928	0.430197	0.209767	0.298818	0.465093	0.497436	0.534423	0.493339	0.465671	0.465461	0.45056
cat_med_CKD12	0.744331	0.775599	1.0	0.810613	0.151911	0.329689	0.336437	0.226295	0.263813	0.377063	0.384085	0.402354	0.360886	0.349011	0.328773	0.279619
cat_med_CKD34	0.778365	0.842732	0.810613	1.0	0.283987	0.390424	0.4162	0.232648	0.253477	0.429741	0.475629	0.482417	0.449942	0.405835	0.333395	0.396613
mouse_5D	0.247719	0.325818	0.151911	0.283987	1.0	0.770924	0.786135	-0.036635	0.335907	0.723163	0.70495	0.732333	0.680332	0.456831	0.603498	0.542795
mouse_2W	0.413735	0.448928	0.329689	0.390424	0.770924	1.0	0.95667	0.102362	0.376304	0.863285	0.835845	0.857372	0.885506	0.714541	0.849365	0.706772
mouse_3W	0.387591	0.430197	0.336437	0.4162	0.786135	0.95667	1.0	0.083508	0.361902	0.839908	0.866855	0.875406	0.86228	0.67276	0.80056	0.718232
IRI_2h	0.270699	0.209767	0.226295	0.232648	-0.036635	0.102362	0.083508	1.0	0.550245	0.157141	0.193998	0.20504	0.320367	0.600739	0.259228	0.261892
IRI_4h	0.282743	0.298818	0.263813	0.253477	0.335907	0.376304	0.361902	0.550245	1.0	0.422432	0.419477	0.454416	0.466986	0.398538	0.39118	0.339133
IRI_24h	0.392165	0.465093	0.377063	0.429741	0.723163	0.863285	0.839908	0.157141	0.422432	1.0	0.890455	0.85264	0.824514	0.64524	0.716367	0.603815
IRI_48h	0.450018	0.497436	0.384085	0.475629	0.70495	0.835845	0.866855	0.193998	0.419477	0.890455	1.0	0.949202	0.871454	0.699077	0.764079	0.725267
IRI_72h	0.471794	0.534423	0.402354	0.482417	0.732333	0.857372	0.875406	0.20504	0.454416	0.85264	0.949202	1.0	0.8982	0.72863	0.815816	0.731397
IRI_7d	0.483893	0.493339	0.360886	0.449942	0.680332	0.885506	0.86228	0.320367	0.466986	0.824514	0.871454	0.8982	1.0	0.857772	0.910589	0.811978
IRI_14d	0.485358	0.465671	0.349011	0.405835	0.456831	0.714541	0.67276	0.600739	0.398538	0.64524	0.699077	0.72863	0.857772	1.0	0.850065	0.765454
IRI_28d	0.441294	0.465461	0.328773	0.333395	0.603498	0.849365	0.80056	0.259228	0.39118	0.716367	0.764079	0.815816	0.910589	0.850065	1.0	0.798934
IRI_12mo	0.504941	0.45056	0.279619	0.396613	0.542795	0.706772	0.718232	0.261892	0.339133	0.603815	0.725267	0.731397	0.811978	0.765454	0.798934	1.0
