a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass
cat_CKD12	cat_CKD34	0.900878	0.886187	within_dataset	cat	cat	True	same_compartment_diff_stage
cat_CKD12	cat_med_CKD12	0.744331	0.818595	within_dataset	cat	cat	False	same_stage_diff_compartment
cat_CKD12	cat_med_CKD34	0.778365	0.794543	within_dataset	cat	cat	False	diff_compartment_diff_stage
cat_CKD12	mouse_5D	0.247719	0.340596	cross_species	cat	podtreck	False	
cat_CKD12	mouse_2W	0.413735	0.546542	cross_species	cat	podtreck	False	
cat_CKD12	mouse_3W	0.387591	0.528533	cross_species	cat	podtreck	False	
cat_CKD12	IRI_2h	0.270699	0.289569	cross_species	cat	iri	False	
cat_CKD12	IRI_4h	0.282743	0.323967	cross_species	cat	iri	False	
cat_CKD12	IRI_24h	0.392165	0.489627	cross_species	cat	iri	False	
cat_CKD12	IRI_48h	0.450018	0.516112	cross_species	cat	iri	False	
cat_CKD12	IRI_72h	0.471794	0.51098	cross_species	cat	iri	False	
cat_CKD12	IRI_7d	0.483893	0.577804	cross_species	cat	iri	False	
cat_CKD12	IRI_14d	0.485358	0.51655	cross_species	cat	iri	False	
cat_CKD12	IRI_28d	0.441294	0.492356	cross_species	cat	iri	False	
cat_CKD12	IRI_12mo	0.504941	0.557964	cross_species	cat	iri	False	
cat_CKD34	cat_med_CKD12	0.775599	0.81972	within_dataset	cat	cat	False	diff_compartment_diff_stage
cat_CKD34	cat_med_CKD34	0.842732	0.779002	within_dataset	cat	cat	False	same_stage_diff_compartment
cat_CKD34	mouse_5D	0.325818	0.432067	cross_species	cat	podtreck	False	
cat_CKD34	mouse_2W	0.448928	0.621353	cross_species	cat	podtreck	False	
cat_CKD34	mouse_3W	0.430197	0.588644	cross_species	cat	podtreck	False	
cat_CKD34	IRI_2h	0.209767	0.199362	cross_species	cat	iri	False	
cat_CKD34	IRI_4h	0.298818	0.341174	cross_species	cat	iri	False	
cat_CKD34	IRI_24h	0.465093	0.556537	cross_species	cat	iri	False	
cat_CKD34	IRI_48h	0.497436	0.559635	cross_species	cat	iri	False	
cat_CKD34	IRI_72h	0.534423	0.576576	cross_species	cat	iri	False	
cat_CKD34	IRI_7d	0.493339	0.587823	cross_species	cat	iri	False	
cat_CKD34	IRI_14d	0.465671	0.501101	cross_species	cat	iri	False	
cat_CKD34	IRI_28d	0.465461	0.570254	cross_species	cat	iri	False	
cat_CKD34	IRI_12mo	0.45056	0.484292	cross_species	cat	iri	False	
cat_med_CKD12	cat_med_CKD34	0.810613	0.746831	within_dataset	cat	cat	True	same_compartment_diff_stage
cat_med_CKD12	mouse_5D	0.151911	0.385212	cross_species	cat	podtreck	False	
cat_med_CKD12	mouse_2W	0.329689	0.612242	cross_species	cat	podtreck	False	
cat_med_CKD12	mouse_3W	0.336437	0.59159	cross_species	cat	podtreck	False	
cat_med_CKD12	IRI_2h	0.226295	0.2588	cross_species	cat	iri	False	
cat_med_CKD12	IRI_4h	0.263813	0.342933	cross_species	cat	iri	False	
cat_med_CKD12	IRI_24h	0.377063	0.518492	cross_species	cat	iri	False	
cat_med_CKD12	IRI_48h	0.384085	0.544735	cross_species	cat	iri	False	
cat_med_CKD12	IRI_72h	0.402354	0.557507	cross_species	cat	iri	False	
cat_med_CKD12	IRI_7d	0.360886	0.606368	cross_species	cat	iri	False	
cat_med_CKD12	IRI_14d	0.349011	0.536206	cross_species	cat	iri	False	
cat_med_CKD12	IRI_28d	0.328773	0.578484	cross_species	cat	iri	False	
cat_med_CKD12	IRI_12mo	0.279619	0.518956	cross_species	cat	iri	False	
cat_med_CKD34	mouse_5D	0.283987	0.378477	cross_species	cat	podtreck	False	
cat_med_CKD34	mouse_2W	0.390424	0.501681	cross_species	cat	podtreck	False	
cat_med_CKD34	mouse_3W	0.4162	0.537445	cross_species	cat	podtreck	False	
cat_med_CKD34	IRI_2h	0.232648	0.281975	cross_species	cat	iri	False	
cat_med_CKD34	IRI_4h	0.253477	0.30556	cross_species	cat	iri	False	
cat_med_CKD34	IRI_24h	0.429741	0.468203	cross_species	cat	iri	False	
cat_med_CKD34	IRI_48h	0.475629	0.547204	cross_species	cat	iri	False	
cat_med_CKD34	IRI_72h	0.482417	0.523797	cross_species	cat	iri	False	
cat_med_CKD34	IRI_7d	0.449942	0.586234	cross_species	cat	iri	False	
cat_med_CKD34	IRI_14d	0.405835	0.492184	cross_species	cat	iri	False	
cat_med_CKD34	IRI_28d	0.333395	0.420151	cross_species	cat	iri	False	
cat_med_CKD34	IRI_12mo	0.396613	0.60085	cross_species	cat	iri	False	
mouse_5D	mouse_2W	0.770924	0.703128	within_dataset	podtreck	podtreck	True	
mouse_5D	mouse_3W	0.786135	0.713087	within_dataset	podtreck	podtreck	True	
mouse_5D	IRI_2h	-0.036635	-0.003302	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_4h	0.335907	0.37048	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_24h	0.723163	0.661238	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_48h	0.70495	0.639173	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_72h	0.732333	0.688505	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_7d	0.680332	0.598277	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_14d	0.456831	0.344975	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_28d	0.603498	0.541563	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_12mo	0.542795	0.432732	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	mouse_3W	0.95667	0.930952	within_dataset	podtreck	podtreck	True	
mouse_2W	IRI_2h	0.102362	0.205769	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_4h	0.376304	0.430398	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_24h	0.863285	0.819054	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_48h	0.835845	0.779237	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_72h	0.857372	0.853765	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_7d	0.885506	0.852463	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_14d	0.714541	0.687743	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_28d	0.849365	0.863295	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_12mo	0.706772	0.637123	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_2h	0.083508	0.170725	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_4h	0.361902	0.415633	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_24h	0.839908	0.775342	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_48h	0.866855	0.829473	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_72h	0.875406	0.867758	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_7d	0.86228	0.827932	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_14d	0.67276	0.619996	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_28d	0.80056	0.776042	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_12mo	0.718232	0.676649	same_species_diff_dataset	podtreck	iri	False	
IRI_2h	IRI_4h	0.550245	0.459377	within_dataset	iri	iri	True	
IRI_2h	IRI_24h	0.157141	0.225303	within_dataset	iri	iri	True	
IRI_2h	IRI_48h	0.193998	0.221056	within_dataset	iri	iri	True	
IRI_2h	IRI_72h	0.20504	0.217632	within_dataset	iri	iri	True	
IRI_2h	IRI_7d	0.320367	0.398957	within_dataset	iri	iri	True	
IRI_2h	IRI_14d	0.600739	0.700985	within_dataset	iri	iri	True	
IRI_2h	IRI_28d	0.259228	0.28556	within_dataset	iri	iri	True	
IRI_2h	IRI_12mo	0.261892	0.38869	within_dataset	iri	iri	False	
IRI_4h	IRI_24h	0.422432	0.461027	within_dataset	iri	iri	True	
IRI_4h	IRI_48h	0.419477	0.425445	within_dataset	iri	iri	True	
IRI_4h	IRI_72h	0.454416	0.45805	within_dataset	iri	iri	True	
IRI_4h	IRI_7d	0.466986	0.492299	within_dataset	iri	iri	True	
IRI_4h	IRI_14d	0.398538	0.408727	within_dataset	iri	iri	True	
IRI_4h	IRI_28d	0.39118	0.364234	within_dataset	iri	iri	True	
IRI_4h	IRI_12mo	0.339133	0.384658	within_dataset	iri	iri	False	
IRI_24h	IRI_48h	0.890455	0.826599	within_dataset	iri	iri	True	
IRI_24h	IRI_72h	0.85264	0.800175	within_dataset	iri	iri	True	
IRI_24h	IRI_7d	0.824514	0.791588	within_dataset	iri	iri	True	
IRI_24h	IRI_14d	0.64524	0.614198	within_dataset	iri	iri	True	
IRI_24h	IRI_28d	0.716367	0.715683	within_dataset	iri	iri	True	
IRI_24h	IRI_12mo	0.603815	0.584116	within_dataset	iri	iri	False	
IRI_48h	IRI_72h	0.949202	0.920062	within_dataset	iri	iri	True	
IRI_48h	IRI_7d	0.871454	0.823059	within_dataset	iri	iri	True	
IRI_48h	IRI_14d	0.699077	0.602076	within_dataset	iri	iri	True	
IRI_48h	IRI_28d	0.764079	0.682695	within_dataset	iri	iri	True	
IRI_48h	IRI_12mo	0.725267	0.705975	within_dataset	iri	iri	False	
IRI_72h	IRI_7d	0.8982	0.855699	within_dataset	iri	iri	True	
IRI_72h	IRI_14d	0.72863	0.646291	within_dataset	iri	iri	True	
IRI_72h	IRI_28d	0.815816	0.769669	within_dataset	iri	iri	True	
IRI_72h	IRI_12mo	0.731397	0.667836	within_dataset	iri	iri	False	
IRI_7d	IRI_14d	0.857772	0.798804	within_dataset	iri	iri	True	
IRI_7d	IRI_28d	0.910589	0.829021	within_dataset	iri	iri	True	
IRI_7d	IRI_12mo	0.811978	0.763491	within_dataset	iri	iri	False	
IRI_14d	IRI_28d	0.850065	0.761052	within_dataset	iri	iri	True	
IRI_14d	IRI_12mo	0.765454	0.64606	within_dataset	iri	iri	False	
IRI_28d	IRI_12mo	0.798934	0.568936	within_dataset	iri	iri	False	
