	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
cat_CKD12	1.0	0.886187	0.818595	0.794543	0.340596	0.546542	0.528533	0.289569	0.323967	0.489627	0.516112	0.51098	0.577804	0.51655	0.492356	0.557964
cat_CKD34	0.886187	1.0	0.81972	0.779002	0.432067	0.621353	0.588644	0.199362	0.341174	0.556537	0.559635	0.576576	0.587823	0.501101	0.570254	0.484292
cat_med_CKD12	0.818595	0.81972	1.0	0.746831	0.385212	0.612242	0.59159	0.2588	0.342933	0.518492	0.544735	0.557507	0.606368	0.536206	0.578484	0.518956
cat_med_CKD34	0.794543	0.779002	0.746831	1.0	0.378477	0.501681	0.537445	0.281975	0.30556	0.468203	0.547204	0.523797	0.586234	0.492184	0.420151	0.60085
mouse_5D	0.340596	0.432067	0.385212	0.378477	1.0	0.703128	0.713087	-0.003302	0.37048	0.661238	0.639173	0.688505	0.598277	0.344975	0.541563	0.432732
mouse_2W	0.546542	0.621353	0.612242	0.501681	0.703128	1.0	0.930952	0.205769	0.430398	0.819054	0.779237	0.853765	0.852463	0.687743	0.863295	0.637123
mouse_3W	0.528533	0.588644	0.59159	0.537445	0.713087	0.930952	1.0	0.170725	0.415633	0.775342	0.829473	0.867758	0.827932	0.619996	0.776042	0.676649
IRI_2h	0.289569	0.199362	0.2588	0.281975	-0.003302	0.205769	0.170725	1.0	0.459377	0.225303	0.221056	0.217632	0.398957	0.700985	0.28556	0.38869
IRI_4h	0.323967	0.341174	0.342933	0.30556	0.37048	0.430398	0.415633	0.459377	1.0	0.461027	0.425445	0.45805	0.492299	0.408727	0.364234	0.384658
IRI_24h	0.489627	0.556537	0.518492	0.468203	0.661238	0.819054	0.775342	0.225303	0.461027	1.0	0.826599	0.800175	0.791588	0.614198	0.715683	0.584116
IRI_48h	0.516112	0.559635	0.544735	0.547204	0.639173	0.779237	0.829473	0.221056	0.425445	0.826599	1.0	0.920062	0.823059	0.602076	0.682695	0.705975
IRI_72h	0.51098	0.576576	0.557507	0.523797	0.688505	0.853765	0.867758	0.217632	0.45805	0.800175	0.920062	1.0	0.855699	0.646291	0.769669	0.667836
IRI_7d	0.577804	0.587823	0.606368	0.586234	0.598277	0.852463	0.827932	0.398957	0.492299	0.791588	0.823059	0.855699	1.0	0.798804	0.829021	0.763491
IRI_14d	0.51655	0.501101	0.536206	0.492184	0.344975	0.687743	0.619996	0.700985	0.408727	0.614198	0.602076	0.646291	0.798804	1.0	0.761052	0.64606
IRI_28d	0.492356	0.570254	0.578484	0.420151	0.541563	0.863295	0.776042	0.28556	0.364234	0.715683	0.682695	0.769669	0.829021	0.761052	1.0	0.568936
IRI_12mo	0.557964	0.484292	0.518956	0.60085	0.432732	0.637123	0.676649	0.38869	0.384658	0.584116	0.705975	0.667836	0.763491	0.64606	0.568936	1.0
