pair	n_ctrl_full	n_ctrl_split	cos_shared_control	cos_split_median	cos_split_lo	cos_split_hi	n_splits	inflation
cat_CKD12 x cat_CKD34	6	3	0.9009	0.7507	0.5512	0.8489	20	0.1502
IRI_2h x IRI_4h	6	3	0.5502	0.4717	0.2747	0.5596	20	0.0785
IRI_2h x IRI_24h	6	3	0.1571	0.1279	0.0385	0.1853	20	0.0293
IRI_2h x IRI_48h	6	3	0.194	0.1677	0.0776	0.2205	20	0.0263
IRI_2h x IRI_72h	6	3	0.205	0.1713	0.0668	0.236	20	0.0337
IRI_2h x IRI_7d	6	3	0.3204	0.292	0.1907	0.3524	20	0.0284
IRI_2h x IRI_14d	6	3	0.6007	0.5678	0.4421	0.6217	20	0.033
IRI_2h x IRI_28d	6	3	0.2592	0.2252	0.1064	0.2619	20	0.034
IRI_4h x IRI_24h	6	3	0.4224	0.379	0.2352	0.4703	20	0.0434
IRI_4h x IRI_48h	6	3	0.4195	0.3743	0.2631	0.4452	20	0.0452
IRI_4h x IRI_72h	6	3	0.4544	0.415	0.2833	0.4695	20	0.0394
IRI_4h x IRI_7d	6	3	0.467	0.4157	0.2696	0.5239	20	0.0512
IRI_4h x IRI_14d	6	3	0.3985	0.3577	0.1954	0.4555	20	0.0409
IRI_4h x IRI_28d	6	3	0.3912	0.3516	0.2041	0.4184	20	0.0396
IRI_24h x IRI_48h	6	3	0.8905	0.8678	0.7822	0.8977	20	0.0227
IRI_24h x IRI_72h	6	3	0.8526	0.827	0.7277	0.8651	20	0.0256
IRI_24h x IRI_7d	6	3	0.8245	0.8066	0.7403	0.8156	20	0.0179
IRI_24h x IRI_14d	6	3	0.6452	0.6258	0.5671	0.644	20	0.0194
IRI_24h x IRI_28d	6	3	0.7164	0.6842	0.6057	0.718	20	0.0322
IRI_48h x IRI_72h	6	3	0.9492	0.9207	0.834	0.9399	20	0.0285
IRI_48h x IRI_7d	6	3	0.8715	0.8505	0.7683	0.8819	20	0.0209
IRI_48h x IRI_14d	6	3	0.6991	0.6844	0.5883	0.7187	20	0.0147
IRI_48h x IRI_28d	6	3	0.7641	0.7366	0.6427	0.7634	20	0.0275
IRI_72h x IRI_7d	6	3	0.8982	0.8703	0.7736	0.9162	20	0.0279
IRI_72h x IRI_14d	6	3	0.7286	0.7121	0.5976	0.7579	20	0.0165
IRI_72h x IRI_28d	6	3	0.8158	0.7913	0.6802	0.816	20	0.0246
IRI_7d x IRI_14d	6	3	0.8578	0.8375	0.7681	0.8528	20	0.0203
IRI_7d x IRI_28d	6	3	0.9106	0.8737	0.7854	0.9092	20	0.0369
IRI_14d x IRI_28d	6	3	0.8501	0.8186	0.7249	0.8626	20	0.0314
