	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
cat_CKD12	1.0	0.880531	0.711329	0.766095	0.165649	0.272463	0.271138	0.192663	0.233153	0.338379	0.425159	0.386607	0.401808	0.320685	0.30951	0.448443
cat_CKD34	0.880531	1.0	0.707077	0.813101	0.280379	0.352325	0.321294	0.148002	0.258769	0.390462	0.448456	0.453238	0.412105	0.307607	0.35554	0.384018
cat_med_CKD12	0.711329	0.707077	1.0	0.752796	0.173862	0.33226	0.345136	0.123842	0.191431	0.338866	0.375722	0.353915	0.328704	0.247764	0.273778	0.277301
cat_med_CKD34	0.766095	0.813101	0.752796	1.0	0.250568	0.323104	0.348775	0.251866	0.260294	0.329678	0.449343	0.42436	0.435189	0.324957	0.241169	0.425034
mouse_5D	0.165649	0.280379	0.173862	0.250568	1.0	0.632376	0.623032	0.053029	0.325956	0.471674	0.531851	0.655361	0.458939	0.20293	0.382628	0.213211
mouse_2W	0.272463	0.352325	0.33226	0.323104	0.632376	1.0	0.944885	0.113741	0.272808	0.756936	0.671512	0.728472	0.788091	0.58241	0.758658	0.5219
mouse_3W	0.271138	0.321294	0.345136	0.348775	0.623032	0.944885	1.0	0.118631	0.264257	0.721705	0.713634	0.750794	0.766181	0.536482	0.688532	0.534001
IRI_2h	0.192663	0.148002	0.123842	0.251866	0.053029	0.113741	0.118631	1.0	0.629833	0.161478	0.219777	0.22251	0.340221	0.597157	0.267843	0.27502
IRI_4h	0.233153	0.258769	0.191431	0.260294	0.325956	0.272808	0.264257	0.629833	1.0	0.315731	0.354269	0.387923	0.347242	0.250068	0.223287	0.232559
IRI_24h	0.338379	0.390462	0.338866	0.329678	0.471674	0.756936	0.721705	0.161478	0.315731	1.0	0.806292	0.709165	0.757442	0.529658	0.621165	0.54234
IRI_48h	0.425159	0.448456	0.375722	0.449343	0.531851	0.671512	0.713634	0.219777	0.354269	0.806292	1.0	0.890958	0.78323	0.527373	0.602132	0.636427
IRI_72h	0.386607	0.453238	0.353915	0.42436	0.655361	0.728472	0.750794	0.22251	0.387923	0.709165	0.890958	1.0	0.780375	0.532962	0.651645	0.544209
IRI_7d	0.401808	0.412105	0.328704	0.435189	0.458939	0.788091	0.766181	0.340221	0.347242	0.757442	0.78323	0.780375	1.0	0.765978	0.793869	0.726001
IRI_14d	0.320685	0.307607	0.247764	0.324957	0.20293	0.58241	0.536482	0.597157	0.250068	0.529658	0.527373	0.532962	0.765978	1.0	0.761674	0.643515
IRI_28d	0.30951	0.35554	0.273778	0.241169	0.382628	0.758658	0.688532	0.267843	0.223287	0.621165	0.602132	0.651645	0.793869	0.761674	1.0	0.615572
IRI_12mo	0.448443	0.384018	0.277301	0.425034	0.213211	0.5219	0.534001	0.27502	0.232559	0.54234	0.636427	0.544209	0.726001	0.643515	0.615572	1.0
