a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass
cat_CKD12	cat_CKD34	0.880531	0.842217	within_dataset	cat	cat	True	same_compartment_diff_stage
cat_CKD12	cat_med_CKD12	0.711329	0.742884	within_dataset	cat	cat	False	same_stage_diff_compartment
cat_CKD12	cat_med_CKD34	0.766095	0.741988	within_dataset	cat	cat	False	diff_compartment_diff_stage
cat_CKD12	mouse_5D	0.165649	0.236146	cross_species	cat	podtreck	False	
cat_CKD12	mouse_2W	0.272463	0.384054	cross_species	cat	podtreck	False	
cat_CKD12	mouse_3W	0.271138	0.366926	cross_species	cat	podtreck	False	
cat_CKD12	IRI_2h	0.192663	0.230993	cross_species	cat	iri	False	
cat_CKD12	IRI_4h	0.233153	0.237394	cross_species	cat	iri	False	
cat_CKD12	IRI_24h	0.338379	0.383016	cross_species	cat	iri	False	
cat_CKD12	IRI_48h	0.425159	0.397701	cross_species	cat	iri	False	
cat_CKD12	IRI_72h	0.386607	0.363111	cross_species	cat	iri	False	
cat_CKD12	IRI_7d	0.401808	0.456451	cross_species	cat	iri	False	
cat_CKD12	IRI_14d	0.320685	0.36456	cross_species	cat	iri	False	
cat_CKD12	IRI_28d	0.30951	0.330178	cross_species	cat	iri	False	
cat_CKD12	IRI_12mo	0.448443	0.466575	cross_species	cat	iri	False	
cat_CKD34	cat_med_CKD12	0.707077	0.728008	within_dataset	cat	cat	False	diff_compartment_diff_stage
cat_CKD34	cat_med_CKD34	0.813101	0.713517	within_dataset	cat	cat	False	same_stage_diff_compartment
cat_CKD34	mouse_5D	0.280379	0.316136	cross_species	cat	podtreck	False	
cat_CKD34	mouse_2W	0.352325	0.450679	cross_species	cat	podtreck	False	
cat_CKD34	mouse_3W	0.321294	0.393939	cross_species	cat	podtreck	False	
cat_CKD34	IRI_2h	0.148002	0.165294	cross_species	cat	iri	False	
cat_CKD34	IRI_4h	0.258769	0.273747	cross_species	cat	iri	False	
cat_CKD34	IRI_24h	0.390462	0.414039	cross_species	cat	iri	False	
cat_CKD34	IRI_48h	0.448456	0.388864	cross_species	cat	iri	False	
cat_CKD34	IRI_72h	0.453238	0.414153	cross_species	cat	iri	False	
cat_CKD34	IRI_7d	0.412105	0.421374	cross_species	cat	iri	False	
cat_CKD34	IRI_14d	0.307607	0.32801	cross_species	cat	iri	False	
cat_CKD34	IRI_28d	0.35554	0.386719	cross_species	cat	iri	False	
cat_CKD34	IRI_12mo	0.384018	0.348057	cross_species	cat	iri	False	
cat_med_CKD12	cat_med_CKD34	0.752796	0.67707	within_dataset	cat	cat	True	same_compartment_diff_stage
cat_med_CKD12	mouse_5D	0.173862	0.268999	cross_species	cat	podtreck	False	
cat_med_CKD12	mouse_2W	0.33226	0.448685	cross_species	cat	podtreck	False	
cat_med_CKD12	mouse_3W	0.345136	0.432092	cross_species	cat	podtreck	False	
cat_med_CKD12	IRI_2h	0.123842	0.189409	cross_species	cat	iri	False	
cat_med_CKD12	IRI_4h	0.191431	0.234506	cross_species	cat	iri	False	
cat_med_CKD12	IRI_24h	0.338866	0.391871	cross_species	cat	iri	False	
cat_med_CKD12	IRI_48h	0.375722	0.398102	cross_species	cat	iri	False	
cat_med_CKD12	IRI_72h	0.353915	0.400872	cross_species	cat	iri	False	
cat_med_CKD12	IRI_7d	0.328704	0.444951	cross_species	cat	iri	False	
cat_med_CKD12	IRI_14d	0.247764	0.370821	cross_species	cat	iri	False	
cat_med_CKD12	IRI_28d	0.273778	0.400068	cross_species	cat	iri	False	
cat_med_CKD12	IRI_12mo	0.277301	0.385452	cross_species	cat	iri	False	
cat_med_CKD34	mouse_5D	0.250568	0.237253	cross_species	cat	podtreck	False	
cat_med_CKD34	mouse_2W	0.323104	0.358798	cross_species	cat	podtreck	False	
cat_med_CKD34	mouse_3W	0.348775	0.385959	cross_species	cat	podtreck	False	
cat_med_CKD34	IRI_2h	0.251866	0.289229	cross_species	cat	iri	False	
cat_med_CKD34	IRI_4h	0.260294	0.250351	cross_species	cat	iri	False	
cat_med_CKD34	IRI_24h	0.329678	0.31336	cross_species	cat	iri	False	
cat_med_CKD34	IRI_48h	0.449343	0.433441	cross_species	cat	iri	False	
cat_med_CKD34	IRI_72h	0.42436	0.394889	cross_species	cat	iri	False	
cat_med_CKD34	IRI_7d	0.435189	0.487894	cross_species	cat	iri	False	
cat_med_CKD34	IRI_14d	0.324957	0.358724	cross_species	cat	iri	False	
cat_med_CKD34	IRI_28d	0.241169	0.239083	cross_species	cat	iri	False	
cat_med_CKD34	IRI_12mo	0.425034	0.526402	cross_species	cat	iri	False	
mouse_5D	mouse_2W	0.632376	0.62342	within_dataset	podtreck	podtreck	True	
mouse_5D	mouse_3W	0.623032	0.603618	within_dataset	podtreck	podtreck	True	
mouse_5D	IRI_2h	0.053029	-0.074122	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_4h	0.325956	0.28096	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_24h	0.471674	0.526964	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_48h	0.531851	0.538741	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_72h	0.655361	0.650693	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_7d	0.458939	0.440806	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_14d	0.20293	0.185507	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_28d	0.382628	0.398603	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_12mo	0.213211	0.249127	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	mouse_3W	0.944885	0.916634	within_dataset	podtreck	podtreck	True	
mouse_2W	IRI_2h	0.113741	0.107558	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_4h	0.272808	0.298431	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_24h	0.756936	0.756386	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_48h	0.671512	0.68993	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_72h	0.728472	0.756884	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_7d	0.788091	0.78509	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_14d	0.58241	0.59773	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_28d	0.758658	0.752436	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_12mo	0.5219	0.537885	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_2h	0.118631	0.094586	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_4h	0.264257	0.279326	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_24h	0.721705	0.689906	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_48h	0.713634	0.740634	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_72h	0.750794	0.776324	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_7d	0.766181	0.760279	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_14d	0.536482	0.523575	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_28d	0.688532	0.646465	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_12mo	0.534001	0.578095	same_species_diff_dataset	podtreck	iri	False	
IRI_2h	IRI_4h	0.629833	0.460374	within_dataset	iri	iri	True	
IRI_2h	IRI_24h	0.161478	0.166896	within_dataset	iri	iri	True	
IRI_2h	IRI_48h	0.219777	0.18198	within_dataset	iri	iri	True	
IRI_2h	IRI_72h	0.22251	0.147754	within_dataset	iri	iri	True	
IRI_2h	IRI_7d	0.340221	0.352973	within_dataset	iri	iri	True	
IRI_2h	IRI_14d	0.597157	0.646173	within_dataset	iri	iri	True	
IRI_2h	IRI_28d	0.267843	0.245596	within_dataset	iri	iri	True	
IRI_2h	IRI_12mo	0.27502	0.30736	within_dataset	iri	iri	False	
IRI_4h	IRI_24h	0.315731	0.333924	within_dataset	iri	iri	True	
IRI_4h	IRI_48h	0.354269	0.327911	within_dataset	iri	iri	True	
IRI_4h	IRI_72h	0.387923	0.344578	within_dataset	iri	iri	True	
IRI_4h	IRI_7d	0.347242	0.356474	within_dataset	iri	iri	True	
IRI_4h	IRI_14d	0.250068	0.25008	within_dataset	iri	iri	True	
IRI_4h	IRI_28d	0.223287	0.186622	within_dataset	iri	iri	True	
IRI_4h	IRI_12mo	0.232559	0.243096	within_dataset	iri	iri	False	
IRI_24h	IRI_48h	0.806292	0.760166	within_dataset	iri	iri	True	
IRI_24h	IRI_72h	0.709165	0.663532	within_dataset	iri	iri	True	
IRI_24h	IRI_7d	0.757442	0.739749	within_dataset	iri	iri	True	
IRI_24h	IRI_14d	0.529658	0.5349	within_dataset	iri	iri	True	
IRI_24h	IRI_28d	0.621165	0.630307	within_dataset	iri	iri	True	
IRI_24h	IRI_12mo	0.54234	0.523117	within_dataset	iri	iri	False	
IRI_48h	IRI_72h	0.890958	0.850861	within_dataset	iri	iri	True	
IRI_48h	IRI_7d	0.78323	0.760725	within_dataset	iri	iri	True	
IRI_48h	IRI_14d	0.527373	0.488033	within_dataset	iri	iri	True	
IRI_48h	IRI_28d	0.602132	0.540987	within_dataset	iri	iri	True	
IRI_48h	IRI_12mo	0.636427	0.623197	within_dataset	iri	iri	False	
IRI_72h	IRI_7d	0.780375	0.740859	within_dataset	iri	iri	True	
IRI_72h	IRI_14d	0.532962	0.499206	within_dataset	iri	iri	True	
IRI_72h	IRI_28d	0.651645	0.60843	within_dataset	iri	iri	True	
IRI_72h	IRI_12mo	0.544209	0.493802	within_dataset	iri	iri	False	
IRI_7d	IRI_14d	0.765978	0.742077	within_dataset	iri	iri	True	
IRI_7d	IRI_28d	0.793869	0.71606	within_dataset	iri	iri	True	
IRI_7d	IRI_12mo	0.726001	0.698018	within_dataset	iri	iri	False	
IRI_14d	IRI_28d	0.761674	0.731928	within_dataset	iri	iri	True	
IRI_14d	IRI_12mo	0.643515	0.560788	within_dataset	iri	iri	False	
IRI_28d	IRI_12mo	0.615572	0.437519	within_dataset	iri	iri	False	
