	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
cat_CKD12	1.0	0.842217	0.742884	0.741988	0.236146	0.384054	0.366926	0.230993	0.237394	0.383016	0.397701	0.363111	0.456451	0.36456	0.330178	0.466575
cat_CKD34	0.842217	1.0	0.728008	0.713517	0.316136	0.450679	0.393939	0.165294	0.273747	0.414039	0.388864	0.414153	0.421374	0.32801	0.386719	0.348057
cat_med_CKD12	0.742884	0.728008	1.0	0.67707	0.268999	0.448685	0.432092	0.189409	0.234506	0.391871	0.398102	0.400872	0.444951	0.370821	0.400068	0.385452
cat_med_CKD34	0.741988	0.713517	0.67707	1.0	0.237253	0.358798	0.385959	0.289229	0.250351	0.31336	0.433441	0.394889	0.487894	0.358724	0.239083	0.526402
mouse_5D	0.236146	0.316136	0.268999	0.237253	1.0	0.62342	0.603618	-0.074122	0.28096	0.526964	0.538741	0.650693	0.440806	0.185507	0.398603	0.249127
mouse_2W	0.384054	0.450679	0.448685	0.358798	0.62342	1.0	0.916634	0.107558	0.298431	0.756386	0.68993	0.756884	0.78509	0.59773	0.752436	0.537885
mouse_3W	0.366926	0.393939	0.432092	0.385959	0.603618	0.916634	1.0	0.094586	0.279326	0.689906	0.740634	0.776324	0.760279	0.523575	0.646465	0.578095
IRI_2h	0.230993	0.165294	0.189409	0.289229	-0.074122	0.107558	0.094586	1.0	0.460374	0.166896	0.18198	0.147754	0.352973	0.646173	0.245596	0.30736
IRI_4h	0.237394	0.273747	0.234506	0.250351	0.28096	0.298431	0.279326	0.460374	1.0	0.333924	0.327911	0.344578	0.356474	0.25008	0.186622	0.243096
IRI_24h	0.383016	0.414039	0.391871	0.31336	0.526964	0.756386	0.689906	0.166896	0.333924	1.0	0.760166	0.663532	0.739749	0.5349	0.630307	0.523117
IRI_48h	0.397701	0.388864	0.398102	0.433441	0.538741	0.68993	0.740634	0.18198	0.327911	0.760166	1.0	0.850861	0.760725	0.488033	0.540987	0.623197
IRI_72h	0.363111	0.414153	0.400872	0.394889	0.650693	0.756884	0.776324	0.147754	0.344578	0.663532	0.850861	1.0	0.740859	0.499206	0.60843	0.493802
IRI_7d	0.456451	0.421374	0.444951	0.487894	0.440806	0.78509	0.760279	0.352973	0.356474	0.739749	0.760725	0.740859	1.0	0.742077	0.71606	0.698018
IRI_14d	0.36456	0.32801	0.370821	0.358724	0.185507	0.59773	0.523575	0.646173	0.25008	0.5349	0.488033	0.499206	0.742077	1.0	0.731928	0.560788
IRI_28d	0.330178	0.386719	0.400068	0.239083	0.398603	0.752436	0.646465	0.245596	0.186622	0.630307	0.540987	0.60843	0.71606	0.731928	1.0	0.437519
IRI_12mo	0.466575	0.348057	0.385452	0.526402	0.249127	0.537885	0.578095	0.30736	0.243096	0.523117	0.623197	0.493802	0.698018	0.560788	0.437519	1.0
