pair	n_ctrl_full	n_ctrl_split	cos_shared_control	cos_split_median	cos_split_lo	cos_split_hi	n_splits	inflation
cat_CKD12 x cat_CKD34	6	3	0.8805	0.7355	0.5305	0.8331	20	0.145
IRI_2h x IRI_4h	6	3	0.6298	0.5342	0.2781	0.638	20	0.0957
IRI_2h x IRI_24h	6	3	0.1615	0.1114	-0.028	0.1714	20	0.0501
IRI_2h x IRI_48h	6	3	0.2198	0.1855	0.0133	0.2281	20	0.0343
IRI_2h x IRI_72h	6	3	0.2225	0.1659	-0.0051	0.2463	20	0.0566
IRI_2h x IRI_7d	6	3	0.3402	0.2856	0.109	0.3549	20	0.0546
IRI_2h x IRI_14d	6	3	0.5972	0.531	0.3357	0.614	20	0.0662
IRI_2h x IRI_28d	6	3	0.2678	0.2056	-0.0303	0.2367	20	0.0623
IRI_4h x IRI_24h	6	3	0.3157	0.2381	0.0666	0.3609	20	0.0777
IRI_4h x IRI_48h	6	3	0.3543	0.3029	0.104	0.3462	20	0.0514
IRI_4h x IRI_72h	6	3	0.3879	0.3416	0.1166	0.3798	20	0.0463
IRI_4h x IRI_7d	6	3	0.3472	0.2672	0.0738	0.412	20	0.08
IRI_4h x IRI_14d	6	3	0.2501	0.1967	-0.0093	0.3213	20	0.0533
IRI_4h x IRI_28d	6	3	0.2233	0.1444	-0.0808	0.2463	20	0.0789
IRI_24h x IRI_48h	6	3	0.8063	0.7321	0.5305	0.8482	20	0.0742
IRI_24h x IRI_72h	6	3	0.7092	0.6569	0.404	0.7694	20	0.0523
IRI_24h x IRI_7d	6	3	0.7574	0.716	0.5211	0.7447	20	0.0414
IRI_24h x IRI_14d	6	3	0.5297	0.4907	0.3322	0.5251	20	0.0389
IRI_24h x IRI_28d	6	3	0.6212	0.5433	0.3071	0.6259	20	0.0778
IRI_48h x IRI_72h	6	3	0.891	0.8244	0.6075	0.8836	20	0.0665
IRI_48h x IRI_7d	6	3	0.7832	0.7065	0.507	0.8215	20	0.0767
IRI_48h x IRI_14d	6	3	0.5274	0.4842	0.2763	0.5753	20	0.0432
IRI_48h x IRI_28d	6	3	0.6021	0.5415	0.2829	0.618	20	0.0607
IRI_72h x IRI_7d	6	3	0.7804	0.7228	0.4585	0.8557	20	0.0576
IRI_72h x IRI_14d	6	3	0.533	0.5073	0.2414	0.6087	20	0.0256
IRI_72h x IRI_28d	6	3	0.6516	0.5539	0.2869	0.6926	20	0.0977
IRI_7d x IRI_14d	6	3	0.766	0.7287	0.5251	0.7424	20	0.0373
IRI_7d x IRI_28d	6	3	0.7939	0.6999	0.428	0.7894	20	0.0939
IRI_14d x IRI_28d	6	3	0.7617	0.6815	0.417	0.7693	20	0.0801
