	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
cat_CKD12	1.0	0.875995	0.72263	0.76301	0.142154	0.259059	0.253198	0.189881	0.197664	0.280521	0.324849	0.317442	0.363904	0.328489	0.299646	0.426517
cat_CKD34	0.875995	1.0	0.734013	0.823891	0.264115	0.36297	0.326567	0.138042	0.235619	0.379576	0.384748	0.407753	0.392614	0.326053	0.357715	0.356841
cat_med_CKD12	0.72263	0.734013	1.0	0.764322	0.159163	0.325043	0.327726	0.136711	0.19461	0.330425	0.344955	0.336873	0.326588	0.285735	0.301272	0.280545
cat_med_CKD34	0.76301	0.823891	0.764322	1.0	0.264929	0.362709	0.375509	0.239056	0.249477	0.351037	0.437928	0.423498	0.436562	0.359636	0.283879	0.432829
mouse_5D	0.142154	0.264115	0.159163	0.264929	1.0	0.661728	0.653475	0.084545	0.342022	0.519676	0.541248	0.654652	0.505283	0.279588	0.41339	0.291466
mouse_2W	0.259059	0.36297	0.325043	0.362709	0.661728	1.0	0.948762	0.11928	0.280814	0.761609	0.672634	0.730786	0.807058	0.637988	0.775219	0.559322
mouse_3W	0.253198	0.326567	0.327726	0.375509	0.653475	0.948762	1.0	0.134237	0.279519	0.724039	0.717367	0.752616	0.788809	0.599736	0.705729	0.588533
IRI_2h	0.189881	0.138042	0.136711	0.239056	0.084545	0.11928	0.134237	1.0	0.638488	0.16564	0.200037	0.20994	0.308535	0.580837	0.224373	0.269432
IRI_4h	0.197664	0.235619	0.19461	0.249477	0.342022	0.280814	0.279519	0.638488	1.0	0.321377	0.330286	0.382022	0.349583	0.286552	0.233359	0.245959
IRI_24h	0.280521	0.379576	0.330425	0.351037	0.519676	0.761609	0.724039	0.16564	0.321377	1.0	0.820491	0.740299	0.7621	0.568969	0.632859	0.528857
IRI_48h	0.324849	0.384748	0.344955	0.437928	0.541248	0.672634	0.717367	0.200037	0.330286	0.820491	1.0	0.894164	0.776779	0.551739	0.577467	0.632792
IRI_72h	0.317442	0.407753	0.336873	0.423498	0.654652	0.730786	0.752616	0.20994	0.382022	0.740299	0.894164	1.0	0.79519	0.573166	0.640297	0.570457
IRI_7d	0.363904	0.392614	0.326588	0.436562	0.505283	0.807058	0.788809	0.308535	0.349583	0.7621	0.776779	0.79519	1.0	0.789002	0.804313	0.734353
IRI_14d	0.328489	0.326053	0.285735	0.359636	0.279588	0.637988	0.599736	0.580837	0.286552	0.568969	0.551739	0.573166	0.789002	1.0	0.774213	0.645918
IRI_28d	0.299646	0.357715	0.301272	0.283879	0.41339	0.775219	0.705729	0.224373	0.233359	0.632859	0.577467	0.640297	0.804313	0.774213	1.0	0.610495
IRI_12mo	0.426517	0.356841	0.280545	0.432829	0.291466	0.559322	0.588533	0.269432	0.245959	0.528857	0.632792	0.570457	0.734353	0.645918	0.610495	1.0
