a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass
cat_CKD12	cat_CKD34	0.875995	0.844208	within_dataset	cat	cat	True	same_compartment_diff_stage
cat_CKD12	cat_med_CKD12	0.72263	0.747249	within_dataset	cat	cat	False	same_stage_diff_compartment
cat_CKD12	cat_med_CKD34	0.76301	0.756169	within_dataset	cat	cat	False	diff_compartment_diff_stage
cat_CKD12	mouse_5D	0.142154	0.217731	cross_species	cat	podtreck	False	
cat_CKD12	mouse_2W	0.259059	0.367152	cross_species	cat	podtreck	False	
cat_CKD12	mouse_3W	0.253198	0.365267	cross_species	cat	podtreck	False	
cat_CKD12	IRI_2h	0.189881	0.21901	cross_species	cat	iri	False	
cat_CKD12	IRI_4h	0.197664	0.21974	cross_species	cat	iri	False	
cat_CKD12	IRI_24h	0.280521	0.36444	cross_species	cat	iri	False	
cat_CKD12	IRI_48h	0.324849	0.3515	cross_species	cat	iri	False	
cat_CKD12	IRI_72h	0.317442	0.327183	cross_species	cat	iri	False	
cat_CKD12	IRI_7d	0.363904	0.436797	cross_species	cat	iri	False	
cat_CKD12	IRI_14d	0.328489	0.368021	cross_species	cat	iri	False	
cat_CKD12	IRI_28d	0.299646	0.319104	cross_species	cat	iri	False	
cat_CKD12	IRI_12mo	0.426517	0.446347	cross_species	cat	iri	False	
cat_CKD34	cat_med_CKD12	0.734013	0.757672	within_dataset	cat	cat	False	diff_compartment_diff_stage
cat_CKD34	cat_med_CKD34	0.823891	0.735614	within_dataset	cat	cat	False	same_stage_diff_compartment
cat_CKD34	mouse_5D	0.264115	0.300985	cross_species	cat	podtreck	False	
cat_CKD34	mouse_2W	0.36297	0.438026	cross_species	cat	podtreck	False	
cat_CKD34	mouse_3W	0.326567	0.39277	cross_species	cat	podtreck	False	
cat_CKD34	IRI_2h	0.138042	0.143664	cross_species	cat	iri	False	
cat_CKD34	IRI_4h	0.235619	0.234557	cross_species	cat	iri	False	
cat_CKD34	IRI_24h	0.379576	0.417279	cross_species	cat	iri	False	
cat_CKD34	IRI_48h	0.384748	0.366606	cross_species	cat	iri	False	
cat_CKD34	IRI_72h	0.407753	0.375367	cross_species	cat	iri	False	
cat_CKD34	IRI_7d	0.392614	0.411103	cross_species	cat	iri	False	
cat_CKD34	IRI_14d	0.326053	0.346371	cross_species	cat	iri	False	
cat_CKD34	IRI_28d	0.357715	0.390559	cross_species	cat	iri	False	
cat_CKD34	IRI_12mo	0.356841	0.336424	cross_species	cat	iri	False	
cat_med_CKD12	cat_med_CKD34	0.764322	0.699272	within_dataset	cat	cat	True	same_compartment_diff_stage
cat_med_CKD12	mouse_5D	0.159163	0.251512	cross_species	cat	podtreck	False	
cat_med_CKD12	mouse_2W	0.325043	0.431425	cross_species	cat	podtreck	False	
cat_med_CKD12	mouse_3W	0.327726	0.41246	cross_species	cat	podtreck	False	
cat_med_CKD12	IRI_2h	0.136711	0.204444	cross_species	cat	iri	False	
cat_med_CKD12	IRI_4h	0.19461	0.255029	cross_species	cat	iri	False	
cat_med_CKD12	IRI_24h	0.330425	0.395476	cross_species	cat	iri	False	
cat_med_CKD12	IRI_48h	0.344955	0.378089	cross_species	cat	iri	False	
