	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
cat_CKD12	1.0	0.844208	0.747249	0.756169	0.217731	0.367152	0.365267	0.21901	0.21974	0.36444	0.3515	0.327183	0.436797	0.368021	0.319104	0.446347
cat_CKD34	0.844208	1.0	0.757672	0.735614	0.300985	0.438026	0.39277	0.143664	0.234557	0.417279	0.366606	0.375367	0.411103	0.346371	0.390559	0.336424
cat_med_CKD12	0.747249	0.757672	1.0	0.699272	0.251512	0.431425	0.41246	0.204444	0.255029	0.395476	0.378089	0.37682	0.441486	0.392509	0.405936	0.371923
cat_med_CKD34	0.756169	0.735614	0.699272	1.0	0.248719	0.363977	0.405803	0.279848	0.261623	0.342823	0.438917	0.387571	0.48842	0.383403	0.258025	0.532957
mouse_5D	0.217731	0.300985	0.251512	0.248719	1.0	0.632437	0.607813	-0.03175	0.262205	0.537146	0.534968	0.653817	0.4784	0.250795	0.427294	0.292193
mouse_2W	0.367152	0.438026	0.431425	0.363977	0.632437	1.0	0.912213	0.107514	0.293877	0.753746	0.666525	0.742717	0.785852	0.6243	0.767092	0.529202
mouse_3W	0.365267	0.39277	0.41246	0.405803	0.607813	0.912213	1.0	0.105708	0.290597	0.687002	0.728461	0.765577	0.766598	0.556596	0.658055	0.593789
IRI_2h	0.21901	0.143664	0.204444	0.279848	-0.03175	0.107514	0.105708	1.0	0.519203	0.178916	0.171457	0.165741	0.33603	0.624083	0.218899	0.303703
IRI_4h	0.21974	0.234557	0.255029	0.261623	0.262205	0.293877	0.290597	0.519203	1.0	0.332685	0.329467	0.374492	0.387542	0.324058	0.223384	0.283455
IRI_24h	0.36444	0.417279	0.395476	0.342823	0.537146	0.753746	0.687002	0.178916	0.332685	1.0	0.755825	0.675046	0.741422	0.578995	0.657369	0.510747
IRI_48h	0.3515	0.366606	0.378089	0.438917	0.534968	0.666525	0.728461	0.171457	0.329467	0.755825	1.0	0.849294	0.747843	0.51333	0.533204	0.635128
IRI_72h	0.327183	0.375367	0.37682	0.387571	0.653817	0.742717	0.765577	0.165741	0.374492	0.675046	0.849294	1.0	0.753085	0.544317	0.606443	0.519022
IRI_7d	0.436797	0.411103	0.441486	0.48842	0.4784	0.785852	0.766598	0.33603	0.387542	0.741422	0.747843	0.753085	1.0	0.760342	0.716489	0.696166
IRI_14d	0.368021	0.346371	0.392509	0.383403	0.250795	0.6243	0.556596	0.624083	0.324058	0.578995	0.51333	0.544317	0.760342	1.0	0.739734	0.559649
IRI_28d	0.319104	0.390559	0.405936	0.258025	0.427294	0.767092	0.658055	0.218899	0.223384	0.657369	0.533204	0.606443	0.716489	0.739734	1.0	0.423206
IRI_12mo	0.446347	0.336424	0.371923	0.532957	0.292193	0.529202	0.593789	0.303703	0.283455	0.510747	0.635128	0.519022	0.696166	0.559649	0.423206	1.0
