pair	n_ctrl_full	n_ctrl_split	cos_shared_control	cos_split_median	cos_split_lo	cos_split_hi	n_splits	inflation
cat_CKD12 x cat_CKD34	6	3	0.876	0.735	0.5428	0.8287	20	0.141
IRI_2h x IRI_4h	6	3	0.6385	0.5438	0.2816	0.6342	20	0.0947
IRI_2h x IRI_24h	6	3	0.1656	0.1205	-0.0124	0.1832	20	0.0451
IRI_2h x IRI_48h	6	3	0.2	0.1615	0.004	0.2187	20	0.0385
IRI_2h x IRI_72h	6	3	0.2099	0.1679	-0.0172	0.244	20	0.042
IRI_2h x IRI_7d	6	3	0.3085	0.2497	0.0945	0.3241	20	0.0588
IRI_2h x IRI_14d	6	3	0.5808	0.5168	0.3185	0.5968	20	0.064
IRI_2h x IRI_28d	6	3	0.2244	0.1676	-0.0523	0.2071	20	0.0568
IRI_4h x IRI_24h	6	3	0.3214	0.2512	0.0993	0.3652	20	0.0701
IRI_4h x IRI_48h	6	3	0.3303	0.2811	0.105	0.328	20	0.0492
IRI_4h x IRI_72h	6	3	0.382	0.337	0.1323	0.3857	20	0.045
IRI_4h x IRI_7d	6	3	0.3496	0.2833	0.111	0.4047	20	0.0663
IRI_4h x IRI_14d	6	3	0.2866	0.2213	0.0384	0.3487	20	0.0653
IRI_4h x IRI_28d	6	3	0.2334	0.1596	-0.0492	0.2625	20	0.0737
IRI_24h x IRI_48h	6	3	0.8205	0.7606	0.5732	0.8582	20	0.0599
IRI_24h x IRI_72h	6	3	0.7403	0.6943	0.4648	0.7943	20	0.046
IRI_24h x IRI_7d	6	3	0.7621	0.7243	0.5639	0.7564	20	0.0378
IRI_24h x IRI_14d	6	3	0.569	0.5269	0.3888	0.5687	20	0.0421
IRI_24h x IRI_28d	6	3	0.6329	0.5686	0.3587	0.642	20	0.0642
IRI_48h x IRI_72h	6	3	0.8942	0.8351	0.6407	0.8831	20	0.0591
IRI_48h x IRI_7d	6	3	0.7768	0.7155	0.5455	0.8133	20	0.0612
IRI_48h x IRI_14d	6	3	0.5517	0.5115	0.3185	0.5947	20	0.0402
IRI_48h x IRI_28d	6	3	0.5775	0.5263	0.2981	0.5926	20	0.0512
IRI_72h x IRI_7d	6	3	0.7952	0.7377	0.5214	0.8577	20	0.0575
IRI_72h x IRI_14d	6	3	0.5732	0.5443	0.3001	0.6409	20	0.0289
IRI_72h x IRI_28d	6	3	0.6403	0.5657	0.3129	0.6774	20	0.0746
IRI_7d x IRI_14d	6	3	0.789	0.7524	0.5697	0.7711	20	0.0366
IRI_7d x IRI_28d	6	3	0.8043	0.7246	0.4847	0.7914	20	0.0797
IRI_14d x IRI_28d	6	3	0.7742	0.6995	0.4551	0.7719	20	0.0747
