	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
cat_CKD12	1.0	0.897526	0.706255	0.76005	0.247593	0.386086	0.362276	0.216292	0.246107	0.349819	0.416024	0.42316	0.48746	0.468167	0.454757	0.57188
cat_CKD34	0.897526	1.0	0.729543	0.809045	0.335047	0.459456	0.431469	0.18155	0.278873	0.436483	0.473053	0.494061	0.512268	0.467162	0.500748	0.529116
cat_med_CKD12	0.706255	0.729543	1.0	0.762195	0.215904	0.373731	0.376531	0.179478	0.226817	0.367883	0.373179	0.381681	0.390288	0.357856	0.356017	0.375053
cat_med_CKD34	0.76005	0.809045	0.762195	1.0	0.278024	0.359992	0.377764	0.252199	0.255769	0.358945	0.441559	0.433522	0.467259	0.4146	0.337859	0.487854
mouse_5D	0.247593	0.335047	0.215904	0.278024	1.0	0.692309	0.695756	0.064628	0.349126	0.629521	0.636681	0.705762	0.579855	0.357767	0.493908	0.417148
mouse_2W	0.386086	0.459456	0.373731	0.359992	0.692309	1.0	0.953867	0.105985	0.298922	0.80234	0.716239	0.767529	0.835981	0.685397	0.826006	0.646445
mouse_3W	0.362276	0.431469	0.376531	0.377764	0.695756	0.953867	1.0	0.107778	0.299514	0.778685	0.75277	0.785043	0.812237	0.637268	0.757657	0.644791
IRI_2h	0.216292	0.18155	0.179478	0.252199	0.064628	0.105985	0.107778	1.0	0.658673	0.180769	0.226506	0.232631	0.300497	0.515795	0.20816	0.278642
IRI_4h	0.246107	0.278873	0.226817	0.255769	0.349126	0.298922	0.299514	0.658673	1.0	0.357201	0.371916	0.415707	0.360845	0.300309	0.270518	0.310734
IRI_24h	0.349819	0.436483	0.367883	0.358945	0.629521	0.80234	0.778685	0.180769	0.357201	1.0	0.832517	0.775187	0.788852	0.614342	0.675648	0.570789
IRI_48h	0.416024	0.473053	0.373179	0.441559	0.636681	0.716239	0.75277	0.226506	0.371916	0.832517	1.0	0.924008	0.820112	0.630824	0.667561	0.680261
IRI_72h	0.42316	0.494061	0.381681	0.433522	0.705762	0.767529	0.785043	0.232631	0.415707	0.775187	0.924008	1.0	0.837673	0.656095	0.727522	0.673686
IRI_7d	0.48746	0.512268	0.390288	0.467259	0.579855	0.835981	0.812237	0.300497	0.360845	0.788852	0.820112	0.837673	1.0	0.83915	0.867517	0.799252
IRI_14d	0.468167	0.467162	0.357856	0.4146	0.357767	0.685397	0.637268	0.515795	0.300309	0.614342	0.630824	0.656095	0.83915	1.0	0.826471	0.742402
IRI_28d	0.454757	0.500748	0.356017	0.337859	0.493908	0.826006	0.757657	0.20816	0.270518	0.675648	0.667561	0.727522	0.867517	0.826471	1.0	0.764021
IRI_12mo	0.57188	0.529116	0.375053	0.487854	0.417148	0.646445	0.644791	0.278642	0.310734	0.570789	0.680261	0.673686	0.799252	0.742402	0.764021	1.0
