a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass
cat_CKD12	cat_CKD34	0.897526	0.870509	within_dataset	cat	cat	True	same_compartment_diff_stage
cat_CKD12	cat_med_CKD12	0.706255	0.759698	within_dataset	cat	cat	False	same_stage_diff_compartment
cat_CKD12	cat_med_CKD34	0.76005	0.754549	within_dataset	cat	cat	False	diff_compartment_diff_stage
cat_CKD12	mouse_5D	0.247593	0.240714	cross_species	cat	podtreck	False	
cat_CKD12	mouse_2W	0.386086	0.435666	cross_species	cat	podtreck	False	
cat_CKD12	mouse_3W	0.362276	0.411167	cross_species	cat	podtreck	False	
cat_CKD12	IRI_2h	0.216292	0.261178	cross_species	cat	iri	False	
cat_CKD12	IRI_4h	0.246107	0.244183	cross_species	cat	iri	False	
cat_CKD12	IRI_24h	0.349819	0.378654	cross_species	cat	iri	False	
cat_CKD12	IRI_48h	0.416024	0.403805	cross_species	cat	iri	False	
cat_CKD12	IRI_72h	0.42316	0.395979	cross_species	cat	iri	False	
cat_CKD12	IRI_7d	0.48746	0.499348	cross_species	cat	iri	False	
cat_CKD12	IRI_14d	0.468167	0.45452	cross_species	cat	iri	False	
cat_CKD12	IRI_28d	0.454757	0.3911	cross_species	cat	iri	False	
cat_CKD12	IRI_12mo	0.57188	0.521088	cross_species	cat	iri	False	
cat_CKD34	cat_med_CKD12	0.729543	0.755372	within_dataset	cat	cat	False	diff_compartment_diff_stage
cat_CKD34	cat_med_CKD34	0.809045	0.727585	within_dataset	cat	cat	False	same_stage_diff_compartment
cat_CKD34	mouse_5D	0.335047	0.312487	cross_species	cat	podtreck	False	
cat_CKD34	mouse_2W	0.459456	0.498354	cross_species	cat	podtreck	False	
cat_CKD34	mouse_3W	0.431469	0.446549	cross_species	cat	podtreck	False	
cat_CKD34	IRI_2h	0.18155	0.179697	cross_species	cat	iri	False	
cat_CKD34	IRI_4h	0.278873	0.26613	cross_species	cat	iri	False	
cat_CKD34	IRI_24h	0.436483	0.423669	cross_species	cat	iri	False	
cat_CKD34	IRI_48h	0.473053	0.419743	cross_species	cat	iri	False	
cat_CKD34	IRI_72h	0.494061	0.447361	cross_species	cat	iri	False	
cat_CKD34	IRI_7d	0.512268	0.482402	cross_species	cat	iri	False	
cat_CKD34	IRI_14d	0.467162	0.429706	cross_species	cat	iri	False	
cat_CKD34	IRI_28d	0.500748	0.458932	cross_species	cat	iri	False	
cat_CKD34	IRI_12mo	0.529116	0.440492	cross_species	cat	iri	False	
cat_med_CKD12	cat_med_CKD34	0.762195	0.691794	within_dataset	cat	cat	True	same_compartment_diff_stage
cat_med_CKD12	mouse_5D	0.215904	0.243413	cross_species	cat	podtreck	False	
cat_med_CKD12	mouse_2W	0.373731	0.469597	cross_species	cat	podtreck	False	
cat_med_CKD12	mouse_3W	0.376531	0.444852	cross_species	cat	podtreck	False	
cat_med_CKD12	IRI_2h	0.179478	0.222885	cross_species	cat	iri	False	
cat_med_CKD12	IRI_4h	0.226817	0.243683	cross_species	cat	iri	False	
cat_med_CKD12	IRI_24h	0.367883	0.385145	cross_species	cat	iri	False	
cat_med_CKD12	IRI_48h	0.373179	0.395256	cross_species	cat	iri	False	
cat_med_CKD12	IRI_72h	0.381681	0.410831	cross_species	cat	iri	False	
cat_med_CKD12	IRI_7d	0.390288	0.482687	cross_species	cat	iri	False	
cat_med_CKD12	IRI_14d	0.357856	0.450979	cross_species	cat	iri	False	
cat_med_CKD12	IRI_28d	0.356017	0.453357	cross_species	cat	iri	False	
cat_med_CKD12	IRI_12mo	0.375053	0.446959	cross_species	cat	iri	False	
cat_med_CKD34	mouse_5D	0.278024	0.253943	cross_species	cat	podtreck	False	
cat_med_CKD34	mouse_2W	0.359992	0.397049	cross_species	cat	podtreck	False	
cat_med_CKD34	mouse_3W	0.377764	0.424592	cross_species	cat	podtreck	False	
cat_med_CKD34	IRI_2h	0.252199	0.289936	cross_species	cat	iri	False	
