	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
cat_CKD12	1.0	0.870509	0.759698	0.754549	0.240714	0.435666	0.411167	0.261178	0.244183	0.378654	0.403805	0.395979	0.499348	0.45452	0.3911	0.521088
cat_CKD34	0.870509	1.0	0.755372	0.727585	0.312487	0.498354	0.446549	0.179697	0.26613	0.423669	0.419743	0.447361	0.482402	0.429706	0.458932	0.440492
cat_med_CKD12	0.759698	0.755372	1.0	0.691794	0.243413	0.469597	0.444852	0.222885	0.243683	0.385145	0.395256	0.410831	0.482687	0.450979	0.453357	0.446959
cat_med_CKD34	0.754549	0.727585	0.691794	1.0	0.253943	0.397049	0.424592	0.289936	0.23444	0.341131	0.434272	0.403891	0.521585	0.441989	0.30803	0.556322
mouse_5D	0.240714	0.312487	0.243413	0.253943	1.0	0.619118	0.603764	-0.029695	0.31306	0.557009	0.555632	0.637891	0.471986	0.238247	0.408312	0.320256
mouse_2W	0.435666	0.498354	0.469597	0.397049	0.619118	1.0	0.904806	0.148244	0.333183	0.732794	0.687332	0.771018	0.782224	0.639175	0.7823	0.595921
mouse_3W	0.411167	0.446549	0.444852	0.424592	0.603764	0.904806	1.0	0.122257	0.312144	0.669874	0.731293	0.775252	0.752653	0.556659	0.664829	0.624005
IRI_2h	0.261178	0.179697	0.222885	0.289936	-0.029695	0.148244	0.122257	1.0	0.473748	0.201874	0.205939	0.194733	0.366779	0.641414	0.255248	0.341957
IRI_4h	0.244183	0.26613	0.243683	0.23444	0.31306	0.333183	0.312144	0.473748	1.0	0.35396	0.351831	0.400515	0.359827	0.304934	0.24089	0.302771
IRI_24h	0.378654	0.423669	0.385145	0.341131	0.557009	0.732794	0.669874	0.201874	0.35396	1.0	0.774124	0.703639	0.736817	0.55875	0.638636	0.543437
IRI_48h	0.403805	0.419743	0.395256	0.434272	0.555632	0.687332	0.731293	0.205939	0.351831	0.774124	1.0	0.882908	0.780505	0.54595	0.581522	0.661605
IRI_72h	0.395979	0.447361	0.410831	0.403891	0.637891	0.771018	0.775252	0.194733	0.400515	0.703639	0.882908	1.0	0.779543	0.57615	0.659101	0.591395
IRI_7d	0.499348	0.482402	0.482687	0.521585	0.471986	0.782224	0.752653	0.366779	0.359827	0.736817	0.780505	0.779543	1.0	0.778003	0.750192	0.747529
IRI_14d	0.45452	0.429706	0.450979	0.441989	0.238247	0.639175	0.556659	0.641414	0.304934	0.55875	0.54595	0.57615	0.778003	1.0	0.753524	0.636619
IRI_28d	0.3911	0.458932	0.453357	0.30803	0.408312	0.7823	0.664829	0.255248	0.24089	0.638636	0.581522	0.659101	0.750192	0.753524	1.0	0.541548
IRI_12mo	0.521088	0.440492	0.446959	0.556322	0.320256	0.595921	0.624005	0.341957	0.302771	0.543437	0.661605	0.591395	0.747529	0.636619	0.541548	1.0
