pair	n_ctrl_full	n_ctrl_split	cos_shared_control	cos_split_median	cos_split_lo	cos_split_hi	n_splits	inflation
cat_CKD12 x cat_CKD34	6	3	0.8975	0.7621	0.5888	0.8432	20	0.1354
IRI_2h x IRI_4h	6	3	0.6587	0.5712	0.369	0.669	20	0.0875
IRI_2h x IRI_24h	6	3	0.1808	0.127	0.0177	0.2067	20	0.0537
IRI_2h x IRI_48h	6	3	0.2265	0.1956	0.0601	0.227	20	0.0309
IRI_2h x IRI_72h	6	3	0.2326	0.1971	0.054	0.2414	20	0.0355
IRI_2h x IRI_7d	6	3	0.3005	0.2531	0.1293	0.3357	20	0.0474
IRI_2h x IRI_14d	6	3	0.5158	0.4648	0.3129	0.55	20	0.051
IRI_2h x IRI_28d	6	3	0.2082	0.1631	0.0119	0.2187	20	0.0451
IRI_4h x IRI_24h	6	3	0.3572	0.3175	0.1352	0.4195	20	0.0397
IRI_4h x IRI_48h	6	3	0.3719	0.3167	0.1874	0.397	20	0.0552
IRI_4h x IRI_72h	6	3	0.4157	0.3666	0.2119	0.4219	20	0.0491
IRI_4h x IRI_7d	6	3	0.3608	0.321	0.14	0.4327	20	0.0399
IRI_4h x IRI_14d	6	3	0.3003	0.2629	0.0828	0.3741	20	0.0375
IRI_4h x IRI_28d	6	3	0.2705	0.2076	0.0487	0.3214	20	0.0629
IRI_24h x IRI_48h	6	3	0.8325	0.7802	0.6276	0.8593	20	0.0523
IRI_24h x IRI_72h	6	3	0.7752	0.7321	0.5415	0.812	20	0.0431
IRI_24h x IRI_7d	6	3	0.7889	0.7545	0.6317	0.7846	20	0.0343
IRI_24h x IRI_14d	6	3	0.6143	0.5771	0.4739	0.6129	20	0.0372
IRI_24h x IRI_28d	6	3	0.6756	0.6362	0.4803	0.6874	20	0.0394
IRI_48h x IRI_72h	6	3	0.924	0.8719	0.7131	0.9137	20	0.0521
IRI_48h x IRI_7d	6	3	0.8201	0.7725	0.6404	0.8461	20	0.0476
IRI_48h x IRI_14d	6	3	0.6308	0.5937	0.4557	0.6603	20	0.0371
IRI_48h x IRI_28d	6	3	0.6676	0.63	0.4635	0.6735	20	0.0375
IRI_72h x IRI_7d	6	3	0.8377	0.7893	0.6172	0.8837	20	0.0484
IRI_72h x IRI_14d	6	3	0.6561	0.6258	0.4456	0.7047	20	0.0303
IRI_72h x IRI_28d	6	3	0.7275	0.67	0.4921	0.7485	20	0.0575
IRI_7d x IRI_14d	6	3	0.8392	0.812	0.6818	0.8222	20	0.0271
IRI_7d x IRI_28d	6	3	0.8675	0.8123	0.6532	0.8586	20	0.0552
IRI_14d x IRI_28d	6	3	0.8265	0.7774	0.6186	0.8257	20	0.0491
