decile	n_core	n_added	rho_GroupA	rho_GroupB	delta_GroupB_minus_GroupA
1	29	1030	0.17241379310344823	0.37985584803114003	0.2074420549276918
2	45	1013	0.6986824769433464	0.42890547170526166	-0.26977700523808473
3	60	998	0.4477910530702973	0.4541485886221496	0.006357535551852256
4	84	974	0.593581046876582	0.35900120502014354	-0.23457984185643843
5	120	938	0.6467949163136328	0.35346594727198943	-0.2933289690416434
6	150	908	0.43687097204320197	0.33509087300669416	-0.10178009903650781
7	192	865	0.560529867346662	0.3405406522877387	-0.21998921505892327
8	286	773	0.6168360522660906	0.3746166677604356	-0.242219384505655
9	449	609	0.5822108654152083	0.41691553998053354	-0.16529532543467473
10	706	352	0.7303944121303645	0.6025013702067525	-0.12789304192361195
