decile	n_core	n_added	rho_GroupA	rho_GroupB	delta_GroupB_minus_GroupA
1	243	816	0.3946736783299128	0.269942007335107	-0.12473167099480581
2	224	834	0.4415887251761692	0.331230166645558	-0.11035855853061122
3	219	839	0.5205091000491278	0.34670166495515464	-0.17380743509397312
4	213	845	0.5390024860856196	0.3792099276062323	-0.15979255847938734
5	207	851	0.629779956922211	0.3918100154114707	-0.2379699415107403
6	190	868	0.6803037261565783	0.45351232642422745	-0.22679139973235085
7	201	856	0.7005615486921827	0.5396942092961278	-0.1608673393960549
8	201	858	0.7483227427220335	0.43774602441772614	-0.31057671830430733
9	212	846	0.7399926699605665	0.5196257593519906	-0.22036691060857583
10	211	847	0.6496582823418199	0.5748119637621845	-0.07484631857963542
