decile	n_core	n_added	rho_GroupA	rho_GroupB	delta_GroupB_minus_GroupA
1	239	820	0.38190464470306945	0.2829359048900952	-0.09896873981297427
2	232	826	0.44871792407681105	0.3058300410879674	-0.14288788298884364
3	214	844	0.5064477716111929	0.35906450373790727	-0.14738326787328565
4	217	841	0.5564128581293424	0.3854503884923784	-0.170962469636964
5	189	869	0.6129952540926785	0.3796567029653018	-0.23333855112737673
6	202	856	0.7056244408353781	0.46724131564694027	-0.23838312518843785
7	199	858	0.6707674737322978	0.5377331918614217	-0.13303428187087618
8	210	849	0.7506078855043683	0.4482612762419455	-0.3023466092624228
9	209	849	0.7378923707871076	0.5020181149331524	-0.23587425585395516
10	210	848	0.6554168704829718	0.5808550361444796	-0.07456183433849217
