a	b	class	same_dataset	D_rho (1-Spearman)	D_cos (1-cos)	D_nrm (|log2 norm ratio|)
cat_CKD12	cat_CKD34	within species	True	0.1049	0.0931	0.736
cat_CKD12	cat_med_CKD12	within species	True	0.1784	0.2409	1.105
cat_CKD12	cat_med_CKD34	within species	True	0.1836	0.2063	0.8624
cat_CKD12	mouse_5D	cross species	False	0.5831	0.7136	0.0635
cat_CKD12	mouse_2W	cross species	False	0.3979	0.5297	1.3058
cat_CKD12	mouse_3W	cross species	False	0.4114	0.5509	0.7622
cat_CKD12	IRI_2h	cross species	False	0.7398	0.7463	0.0507
cat_CKD12	IRI_4h	cross species	False	0.6535	0.7078	0.1893
cat_CKD12	IRI_24h	cross species	False	0.4524	0.5401	1.0424
cat_CKD12	IRI_48h	cross species	False	0.4397	0.5171	0.9134
cat_CKD12	IRI_72h	cross species	False	0.439	0.4911	0.7892
cat_CKD12	IRI_7d	cross species	False	0.3799	0.4866	0.9447
cat_CKD12	IRI_14d	cross species	False	0.4575	0.5016	0.8582
cat_CKD12	IRI_28d	cross species	False	0.4578	0.528	0.4638
cat_CKD12	IRI_12mo	cross species	False	0.4067	0.4965	0.2631
cat_CKD34	cat_med_CKD12	within species	True	0.1692	0.2102	0.369
cat_CKD34	cat_med_CKD34	within species	True	0.1934	0.1426	0.1264
cat_CKD34	mouse_5D	cross species	False	0.508	0.6538	0.7995
cat_CKD34	mouse_2W	cross species	False	0.3345	0.5016	0.5697
cat_CKD34	mouse_3W	cross species	False	0.3636	0.5199	0.0262
cat_CKD34	IRI_2h	cross species	False	0.8223	0.807	0.7867
cat_CKD34	IRI_4h	cross species	False	0.6391	0.6971	0.9253
cat_CKD34	IRI_24h	cross species	False	0.3917	0.4824	0.3064
cat_CKD34	IRI_48h	cross species	False	0.4065	0.4899	0.1774
cat_CKD34	IRI_72h	cross species	False	0.3879	0.4518	0.0532
cat_CKD34	IRI_7d	cross species	False	0.3691	0.4884	0.2086
cat_CKD34	IRI_14d	cross species	False	0.4706	0.5302	0.1222
cat_CKD34	IRI_28d	cross species	False	0.3872	0.5159	0.2723
cat_CKD34	IRI_12mo	cross species	False	0.475	0.5584	0.9991
cat_med_CKD12	cat_med_CKD34	within species	True	0.2256	0.1684	0.2426
cat_med_CKD12	mouse_5D	cross species	False	0.553	0.814	1.1685
cat_med_CKD12	mouse_2W	cross species	False	0.3354	0.5879	0.2008
cat_med_CKD12	mouse_3W	cross species	False	0.3544	0.5868	0.3428
cat_med_CKD12	IRI_2h	cross species	False	0.7703	0.8005	1.1557
cat_med_CKD12	IRI_4h	cross species	False	0.6444	0.7402	1.2943
cat_med_CKD12	IRI_24h	cross species	False	0.4147	0.5424	0.0626
cat_med_CKD12	IRI_48h	cross species	False	0.4118	0.5749	0.1916
cat_med_CKD12	IRI_72h	cross species	False	0.4	0.5541	0.3158
cat_med_CKD12	IRI_7d	cross species	False	0.3513	0.6004	0.1603
cat_med_CKD12	IRI_14d	cross species	False	0.4322	0.6279	0.2468
cat_med_CKD12	IRI_28d	cross species	False	0.3692	0.6288	0.6412
cat_med_CKD12	IRI_12mo	cross species	False	0.4485	0.7052	1.3681
cat_med_CKD34	mouse_5D	cross species	False	0.5491	0.6745	0.9259
cat_med_CKD34	mouse_2W	cross species	False	0.4222	0.5275	0.4434
cat_med_CKD34	mouse_3W	cross species	False	0.392	0.5061	0.1002
cat_med_CKD34	IRI_2h	cross species	False	0.7443	0.7863	0.9131
cat_med_CKD34	IRI_4h	cross species	False	0.6683	0.7352	1.0517
cat_med_CKD34	IRI_24h	cross species	False	0.4607	0.494	0.1801
cat_med_CKD34	IRI_48h	cross species	False	0.4049	0.4837	0.0511
cat_med_CKD34	IRI_72h	cross species	False	0.4161	0.4725	0.0732
cat_med_CKD34	IRI_7d	cross species	False	0.3585	0.5054	0.0823
cat_med_CKD34	IRI_14d	cross species	False	0.4667	0.5679	0.0042
cat_med_CKD34	IRI_28d	cross species	False	0.5047	0.6164	0.3986
cat_med_CKD34	IRI_12mo	cross species	False	0.3546	0.579	1.1255
mouse_5D	mouse_2W	within species	True	0.2642	0.2317	1.3692
mouse_5D	mouse_3W	within species	True	0.264	0.2243	0.8257
mouse_5D	IRI_2h	within species	False	1.0052	1.0332	0.0128
mouse_5D	IRI_4h	within species	False	0.6092	0.6586	0.1258
mouse_5D	IRI_24h	within species	False	0.307	0.2855	1.1059
mouse_5D	IRI_48h	within species	False	0.3322	0.2979	0.9769
mouse_5D	IRI_72h	within species	False	0.2837	0.2727	0.8527
mouse_5D	IRI_7d	within species	False	0.3586	0.3173	1.0081
mouse_5D	IRI_14d	within species	False	0.6109	0.5457	0.9217
mouse_5D	IRI_28d	within species	False	0.4208	0.405	0.5272
mouse_5D	IRI_12mo	within species	False	0.5188	0.4495	0.1996
mouse_2W	mouse_3W	within species	True	0.0604	0.0419	0.5435
mouse_2W	IRI_2h	within species	False	0.8214	0.8977	1.3565
mouse_2W	IRI_4h	within species	False	0.5626	0.6215	1.495
mouse_2W	IRI_24h	within species	False	0.1618	0.1323	0.2633
mouse_2W	IRI_48h	within species	False	0.2062	0.1621	0.3923
mouse_2W	IRI_72h	within species	False	0.1403	0.1423	0.5165
mouse_2W	IRI_7d	within species	False	0.1259	0.1159	0.3611
