subset	n_states	dissimilarity	predictor	mantel_rho	p_perm
16 states (all)	16	D_rho (1-Spearman)	onset compartment	-0.0881	0.667
16 states (all)	16	D_rho (1-Spearman)	model identity	0.2288	0.0556
16 states (all)	16	D_cos (1-cos)	onset compartment	-0.0265	0.877
16 states (all)	16	D_cos (1-cos)	model identity	0.3257	0.0116
16 states (all)	16	D_nrm (|log2 norm ratio|)	onset compartment	0.0208	0.893
16 states (all)	16	D_nrm (|log2 norm ratio|)	model identity	-0.0817	0.3815
12 model states (time defined)	12	D_rho (1-Spearman)	onset compartment	-0.0639	0.7269
12 model states (time defined)	12	D_rho (1-Spearman)	model identity	-0.0639	0.7273
12 model states (time defined)	12	D_rho (1-Spearman)	elapsed time |Δlog10 h|	0.5964	0.0044
12 model states (time defined)	12	D_rho (1-Spearman)	time | onset compartment	0.5942	0.0021
12 model states (time defined)	12	D_rho (1-Spearman)	onset compartment | time	0.0754	0.6531
12 model states (time defined)	12	D_cos (1-cos)	onset compartment	0.0008	1.0
12 model states (time defined)	12	D_cos (1-cos)	model identity	0.0008	1.0
12 model states (time defined)	12	D_cos (1-cos)	elapsed time |Δlog10 h|	0.5993	0.004
12 model states (time defined)	12	D_cos (1-cos)	time | onset compartment	0.6104	0.0019
12 model states (time defined)	12	D_cos (1-cos)	onset compartment | time	0.1078	0.5228
12 model states (time defined)	12	D_nrm (|log2 norm ratio|)	onset compartment	-0.0267	0.8596
12 model states (time defined)	12	D_nrm (|log2 norm ratio|)	model identity	-0.0267	0.862
12 model states (time defined)	12	D_nrm (|log2 norm ratio|)	elapsed time |Δlog10 h|	0.3118	0.025
12 model states (time defined)	12	D_nrm (|log2 norm ratio|)	time | onset compartment	0.3174	0.0232
12 model states (time defined)	12	D_nrm (|log2 norm ratio|)	onset compartment | time	0.0818	0.4976
