a	b	class	same_dataset	D_rho (1-Spearman)	D_cos (1-cos)	D_nrm (|log2 norm ratio|)
cat_CKD12	cat_CKD34	within species	True	0.1138	0.0991	0.6698
cat_CKD12	cat_med_CKD12	within species	True	0.1814	0.2557	0.9574
cat_CKD12	cat_med_CKD34	within species	True	0.2055	0.2216	0.7629
cat_CKD12	mouse_5D	cross species	False	0.6594	0.7523	0.0242
cat_CKD12	mouse_2W	cross species	False	0.4535	0.5863	1.3095
cat_CKD12	mouse_3W	cross species	False	0.4715	0.6124	0.7365
cat_CKD12	IRI_2h	cross species	False	0.7104	0.7293	0.0123
cat_CKD12	IRI_4h	cross species	False	0.676	0.7173	0.1108
cat_CKD12	IRI_24h	cross species	False	0.5104	0.6078	1.028
cat_CKD12	IRI_48h	cross species	False	0.4839	0.55	0.923
cat_CKD12	IRI_72h	cross species	False	0.489	0.5282	0.7921
cat_CKD12	IRI_7d	cross species	False	0.4222	0.5161	0.9927
cat_CKD12	IRI_14d	cross species	False	0.4835	0.5146	0.9536
cat_CKD12	IRI_28d	cross species	False	0.5076	0.5587	0.5572
cat_CKD12	IRI_12mo	cross species	False	0.442	0.4951	0.1611
cat_CKD34	cat_med_CKD12	within species	True	0.1803	0.2244	0.2876
cat_CKD34	cat_med_CKD34	within species	True	0.221	0.1573	0.0931
cat_CKD34	mouse_5D	cross species	False	0.5679	0.6742	0.694
cat_CKD34	mouse_2W	cross species	False	0.3786	0.5511	0.6396
cat_CKD34	mouse_3W	cross species	False	0.4114	0.5698	0.0667
cat_CKD34	IRI_2h	cross species	False	0.8006	0.7902	0.6575
cat_CKD34	IRI_4h	cross species	False	0.6588	0.7012	0.7806
cat_CKD34	IRI_24h	cross species	False	0.4435	0.5349	0.3582
cat_CKD34	IRI_48h	cross species	False	0.4404	0.5026	0.2532
cat_CKD34	IRI_72h	cross species	False	0.4234	0.4656	0.1223
cat_CKD34	IRI_7d	cross species	False	0.4122	0.5067	0.3229
cat_CKD34	IRI_14d	cross species	False	0.4989	0.5343	0.2838
cat_CKD34	IRI_28d	cross species	False	0.4297	0.5345	0.1126
cat_CKD34	IRI_12mo	cross species	False	0.5157	0.5494	0.8309
cat_med_CKD12	cat_med_CKD34	within species	True	0.2532	0.1894	0.1944
