a	b	class	same_dataset	D_rho (1-Spearman)	D_cos (1-cos)	D_nrm (|log2 norm ratio|)
cat_CKD12	cat_CKD34	within species	True	0.1578	0.1195	0.6557
cat_CKD12	cat_med_CKD12	within species	True	0.2571	0.2887	1.0509
cat_CKD12	cat_med_CKD34	within species	True	0.258	0.2339	0.8521
cat_CKD12	mouse_5D	cross species	False	0.7639	0.8344	0.0014
cat_CKD12	mouse_2W	cross species	False	0.6159	0.7275	1.164
cat_CKD12	mouse_3W	cross species	False	0.6331	0.7289	0.6289
cat_CKD12	IRI_2h	cross species	False	0.769	0.8073	0.4326
cat_CKD12	IRI_4h	cross species	False	0.7626	0.7668	0.29
cat_CKD12	IRI_24h	cross species	False	0.617	0.6616	0.8132
cat_CKD12	IRI_48h	cross species	False	0.6023	0.5748	0.7361
cat_CKD12	IRI_72h	cross species	False	0.6369	0.6134	0.6378
cat_CKD12	IRI_7d	cross species	False	0.5435	0.5982	0.709
cat_CKD12	IRI_14d	cross species	False	0.6354	0.6793	0.7844
cat_CKD12	IRI_28d	cross species	False	0.6698	0.6905	0.1494
cat_CKD12	IRI_12mo	cross species	False	0.5334	0.5516	0.5261
cat_CKD34	cat_med_CKD12	within species	True	0.272	0.2929	0.3953
cat_CKD34	cat_med_CKD34	within species	True	0.2865	0.1869	0.1965
cat_CKD34	mouse_5D	cross species	False	0.6839	0.7196	0.6543
cat_CKD34	mouse_2W	cross species	False	0.5493	0.6477	0.5083
cat_CKD34	mouse_3W	cross species	False	0.6061	0.6787	0.0267
cat_CKD34	IRI_2h	cross species	False	0.8347	0.852	0.223
cat_CKD34	IRI_4h	cross species	False	0.7263	0.7412	0.3656
cat_CKD34	IRI_24h	cross species	False	0.586	0.6095	0.1575
cat_CKD34	IRI_48h	cross species	False	0.6111	0.5515	0.0804
cat_CKD34	IRI_72h	cross species	False	0.5858	0.5468	0.0179
cat_CKD34	IRI_7d	cross species	False	0.5786	0.5879	0.0533
cat_CKD34	IRI_14d	cross species	False	0.672	0.6924	0.1288
cat_CKD34	IRI_28d	cross species	False	0.6133	0.6445	0.5063
cat_CKD34	IRI_12mo	cross species	False	0.6519	0.616	1.1818
cat_med_CKD12	cat_med_CKD34	within species	True	0.3229	0.2472	0.1988
cat_med_CKD12	mouse_5D	cross species	False	0.731	0.8261	1.0496
cat_med_CKD12	mouse_2W	cross species	False	0.5513	0.6677	0.1131
cat_med_CKD12	mouse_3W	cross species	False	0.5679	0.6549	0.422
cat_med_CKD12	IRI_2h	cross species	False	0.8106	0.8762	0.6183
cat_med_CKD12	IRI_4h	cross species	False	0.7655	0.8086	0.7609
cat_med_CKD12	IRI_24h	cross species	False	0.6081	0.6611	0.2377
cat_med_CKD12	IRI_48h	cross species	False	0.6019	0.6243	0.3148
cat_med_CKD12	IRI_72h	cross species	False	0.5991	0.6461	0.4132
cat_med_CKD12	IRI_7d	cross species	False	0.555	0.6713	0.3419
cat_med_CKD12	IRI_14d	cross species	False	0.6292	0.7522	0.2665
cat_med_CKD12	IRI_28d	cross species	False	0.5999	0.7262	0.9015
cat_med_CKD12	IRI_12mo	cross species	False	0.6145	0.7227	1.577
cat_med_CKD34	mouse_5D	cross species	False	0.7627	0.7494	0.8508
cat_med_CKD34	mouse_2W	cross species	False	0.6412	0.6769	0.3119
cat_med_CKD34	mouse_3W	cross species	False	0.614	0.6512	0.2232
cat_med_CKD34	IRI_2h	cross species	False	0.7108	0.7481	0.4195
cat_med_CKD34	IRI_4h	cross species	False	0.7496	0.7397	0.5621
cat_med_CKD34	IRI_24h	cross species	False	0.6866	0.6703	0.039
cat_med_CKD34	IRI_48h	cross species	False	0.5666	0.5507	0.1161
cat_med_CKD34	IRI_72h	cross species	False	0.6051	0.5756	0.2144
cat_med_CKD34	IRI_7d	cross species	False	0.5121	0.5648	0.1432
cat_med_CKD34	IRI_14d	cross species	False	0.6413	0.675	0.0677
cat_med_CKD34	IRI_28d	cross species	False	0.7609	0.7588	0.7027
cat_med_CKD34	IRI_12mo	cross species	False	0.4736	0.575	1.3783
mouse_5D	mouse_2W	within species	True	0.3766	0.3676	1.1626
mouse_5D	mouse_3W	within species	True	0.3964	0.377	0.6276
mouse_5D	IRI_2h	within species	False	1.0741	0.947	0.4313
mouse_5D	IRI_4h	within species	False	0.719	0.674	0.2887
mouse_5D	IRI_24h	within species	False	0.473	0.5283	0.8118
mouse_5D	IRI_48h	within species	False	0.4613	0.4681	0.7347
mouse_5D	IRI_72h	within species	False	0.3493	0.3446	0.6364
mouse_5D	IRI_7d	within species	False	0.5592	0.5411	0.7076
mouse_5D	IRI_14d	within species	False	0.8145	0.7971	0.7831
mouse_5D	IRI_28d	within species	False	0.6014	0.6174	0.148
mouse_5D	IRI_12mo	within species	False	0.7509	0.7868	0.5275
mouse_2W	mouse_3W	within species	True	0.0834	0.0551	0.5351
mouse_2W	IRI_2h	within species	False	0.8924	0.8863	0.7314
mouse_2W	IRI_4h	within species	False	0.7016	0.7272	0.874
mouse_2W	IRI_24h	within species	False	0.2436	0.2431	0.3508
mouse_2W	IRI_48h	within species	False	0.3101	0.3285	0.4279
mouse_2W	IRI_72h	within species	False	0.2431	0.2715	0.5262
mouse_2W	IRI_7d	within species	False	0.2149	0.2119	0.455
mouse_2W	IRI_14d	within species	False	0.4023	0.4176	0.3796
mouse_2W	IRI_28d	within species	False	0.2476	0.2413	1.0146
mouse_2W	IRI_12mo	within species	False	0.4621	0.4781	1.6901
mouse_3W	IRI_2h	within species	False	0.9054	0.8814	0.1963
mouse_3W	IRI_4h	within species	False	0.7207	0.7357	0.3389
mouse_3W	IRI_24h	within species	False	0.3101	0.2783	0.1843
mouse_3W	IRI_48h	within species	False	0.2594	0.2864	0.1072
mouse_3W	IRI_72h	within species	False	0.2237	0.2492	0.0088
mouse_3W	IRI_7d	within species	False	0.2397	0.2338	0.08
mouse_3W	IRI_14d	within species	False	0.4764	0.4635	0.1555
mouse_3W	IRI_28d	within species	False	0.3535	0.3115	0.4795
mouse_3W	IRI_12mo	within species	False	0.4219	0.466	1.155
IRI_2h	IRI_4h	within species	True	0.5396	0.3702	0.1426
IRI_2h	IRI_24h	within species	True	0.8331	0.8385	0.3806
IRI_2h	IRI_48h	within species	True	0.818	0.7802	0.3034
IRI_2h	IRI_72h	within species	True	0.8522	0.7775	0.2051
IRI_2h	IRI_7d	within species	True	0.647	0.6598	0.2763
IRI_2h	IRI_14d	within species	True	0.3538	0.4028	0.3518
IRI_2h	IRI_28d	within species	True	0.7544	0.7322	0.2832
IRI_2h	IRI_12mo	within species	True	0.6926	0.725	0.9588
IRI_4h	IRI_24h	within species	True	0.6661	0.6843	0.5232
IRI_4h	IRI_48h	within species	True	0.6721	0.6457	0.446
IRI_4h	IRI_72h	within species	True	0.6554	0.6121	0.3477
IRI_4h	IRI_7d	within species	True	0.6435	0.6528	0.4189
IRI_4h	IRI_14d	within species	True	0.7499	0.7499	0.4944
IRI_4h	IRI_28d	within species	True	0.8134	0.7767	0.1406
IRI_4h	IRI_12mo	within species	True	0.7569	0.7674	0.8162
IRI_24h	IRI_48h	within species	True	0.2398	0.1937	0.0771
IRI_24h	IRI_72h	within species	True	0.3365	0.2908	0.1754
IRI_24h	IRI_7d	within species	True	0.2603	0.2426	0.1042
IRI_24h	IRI_14d	within species	True	0.4651	0.4703	0.0288
IRI_24h	IRI_28d	within species	True	0.3697	0.3788	0.6638
IRI_24h	IRI_12mo	within species	True	0.4769	0.4577	1.3393
IRI_48h	IRI_72h	within species	True	0.1491	0.109	0.0983
IRI_48h	IRI_7d	within species	True	0.2393	0.2168	0.0271
IRI_48h	IRI_14d	within species	True	0.512	0.4726	0.0483
IRI_48h	IRI_28d	within species	True	0.459	0.3979	0.5867
IRI_48h	IRI_12mo	within species	True	0.3768	0.3636	1.2622
IRI_72h	IRI_7d	within species	True	0.2591	0.2196	0.0712
IRI_72h	IRI_14d	within species	True	0.5008	0.467	0.1467
IRI_72h	IRI_28d	within species	True	0.3916	0.3484	0.4884
IRI_72h	IRI_12mo	within species	True	0.5062	0.4558	1.1639
IRI_7d	IRI_14d	within species	True	0.2579	0.234	0.0755
IRI_7d	IRI_28d	within species	True	0.2839	0.2061	0.5596
IRI_7d	IRI_12mo	within species	True	0.302	0.274	1.2351
IRI_14d	IRI_28d	within species	True	0.2681	0.2383	0.635
IRI_14d	IRI_12mo	within species	True	0.4392	0.3565	1.3105
IRI_28d	IRI_12mo	within species	True	0.5625	0.3844	0.6755
