a	b	class	same_dataset	D_rho (1-Spearman)	D_cos (1-cos)	D_nrm (|log2 norm ratio|)
cat_CKD12	cat_CKD34	within species	True	0.1558	0.124	0.6833
cat_CKD12	cat_med_CKD12	within species	True	0.2528	0.2774	1.1109
cat_CKD12	cat_med_CKD34	within species	True	0.2438	0.237	0.8912
cat_CKD12	mouse_5D	cross species	False	0.7823	0.8578	0.0783
cat_CKD12	mouse_2W	cross species	False	0.6328	0.7409	1.1845
cat_CKD12	mouse_3W	cross species	False	0.6347	0.7468	0.654
cat_CKD12	IRI_2h	cross species	False	0.781	0.8101	0.25
cat_CKD12	IRI_4h	cross species	False	0.7803	0.8023	0.1985
cat_CKD12	IRI_24h	cross species	False	0.6356	0.7195	0.8251
cat_CKD12	IRI_48h	cross species	False	0.6485	0.6752	0.6975
cat_CKD12	IRI_72h	cross species	False	0.6728	0.6826	0.5875
cat_CKD12	IRI_7d	cross species	False	0.5632	0.6361	0.7186
cat_CKD12	IRI_14d	cross species	False	0.632	0.6715	0.6783
cat_CKD12	IRI_28d	cross species	False	0.6809	0.7004	0.1158
cat_CKD12	IRI_12mo	cross species	False	0.5537	0.5735	0.6345
cat_CKD34	cat_med_CKD12	within species	True	0.2423	0.266	0.4276
cat_CKD34	cat_med_CKD34	within species	True	0.2644	0.1761	0.208
cat_CKD34	mouse_5D	cross species	False	0.699	0.7359	0.7616
cat_CKD34	mouse_2W	cross species	False	0.562	0.637	0.5012
cat_CKD34	mouse_3W	cross species	False	0.6072	0.6734	0.0293
cat_CKD34	IRI_2h	cross species	False	0.8563	0.862	0.4332
cat_CKD34	IRI_4h	cross species	False	0.7654	0.7644	0.4848
cat_CKD34	IRI_24h	cross species	False	0.5827	0.6204	0.1419
cat_CKD34	IRI_48h	cross species	False	0.6334	0.6153	0.0142
cat_CKD34	IRI_72h	cross species	False	0.6246	0.5922	0.0958
cat_CKD34	IRI_7d	cross species	False	0.5889	0.6074	0.0354
cat_CKD34	IRI_14d	cross species	False	0.6536	0.6739	0.0049
cat_CKD34	IRI_28d	cross species	False	0.6094	0.6423	0.5675
cat_CKD34	IRI_12mo	cross species	False	0.6636	0.6432	1.3178
cat_med_CKD12	cat_med_CKD34	within species	True	0.3007	0.2357	0.2196
cat_med_CKD12	mouse_5D	cross species	False	0.7485	0.8408	1.1892
cat_med_CKD12	mouse_2W	cross species	False	0.5686	0.675	0.0736
cat_med_CKD12	mouse_3W	cross species	False	0.5875	0.6723	0.4569
cat_med_CKD12	IRI_2h	cross species	False	0.7956	0.8633	0.8608
cat_med_CKD12	IRI_4h	cross species	False	0.745	0.8054	0.9124
cat_med_CKD12	IRI_24h	cross species	False	0.6045	0.6696	0.2857
cat_med_CKD12	IRI_48h	cross species	False	0.6219	0.655	0.4134
cat_med_CKD12	IRI_72h	cross species	False	0.6232	0.6631	0.5234
cat_med_CKD12	IRI_7d	cross species	False	0.5585	0.6734	0.3922
cat_med_CKD12	IRI_14d	cross species	False	0.6075	0.7143	0.4325
cat_med_CKD12	IRI_28d	cross species	False	0.5941	0.6987	0.9951
cat_med_CKD12	IRI_12mo	cross species	False	0.6281	0.7195	1.7454
cat_med_CKD34	mouse_5D	cross species	False	0.7513	0.7351	0.9695
cat_med_CKD34	mouse_2W	cross species	False	0.636	0.6373	0.2933
cat_med_CKD34	mouse_3W	cross species	False	0.5942	0.6245	0.2372
cat_med_CKD34	IRI_2h	cross species	False	0.7202	0.7609	0.6412
cat_med_CKD34	IRI_4h	cross species	False	0.7384	0.7505	0.6928
cat_med_CKD34	IRI_24h	cross species	False	0.6572	0.649	0.0661
cat_med_CKD34	IRI_48h	cross species	False	0.5611	0.5621	0.1937
cat_med_CKD34	IRI_72h	cross species	False	0.6124	0.5765	0.3038
cat_med_CKD34	IRI_7d	cross species	False	0.5116	0.5634	0.1726
cat_med_CKD34	IRI_14d	cross species	False	0.6166	0.6404	0.2129
cat_med_CKD34	IRI_28d	cross species	False	0.742	0.7161	0.7754
cat_med_CKD34	IRI_12mo	cross species	False	0.467	0.5672	1.5258
mouse_5D	mouse_2W	within species	True	0.3676	0.3383	1.2628
mouse_5D	mouse_3W	within species	True	0.3922	0.3465	0.7323
mouse_5D	IRI_2h	within species	False	1.0318	0.9155	0.3283
mouse_5D	IRI_4h	within species	False	0.7378	0.658	0.2768
mouse_5D	IRI_24h	within species	False	0.4629	0.4803	0.9034
mouse_5D	IRI_48h	within species	False	0.465	0.4588	0.7758
mouse_5D	IRI_72h	within species	False	0.3462	0.3453	0.6658
mouse_5D	IRI_7d	within species	False	0.5216	0.4947	0.797
mouse_5D	IRI_14d	within species	False	0.7492	0.7204	0.7566
mouse_5D	IRI_28d	within species	False	0.5727	0.5866	0.1941
mouse_5D	IRI_12mo	within species	False	0.7078	0.7085	0.5562
mouse_2W	mouse_3W	within species	True	0.0878	0.0512	0.5305
mouse_2W	IRI_2h	within species	False	0.8925	0.8807	0.9345
mouse_2W	IRI_4h	within species	False	0.7061	0.7192	0.986
mouse_2W	IRI_24h	within species	False	0.2463	0.2384	0.3594
mouse_2W	IRI_48h	within species	False	0.3335	0.3274	0.487
mouse_2W	IRI_72h	within species	False	0.2573	0.2692	0.597
mouse_2W	IRI_7d	within species	False	0.2141	0.1929	0.4659
mouse_2W	IRI_14d	within species	False	0.3757	0.362	0.5062
mouse_2W	IRI_28d	within species	False	0.2329	0.2248	1.0687
mouse_2W	IRI_12mo	within species	False	0.4708	0.4407	1.819
mouse_3W	IRI_2h	within species	False	0.8943	0.8658	0.404
mouse_3W	IRI_4h	within species	False	0.7094	0.7205	0.4555
mouse_3W	IRI_24h	within species	False	0.313	0.276	0.1711
mouse_3W	IRI_48h	within species	False	0.2715	0.2826	0.0435
mouse_3W	IRI_72h	within species	False	0.2344	0.2474	0.0665
