subset	n_states	dissimilarity	predictor	mantel_rho	p_perm
16 states (all)	16	D_rho (1-Spearman)	onset compartment	-0.0157	0.9185
16 states (all)	16	D_rho (1-Spearman)	model identity	0.3173	0.0102
16 states (all)	16	D_cos (1-cos)	onset compartment	0.0352	0.8102
16 states (all)	16	D_cos (1-cos)	model identity	0.3774	0.0036
16 states (all)	16	D_nrm (|log2 norm ratio|)	onset compartment	0.0383	0.8246
16 states (all)	16	D_nrm (|log2 norm ratio|)	model identity	0.0122	0.9208
12 model states (time defined)	12	D_rho (1-Spearman)	onset compartment	-0.0186	0.9237
12 model states (time defined)	12	D_rho (1-Spearman)	model identity	-0.0186	0.9245
12 model states (time defined)	12	D_rho (1-Spearman)	elapsed time |Δlog10 h|	0.6077	0.0021
12 model states (time defined)	12	D_rho (1-Spearman)	time | onset compartment	0.6097	0.0009
12 model states (time defined)	12	D_rho (1-Spearman)	onset compartment | time	0.1387	0.3905
12 model states (time defined)	12	D_cos (1-cos)	onset compartment	0.0445	0.7803
12 model states (time defined)	12	D_cos (1-cos)	model identity	0.0445	0.7807
12 model states (time defined)	12	D_cos (1-cos)	elapsed time |Δlog10 h|	0.6464	0.0009
12 model states (time defined)	12	D_cos (1-cos)	time | onset compartment	0.6638	0.0004
12 model states (time defined)	12	D_cos (1-cos)	onset compartment | time	0.218	0.1223
12 model states (time defined)	12	D_nrm (|log2 norm ratio|)	onset compartment	0.0639	0.7572
12 model states (time defined)	12	D_nrm (|log2 norm ratio|)	model identity	0.0639	0.763
12 model states (time defined)	12	D_nrm (|log2 norm ratio|)	elapsed time |Δlog10 h|	0.2323	0.1762
12 model states (time defined)	12	D_nrm (|log2 norm ratio|)	time | onset compartment	0.2585	0.1165
12 model states (time defined)	12	D_nrm (|log2 norm ratio|)	onset compartment | time	0.0926	0.582
