a	b	class	same_dataset	D_rho (1-Spearman)	D_cos (1-cos)	D_nrm (|log2 norm ratio|)
cat_CKD12	cat_CKD34	within species	True	0.1295	0.1025	0.5708
cat_CKD12	cat_med_CKD12	within species	True	0.2403	0.2937	0.6964
cat_CKD12	cat_med_CKD34	within species	True	0.2455	0.2399	0.6642
cat_CKD12	mouse_5D	cross species	False	0.7593	0.7524	0.269
cat_CKD12	mouse_2W	cross species	False	0.5643	0.6139	1.0433
cat_CKD12	mouse_3W	cross species	False	0.5888	0.6377	0.4494
cat_CKD12	IRI_2h	cross species	False	0.7388	0.7837	0.133
cat_CKD12	IRI_4h	cross species	False	0.7558	0.7539	0.1487
cat_CKD12	IRI_24h	cross species	False	0.6213	0.6502	0.6743
cat_CKD12	IRI_48h	cross species	False	0.5962	0.584	0.6014
cat_CKD12	IRI_72h	cross species	False	0.604	0.5768	0.4857
cat_CKD12	IRI_7d	cross species	False	0.5007	0.5125	0.7034
cat_CKD12	IRI_14d	cross species	False	0.5455	0.5318	0.7157
cat_CKD12	IRI_28d	cross species	False	0.6089	0.5452	0.2955
cat_CKD12	IRI_12mo	cross species	False	0.4789	0.4281	0.4787
cat_CKD34	cat_med_CKD12	within species	True	0.2446	0.2705	0.1256
cat_CKD34	cat_med_CKD34	within species	True	0.2724	0.191	0.0934
cat_CKD34	mouse_5D	cross species	False	0.6875	0.665	0.8398
cat_CKD34	mouse_2W	cross species	False	0.5016	0.5405	0.4724
cat_CKD34	mouse_3W	cross species	False	0.5535	0.5685	0.1214
cat_CKD34	IRI_2h	cross species	False	0.8203	0.8184	0.4379
cat_CKD34	IRI_4h	cross species	False	0.7339	0.7211	0.4221
cat_CKD34	IRI_24h	cross species	False	0.5763	0.5635	0.1035
cat_CKD34	IRI_48h	cross species	False	0.5803	0.5269	0.0305
cat_CKD34	IRI_72h	cross species	False	0.5526	0.5059	0.0851
cat_CKD34	IRI_7d	cross species	False	0.5176	0.4877	0.1326
cat_CKD34	IRI_14d	cross species	False	0.5703	0.5328	0.1448
cat_CKD34	IRI_28d	cross species	False	0.5411	0.4993	0.2753
cat_CKD34	IRI_12mo	cross species	False	0.5595	0.4709	1.0496
cat_med_CKD12	cat_med_CKD34	within species	True	0.3082	0.2378	0.0322
cat_med_CKD12	mouse_5D	cross species	False	0.7566	0.7841	0.9654
cat_med_CKD12	mouse_2W	cross species	False	0.5304	0.6263	0.3469
cat_med_CKD12	mouse_3W	cross species	False	0.5551	0.6235	0.247
cat_med_CKD12	IRI_2h	cross species	False	0.7771	0.8205	0.5634
cat_med_CKD12	IRI_4h	cross species	False	0.7563	0.7732	0.5477
cat_med_CKD12	IRI_24h	cross species	False	0.6149	0.6321	0.0221
cat_med_CKD12	IRI_48h	cross species	False	0.6047	0.6268	0.095
cat_med_CKD12	IRI_72h	cross species	False	0.5892	0.6183	0.2107
cat_med_CKD12	IRI_7d	cross species	False	0.5173	0.6097	0.007
cat_med_CKD12	IRI_14d	cross species	False	0.549	0.6421	0.0193
cat_med_CKD12	IRI_28d	cross species	False	0.5466	0.644	0.4009
