a	b	cos_aggregated	class
cat_CKD12	cat_CKD34	0.9752	within species
cat_CKD12	cat_med_CKD12	0.9138	within species
cat_CKD12	cat_med_CKD34	0.9433	within species
cat_CKD12	mouse_5D	0.8938	cross species
cat_CKD12	mouse_2W	0.9214	cross species
cat_CKD12	mouse_3W	0.9443	cross species
cat_CKD12	IRI_2h	0.5651	cross species
cat_CKD12	IRI_4h	0.7854	cross species
cat_CKD12	IRI_24h	0.911	cross species
cat_CKD12	IRI_48h	0.94	cross species
cat_CKD12	IRI_72h	0.9415	cross species
cat_CKD12	IRI_7d	0.9398	cross species
cat_CKD12	IRI_14d	0.8495	cross species
cat_CKD12	IRI_28d	0.8677	cross species
cat_CKD12	IRI_12mo	0.8381	cross species
cat_CKD34	cat_med_CKD12	0.9362	within species
cat_CKD34	cat_med_CKD34	0.9288	within species
cat_CKD34	mouse_5D	0.927	cross species
cat_CKD34	mouse_2W	0.9563	cross species
cat_CKD34	mouse_3W	0.9504	cross species
cat_CKD34	IRI_2h	0.5541	cross species
cat_CKD34	IRI_4h	0.8243	cross species
cat_CKD34	IRI_24h	0.945	cross species
cat_CKD34	IRI_48h	0.9397	cross species
cat_CKD34	IRI_72h	0.9548	cross species
cat_CKD34	IRI_7d	0.9501	cross species
cat_CKD34	IRI_14d	0.8632	cross species
cat_CKD34	IRI_28d	0.9071	cross species
cat_CKD34	IRI_12mo	0.7944	cross species
cat_med_CKD12	cat_med_CKD34	0.9336	within species
cat_med_CKD12	mouse_5D	0.8749	cross species
cat_med_CKD12	mouse_2W	0.9156	cross species
cat_med_CKD12	mouse_3W	0.9289	cross species
cat_med_CKD12	IRI_2h	0.4992	cross species
cat_med_CKD12	IRI_4h	0.7868	cross species
cat_med_CKD12	IRI_24h	0.9126	cross species
cat_med_CKD12	IRI_48h	0.8868	cross species
cat_med_CKD12	IRI_72h	0.8815	cross species
cat_med_CKD12	IRI_7d	0.8842	cross species
cat_med_CKD12	IRI_14d	0.7438	cross species
cat_med_CKD12	IRI_28d	0.8028	cross species
cat_med_CKD12	IRI_12mo	0.6661	cross species
cat_med_CKD34	mouse_5D	0.877	cross species
cat_med_CKD34	mouse_2W	0.8821	cross species
cat_med_CKD34	mouse_3W	0.939	cross species
cat_med_CKD34	IRI_2h	0.4609	cross species
cat_med_CKD34	IRI_4h	0.7286	cross species
cat_med_CKD34	IRI_24h	0.8733	cross species
cat_med_CKD34	IRI_48h	0.8923	cross species
cat_med_CKD34	IRI_72h	0.8894	cross species
cat_med_CKD34	IRI_7d	0.8787	cross species
cat_med_CKD34	IRI_14d	0.7218	cross species
cat_med_CKD34	IRI_28d	0.7547	cross species
cat_med_CKD34	IRI_12mo	0.7319	cross species
mouse_5D	mouse_2W	0.9362	within species
mouse_5D	mouse_3W	0.9302	within species
mouse_5D	IRI_2h	0.4213	within species
mouse_5D	IRI_4h	0.8109	within species
mouse_5D	IRI_24h	0.9314	within species
mouse_5D	IRI_48h	0.9025	within species
mouse_5D	IRI_72h	0.9244	within species
mouse_5D	IRI_7d	0.9146	within species
mouse_5D	IRI_14d	0.7775	within species
mouse_5D	IRI_28d	0.8558	within species
mouse_5D	IRI_12mo	0.7203	within species
mouse_2W	mouse_3W	0.9721	within species
