cos_raw	cos_centred	cos_agg_centred	cos_agg_raw	within
0.7591	0.7505	0.9138	0.8665	1
0.7937	0.7855	0.9433	0.937	1
0.2864	0.4075	0.8938	0.303	0
0.4703	0.6071	0.9214	0.4571	0
0.4491	0.5715	0.9443	0.4324	0
0.2537	0.2296	0.5651	0.5875	0
0.2922	0.3004	0.7854	0.6286	0
0.4599	0.5351	0.911	0.567	0
0.4829	0.5645	0.94	0.4695	0
0.5089	0.5669	0.9415	0.5954	0
0.5134	0.6037	0.9398	0.5731	0
0.4984	0.5476	0.8495	0.6595	0
0.472	0.5506	0.8677	0.5741	0
0.5035	0.5926	0.8381	0.4068	0
0.7898	0.7765	0.9362	0.8826	1
0.8574	0.8515	0.9288	0.9186	1
0.3462	0.4951	0.927	0.3314	0
0.4984	0.66	0.9563	0.4926	0
0.4801	0.6259	0.9504	0.4461	0
0.193	0.1621	0.5541	0.577	0
0.3029	0.3144	0.8243	0.672	0
0.5176	0.6107	0.945	0.605	0
0.5101	0.6087	0.9397	0.477	0
0.5482	0.6203	0.9548	0.6148	0
0.5116	0.618	0.9501	0.5922	0
0.4698	0.5286	0.8632	0.6836	0
0.4841	0.5783	0.9071	0.6189	0
0.4416	0.5425	0.7944	0.3843	0
0.186	0.3751	0.8749	-0.0161	0
0.4121	0.6305	0.9156	0.1636	0
0.4132	0.6148	0.9289	0.1242	0
0.1995	0.1563	0.4992	0.6185	0
0.2598	0.2805	0.7868	0.4405	0
0.4576	0.5941	0.9126	0.3029	0
0.4251	0.566	0.8868	0.1386	0
0.4459	0.5519	0.8815	0.2797	0
0.3996	0.5476	0.8842	0.2616	0
0.3721	0.4594	0.7438	0.3558	0
0.3712	0.5033	0.8028	0.2743	0
0.2948	0.4308	0.6661	0.0117	0
0.3255	0.4482	0.877	0.3528	0
0.4725	0.6065	0.8821	0.4887	0
0.4939	0.6179	0.939	0.4895	0
0.2137	0.1888	0.4609	0.4702	0
0.2648	0.2721	0.7286	0.5965	0
0.506	0.5817	0.8733	0.5892	0
0.5163	0.5977	0.8923	0.4887	0
0.5275	0.5845	0.8894	0.6007	0
0.4946	0.5816	0.8787	0.5811	0
0.4321	0.4776	0.7218	0.5882	0
0.3836	0.4555	0.7547	0.531	0
0.421	0.503	0.7319	0.3862	0
-0.0332	0.0338	0.4213	-0.1794	1
0.3414	0.3678	0.8109	0.6946	1
0.7145	0.6939	0.9314	0.9206	1
0.7021	0.6761	0.9025	0.9457	1
0.7273	0.7251	0.9244	0.9114	1
0.6827	0.6493	0.9146	0.9249	1
0.4543	0.432	0.7775	0.7668	1
0.595	0.557	0.8558	0.8736	1
0.5505	0.4996	0.7203	0.8746	1
0.1023	0.1809	0.5308	-0.0218	1
0.3785	0.4064	0.8222	0.7682	1
0.8677	0.865	0.9816	0.9776	1
0.8379	0.8286	0.9318	0.9685	1
0.8577	0.8678	0.9615	0.9656	1
0.8841	0.8771	0.9697	0.976	1
0.7066	0.7092	0.8811	0.868	1
0.8365	0.8284	0.9433	0.9489	1
0.7041	0.6739	0.738	0.8728	1
0.0839	0.1545	0.5395	-0.0458	1
0.3577	0.3799	0.8036	0.7367	1
0.8416	0.8333	0.9549	0.9558	1
0.8669	0.8588	0.9569	0.9788	1
0.8739	0.881	0.9679	0.9601	1
0.861	0.8494	0.96	0.9661	1
0.6647	0.6601	0.8404	0.833	1
0.7863	0.7705	0.8856	0.9106	1
0.7178	0.6896	0.7793	0.8964	1
0.2556	0.3156	0.7253	0.1063	1
0.3444	0.3552	0.7048	0.6921	1
0.6075	0.5793	0.7084	0.8254	1
0.7242	0.703	0.8568	0.9316	1
0.7253	0.7136	0.8501	0.9036	1
0.8084	0.7926	0.8449	0.9089	1
0.7578	0.7524	0.8688	0.8621	1
0.7901	0.7747	0.8161	0.877	1
