collection	pathway	n_genes	state	cos	ceiling	gap_to_ceiling	random_lo95	random_hi95	above_random
GO_BP	DNA Damage Response (GO:0006974)	35	cat_CKD12	0.8838	0.8339	-0.05	0.7733	0.97	False
GO_BP	DNA Damage Response (GO:0006974)	35	cat_CKD34	1.0	0.8974	-0.1026	1.0	1.0	False
GO_BP	DNA Damage Response (GO:0006974)	35	cat_med_CKD12	0.8079	0.9043	0.0964	0.5473	0.953	False
GO_BP	DNA Damage Response (GO:0006974)	35	cat_med_CKD34	0.8119	0.7505	-0.0614	0.6682	0.9477	False
GO_BP	DNA Damage Response (GO:0006974)	35	mouse_5D	0.1394	0.9047	0.7653	-0.11	0.7222	False
GO_BP	DNA Damage Response (GO:0006974)	35	mouse_2W	0.3951	0.9438	0.5487	0.112	0.7656	False
GO_BP	DNA Damage Response (GO:0006974)	35	mouse_3W	0.3135	0.9221	0.6086	0.0825	0.7801	False
GO_BP	DNA Damage Response (GO:0006974)	35	IRI_2h	0.0034	0.8691	0.8656	-0.1979	0.5625	False
GO_BP	DNA Damage Response (GO:0006974)	35	IRI_4h	0.0109	0.8379	0.8269	-0.1049	0.68	False
GO_BP	DNA Damage Response (GO:0006974)	35	IRI_24h	0.3803	0.9337	0.5534	0.1401	0.7889	False
GO_BP	DNA Damage Response (GO:0006974)	35	IRI_48h	0.3942	0.9175	0.5233	0.1794	0.776	False
GO_BP	DNA Damage Response (GO:0006974)	35	IRI_72h	0.4397	0.8909	0.4512	0.2199	0.8135	False
GO_BP	DNA Damage Response (GO:0006974)	35	IRI_7d	0.4031	0.937	0.5339	0.1642	0.8143	False
GO_BP	DNA Damage Response (GO:0006974)	35	IRI_14d	0.3735	0.9167	0.5432	0.1012	0.781	False
GO_BP	DNA Damage Response (GO:0006974)	35	IRI_28d	0.5268	0.8997	0.3729	0.0234	0.7997	False
GO_BP	DNA Damage Response (GO:0006974)	35	IRI_12mo	0.4082	0.903	0.4947	-0.0106	0.7887	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	cat_CKD12	0.8972	0.8238	-0.0734	0.7733	0.97	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	cat_CKD34	1.0	0.8891	-0.1109	1.0	1.0	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	cat_med_CKD12	0.873	0.8709	-0.0021	0.5473	0.953	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	cat_med_CKD34	0.7644	0.7845	0.0201	0.6682	0.9477	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	mouse_5D	0.0592	0.9186	0.8594	-0.11	0.7222	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	mouse_2W	0.2669	0.9393	0.6724	0.112	0.7656	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	mouse_3W	0.1607	0.8975	0.7369	0.0825	0.7801	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	IRI_2h	-0.007	0.8632	0.8702	-0.1979	0.5625	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	IRI_4h	0.0973	0.8371	0.7398	-0.1049	0.68	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	IRI_24h	0.2159	0.9349	0.719	0.1401	0.7889	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	IRI_48h	0.2637	0.9265	0.6628	0.1794	0.776	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	IRI_72h	0.2894	0.8906	0.6012	0.2199	0.8135	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	IRI_7d	0.3402	0.9333	0.5931	0.1642	0.8143	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	IRI_14d	0.2726	0.9048	0.6322	0.1012	0.781	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	IRI_28d	0.4915	0.879	0.3875	0.0234	0.7997	False
GO_BP	DNA Metabolic Process (GO:0006259)	37	IRI_12mo	0.4604	0.8538	0.3934	-0.0106	0.7887	False
GO_BP	DNA Repair (GO:0006281)	30	cat_CKD12	0.8776	0.7416	-0.136	0.7733	0.97	False
GO_BP	DNA Repair (GO:0006281)	30	cat_CKD34	1.0	0.8955	-0.1045	1.0	1.0	False
GO_BP	DNA Repair (GO:0006281)	30	cat_med_CKD12	0.8323	0.8418	0.0095	0.5473	0.953	False
GO_BP	DNA Repair (GO:0006281)	30	cat_med_CKD34	0.6646	0.7394	0.0748	0.6682	0.9477	False
