collection	pathway	n_genes	IRI_12mo	IRI_14d	IRI_24h	IRI_28d	IRI_2h	IRI_48h	IRI_4h	IRI_72h	IRI_7d	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_2W	mouse_3W	mouse_5D
GO_BP	Actin Filament Organization (GO:0007015)	44	0.8865	0.7938	0.6557	0.7803	0.175	0.7349	0.3645	0.7566	0.7834	0.9627	1.0	0.7963	0.9068	0.7553	0.7421	0.6336
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	-0.2373	0.8397	0.9436	0.946	0.2619	0.4529	0.6945	0.8735	0.9165	0.9649	1.0	0.9762	0.9279	0.9576	0.63	0.6296
GO_BP	Aerobic Respiration (GO:0009060)	36	-0.387	0.8099	0.9361	0.9546	0.0806	0.3534	0.5394	0.8671	0.9018	0.9622	1.0	0.9786	0.9207	0.9423	0.5538	0.6239
GO_BP	Cellular Component Assembly (GO:0022607)	51	0.7353	0.5571	0.5778	0.612	-0.1565	0.608	-0.1145	0.6687	0.6251	0.8706	1.0	0.6178	0.8487	0.5116	0.5622	0.5849
GO_BP	Cellular Respiration (GO:0045333)	45	-0.1593	0.8236	0.939	0.9529	0.3318	0.4676	0.7163	0.87	0.9041	0.9551	1.0	0.9734	0.9333	0.9467	0.6381	0.4669
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	0.7524	0.7198	0.6042	0.5595	0.4789	0.6995	0.5966	0.6702	0.6326	0.9451	1.0	0.9339	0.8809	0.5401	0.5379	0.4614
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	59	0.5067	0.3431	0.5785	0.3265	0.1569	0.6185	0.3949	0.5788	0.4149	0.9104	1.0	0.7604	0.9038	0.4033	0.449	0.2486
GO_BP	Central Nervous System Development (GO:0007417)	31	0.6815	0.6496	0.5446	0.5887	0.4528	0.5894	0.3399	0.6014	0.6154	0.9109	1.0	0.9019	0.8374	0.4963	0.5732	0.3195
GO_BP	Cytoplasmic Translation (GO:0002181)	67	0.6032	0.6451	0.6126	0.6075	0.2184	0.6118	0.3469	0.5887	0.5999	0.8936	1.0	0.6479	0.7903	0.5638	0.5477	0.5286
GO_BP	DNA Damage Response (GO:0006974)	35	0.4082	0.3735	0.3803	0.5268	0.0034	0.3942	0.0109	0.4397	0.4031	0.8838	1.0	0.8079	0.8119	0.3951	0.3135	0.1394
GO_BP	DNA Metabolic Process (GO:0006259)	37	0.4604	0.2726	0.2159	0.4915	-0.007	0.2637	0.0973	0.2894	0.3402	0.8972	1.0	0.873	0.7644	0.2669	0.1607	0.0592
GO_BP	DNA Repair (GO:0006281)	30	0.1791	0.2643	0.1726	0.3458	0.2028	0.1642	0.3273	0.1787	0.2026	0.8776	1.0	0.8323	0.6646	0.1204	0.0563	-0.0305
GO_BP	Dicarboxylic Acid Metabolic Process (GO:0043648)	30	0.1138	0.1652	0.2503	0.2972	-0.0464	0.3114	0.1931	0.4535	0.31	0.9279	1.0	0.7941	0.9303	0.4342	0.4416	0.3389
GO_BP	Endocytosis (GO:0006897)	51	0.7996	0.6939	0.6042	0.6846	0.2433	0.7291	0.418	0.7305	0.7195	0.9234	1.0	0.8068	0.9014	0.6721	0.7215	0.4817
GO_BP	Endomembrane System Organization (GO:0010256)	39	0.5059	0.4659	0.276	0.294	0.3903	0.5397	0.4914	0.5722	0.5467	0.9656	1.0	0.8912	0.8752	0.2036	0.3502	0.2186
GO_BP	Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888)	37	0.2779	0.1338	-0.0418	0.0644	0.2713	0.02	0.2049	0.1178	0.1776	0.9177	1.0	0.8169	0.7795	-0.1645	-0.1241	-0.1854
GO_BP	Endosomal Transport (GO:0016197)	41	0.4891	0.2271	0.1602	0.0246	0.1732	0.1321	0.2331	0.0133	0.0835	0.9075	1.0	0.8008	0.7433	-0.1448	-0.0678	-0.1849
GO_BP	Epithelium Development (GO:0060429)	30	0.3988	0.3104	0.4188	0.3403	0.0819	0.3846	0.4113	0.4359	0.3226	0.9398	1.0	0.7521	0.8868	0.4588	0.4852	0.2678
GO_BP	Fatty Acid Beta-Oxidation (GO:0006635)	32	0.6968	0.7151	0.8831	0.7867	0.5278	0.7406	0.6834	0.7848	0.8283	0.9496	1.0	0.8606	0.9429	0.7883	0.767	0.4229
GO_BP	Fatty Acid Catabolic Process (GO:0009062)	30	0.5842	0.6572	0.8409	0.7129	0.5194	0.6611	0.6394	0.7095	0.654	0.9661	1.0	0.9519	0.9468	0.6968	0.5967	0.2441
GO_BP	Fatty Acid Metabolic Process (GO:0006631)	44	0.3024	0.5313	0.6462	0.4283	0.4097	0.511	0.526	0.5226	0.5073	0.9257	1.0	0.8743	0.9384	0.4301	0.4306	0.2287
GO_BP	Gene Expression (GO:0010467)	97	0.5724	0.5429	0.4252	0.6591	0.1008	0.4467	0.0857	0.497	0.5414	0.9219	1.0	0.8362	0.7421	0.5036	0.4686	0.4367
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	0.41	0.0968	0.0002	0.0576	0.0981	-0.0308	0.322	0.0048	0.0829	0.8914	1.0	0.7746	0.7765	-0.1496	-0.0782	-0.103
GO_BP	Inorganic Cation Transmembrane Transport (GO:0098662)	30	0.5714	0.5716	0.4682	0.6948	0.0939	0.5373	0.6322	0.5872	0.6546	0.9221	1.0	0.8025	0.8264	0.5183	0.4973	0.3992
GO_BP	Intracellular Protein Transport (GO:0006886)	87	0.3572	0.201	0.0826	0.1838	0.2025	0.2114	0.3323	0.2789	0.2567	0.8563	1.0	0.8605	0.739	-0.0203	0.0519	-0.0466
GO_BP	Macromolecule Biosynthetic Process (GO:0009059)	77	0.5837	0.6647	0.5239	0.6735	0.2292	0.563	0.1709	0.5715	0.5761	0.9001	1.0	0.6897	0.7143	0.5575	0.5239	0.4502
GO_BP	Membrane Organization (GO:0061024)	58	0.5397	0.5038	0.4168	0.409	0.3302	0.5486	0.3516	0.5329	0.5136	0.9355	1.0	0.7701	0.821	0.2761	0.377	0.2683
GO_BP	Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	37	-0.2645	0.8325	0.9403	0.9476	0.2236	0.442	0.6973	0.8721	0.9148	0.9658	1.0	0.9761	0.9288	0.9578	0.6329	0.6253
GO_BP	Mitochondrion Organization (GO:0007005)	41	0.311	0.702	0.5132	0.7582	0.4777	0.5342	0.3628	0.756	0.6232	0.9545	1.0	0.9513	0.9014	0.6555	0.6192	-0.0048
GO_BP	Monocarboxylic Acid Metabolic Process (GO:0032787)	36	0.2847	0.4656	0.6781	0.3819	0.1899	0.6008	0.464	0.5807	0.4867	0.9256	1.0	0.9143	0.9636	0.5727	0.5313	0.3329
GO_BP	Negative Regulation Of Apoptotic Process (GO:0043066)	88	0.4834	0.606	0.5847	0.5918	0.2103	0.5876	0.2183	0.5957	0.599	0.9167	1.0	0.8137	0.8905	0.4925	0.4665	0.292
GO_BP	Negative Regulation Of Cell Population Proliferation (GO:0008285)	32	0.506	0.4492	0.4089	0.4969	0.3566	0.4404	0.2749	0.5189	0.5148	0.8387	1.0	0.8343	0.8118	0.4433	0.3996	0.3598
GO_BP	Negative Regulation Of Cellular Biosynthetic Process (GO:0031327)	32	0.5662	0.362	0.4851	0.6441	-0.0206	0.4767	0.1322	0.5319	0.6045	0.9051	1.0	0.7752	0.7959	0.6052	0.5775	-0.1438
GO_BP	Negative Regulation Of Cellular Process (GO:0048523)	64	0.4885	0.4772	0.5538	0.4995	0.2329	0.5499	0.3559	0.6151	0.5482	0.8865	1.0	0.8382	0.8766	0.5487	0.5674	0.4507
GO_BP	Negative Regulation Of DNA-templated Transcription (GO:0045892)	85	0.4874	0.42	0.5282	0.496	0.1061	0.5299	0.1665	0.5281	0.5229	0.9059	1.0	0.7908	0.7927	0.4896	0.4881	0.2672
GO_BP	Negative Regulation Of Gene Expression (GO:0010629)	54	0.6174	0.4829	0.5634	0.598	0.1725	0.5689	0.3944	0.5641	0.5397	0.9214	1.0	0.8115	0.7397	0.4943	0.4668	0.34
GO_BP	Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	30	0.6443	0.5956	0.6746	0.7093	0.3919	0.587	0.3244	0.5979	0.7026	0.8788	1.0	0.8691	0.8437	0.6904	0.5867	0.4617
GO_BP	Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	45	0.0517	0.2764	0.4611	0.1757	0.0922	0.5568	0.099	0.4829	0.4095	0.7805	1.0	0.7047	0.8019	0.2759	0.3304	0.2392
GO_BP	Negative Regulation Of Programmed Cell Death (GO:0043069)	79	0.4039	0.5322	0.4952	0.5	0.1954	0.4869	0.1792	0.5103	0.4994	0.9129	1.0	0.8539	0.8759	0.3932	0.3378	0.2151
