collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
GO_BP	DNA Damage Response (GO:0006974)	35	0.7188	0.7411	0.4043	0.7607	0.7412	0.4043	0.7333	0.741	0.4043
GO_BP	DNA Metabolic Process (GO:0006259)	37	0.7121	0.7046	0.3582	0.7623	0.7483	0.3582	0.7351	0.6926	0.3582
GO_BP	DNA Repair (GO:0006281)	30	0.7494	0.6831	0.2729	0.7906	0.6955	0.2729	0.7667	0.6814	0.2729
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	0.8741	0.554	0.053	0.8686	0.5483	0.053	0.8536	0.479	0.053
GO_BP	RNA Processing (GO:0006396)	48	0.8267	0.6314	0.2255	0.8606	0.6255	0.2255	0.8482	0.6268	0.2255
GO_BP	RNA Splicing (GO:0008380)	30	0.774	0.6651	0.3952	0.8077	0.6747	0.3952	0.7952	0.6747	0.3952
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	0.7587	0.6331	0.2779	0.7986	0.6522	0.2779	0.7804	0.677	0.2779
GO_BP	Actin Filament Organization (GO:0007015)	44	0.7231	0.8702	0.6692	0.7885	0.8884	0.6692	0.7726	0.8943	0.6692
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	0.4071	0.6171	0.7827	0.359	0.532	0.7827	0.2958	0.5098	0.7827
GO_BP	Aerobic Respiration (GO:0009060)	36	0.4141	0.5848	0.7306	0.3729	0.5075	0.7306	0.3077	0.4909	0.7306
GO_BP	Cellular Component Assembly (GO:0022607)	51	0.7231	0.7806	0.3964	0.7869	0.8102	0.3964	0.7655	0.8146	0.3964
GO_BP	Cellular Respiration (GO:0045333)	45	0.4236	0.6168	0.7948	0.3718	0.5206	0.7948	0.306	0.4948	0.7948
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	0.6999	0.8079	0.5498	0.7425	0.8241	0.5498	0.7131	0.7453	0.5498
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	59	0.853	0.7912	0.3538	0.8884	0.8062	0.3538	0.8756	0.8062	0.3538
GO_BP	Central Nervous System Development (GO:0007417)	31	0.7335	0.8154	0.5445	0.7746	0.8113	0.5445	0.7488	0.7821	0.5445
GO_BP	Cytoplasmic Translation (GO:0002181)	67	0.6612	0.9055	0.6054	0.7308	0.9271	0.6054	0.7411	0.9296	0.6054
GO_BP	Dicarboxylic Acid Metabolic Process (GO:0043648)	30	0.8001	0.6793	0.2731	0.8328	0.6937	0.2731	0.8137	0.6826	0.2731
GO_BP	Endocytosis (GO:0006897)	51	0.7581	0.7981	0.5903	0.7933	0.8029	0.5903	0.7696	0.7937	0.5903
GO_BP	Endomembrane System Organization (GO:0010256)	39	0.8513	0.7331	0.3876	0.8499	0.7428	0.3876	0.8327	0.6893	0.3876
GO_BP	Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888)	37	0.8843	0.4916	-0.0226	0.8734	0.4874	-0.0226	0.8589	0.4011	-0.0226
GO_BP	Endosomal Transport (GO:0016197)	41	0.8889	0.6539	0.1769	0.86	0.5975	0.1769	0.844	0.5614	0.1769
GO_BP	Epithelium Development (GO:0060429)	30	0.9621	0.8493	0.3175	0.969	0.8452	0.3175	0.9655	0.8465	0.3175
GO_BP	Fatty Acid Beta-Oxidation (GO:0006635)	32	0.5405	0.786	0.781	0.5075	0.7903	0.781	0.4571	0.7722	0.781
GO_BP	Fatty Acid Catabolic Process (GO:0009062)	30	0.684	0.7726	0.6552	0.6084	0.7468	0.6552	0.5637	0.7271	0.6552
GO_BP	Fatty Acid Metabolic Process (GO:0006631)	44	0.7173	0.654	0.4453	0.688	0.6506	0.4453	0.6524	0.622	0.4453
GO_BP	Gene Expression (GO:0010467)	97	0.682	0.7762	0.5225	0.7569	0.8409	0.5225	0.7417	0.8481	0.5225
GO_BP	Inorganic Cation Transmembrane Transport (GO:0098662)	30	0.8588	0.7807	0.5161	0.8889	0.7814	0.5161	0.8774	0.7814	0.5161
GO_BP	Intracellular Protein Transport (GO:0006886)	87	0.8102	0.5799	0.1867	0.8184	0.6165	0.1867	0.7976	0.5534	0.1867
GO_BP	mRNA Processing (GO:0006397)	61	0.7514	0.6292	0.3458	0.7869	0.6641	0.3458	0.7655	0.6672	0.3458
GO_BP	mRNA Splicing, Via Spliceosome (GO:0000398)	61	0.7688	0.5882	0.2588	0.8034	0.651	0.2588	0.7839	0.6574	0.2588
GO_BP	Macromolecule Biosynthetic Process (GO:0009059)	77	0.6826	0.8816	0.5738	0.7286	0.903	0.5738	0.7411	0.9149	0.5738
GO_BP	Membrane Organization (GO:0061024)	58	0.8869	0.7664	0.3763	0.8996	0.7701	0.3763	0.8881	0.7398	0.3763
GO_BP	Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	37	0.4068	0.6168	0.7821	0.36	0.5327	0.7821	0.2964	0.5103	0.7821
GO_BP	Mitochondrion Organization (GO:0007005)	41	0.5107	0.5909	0.6182	0.5059	0.597	0.6182	0.4494	0.5502	0.6182
GO_BP	Monocarboxylic Acid Metabolic Process (GO:0032787)	36	0.6858	0.6698	0.4648	0.7121	0.7103	0.4648	0.6792	0.6136	0.4648
GO_BP	Negative Regulation Of DNA-templated Transcription (GO:0045892)	85	0.7975	0.7041	0.4096	0.8221	0.7029	0.4096	0.8018	0.6931	0.4096
GO_BP	Negative Regulation Of Apoptotic Process (GO:0043066)	88	0.8628	0.7979	0.4808	0.8526	0.7763	0.4808	0.8357	0.7554	0.4808
GO_BP	Negative Regulation Of Cell Population Proliferation (GO:0008285)	32	0.9494	0.8773	0.3939	0.9434	0.875	0.3939	0.9369	0.89	0.3939
GO_BP	Negative Regulation Of Cellular Biosynthetic Process (GO:0031327)	32	0.6273	0.5373	0.4427	0.6202	0.5722	0.4427	0.5774	0.4395	0.4427
GO_BP	Negative Regulation Of Cellular Process (GO:0048523)	64	0.8576	0.8432	0.4483	0.8686	0.8382	0.4483	0.8536	0.8393	0.4483
GO_BP	Negative Regulation Of Gene Expression (GO:0010629)	54	0.8009	0.7506	0.4176	0.8312	0.7599	0.4176	0.8119	0.7412	0.4176
GO_BP	Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	30	0.7685	0.7709	0.5549	0.7853	0.7381	0.5549	0.7607	0.7103	0.5549
GO_BP	Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	45	0.7691	0.5278	0.1855	0.7543	0.4819	0.1855	0.7262	0.4398	0.1855
GO_BP	Negative Regulation Of Programmed Cell Death (GO:0043069)	79	0.9349	0.7963	0.3792	0.9097	0.7934	0.3792	0.8994	0.7816	0.3792
GO_BP	Negative Regulation Of Protein Metabolic Process (GO:0051248)	38	0.7083	0.7752	0.6338	0.7682	0.8105	0.6338	0.7417	0.7694	0.6338
GO_BP	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	53	0.7922	0.6768	0.3699	0.82	0.6617	0.3699	0.7994	0.6483	0.3699
GO_BP	Nervous System Development (GO:0007399)	31	0.8762	0.8717	0.5108	0.8889	0.8645	0.5108	0.8762	0.8855	0.5108
GO_BP	Organelle Assembly (GO:0070925)	47	0.7176	0.775	0.5428	0.7105	0.7498	0.5428	0.6815	0.7334	0.5428
GO_BP	Organelle Organization (GO:0006996)	79	0.7705	0.7623	0.4304	0.7842	0.7218	0.4304	0.7595	0.6929	0.4304
GO_BP	Oxidative Phosphorylation (GO:0006119)	35	0.4074	0.6182	0.7861	0.3622	0.5567	0.7861	0.2982	0.5234	0.7861
GO_BP	Peptide Biosynthetic Process (GO:0043043)	70	0.6921	0.8826	0.5839	0.7452	0.9166	0.5839	0.7607	0.9166	0.5839
GO_BP	Phosphate-Containing Compound Metabolic Process (GO:0006796)	39	0.8461	0.6563	0.402	0.8681	0.6658	0.402	0.853	0.6518	0.402
GO_BP	Phosphorylation (GO:0016310)	39	0.7138	0.6927	0.4324	0.7655	0.7232	0.4324	0.7387	0.6603	0.4324
GO_BP	Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)	31	0.8128	0.7758	0.4724	0.836	0.7662	0.4724	0.819	0.7662	0.4724
GO_BP	Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)	31	0.7124	0.8104	0.6319	0.7447	0.7904	0.6319	0.7155	0.7847	0.6319
GO_BP	Positive Regulation Of DNA-templated Transcription (GO:0045893)	108	0.7546	0.7513	0.5542	0.789	0.7652	0.5542	0.7649	0.7374	0.5542
GO_BP	Positive Regulation Of MAPK Cascade (GO:0043410)	30	0.6557	0.7892	0.6519	0.719	0.837	0.6519	0.7024	0.837	0.6519
GO_BP	Positive Regulation Of Apoptotic Process (GO:0043065)	40	0.7153	0.8208	0.6306	0.7687	0.8193	0.6306	0.7423	0.8187	0.6306
GO_BP	Positive Regulation Of Cell Differentiation (GO:0045597)	32	0.8166	0.7961	0.5045	0.8018	0.7719	0.5045	0.803	0.7719	0.5045
GO_BP	Positive Regulation Of Cell Migration (GO:0030335)	48	0.8333	0.7869	0.4517	0.8429	0.7771	0.4517	0.8357	0.7771	0.4517
GO_BP	Positive Regulation Of Cell Motility (GO:2000147)	39	0.8116	0.7722	0.4405	0.8243	0.7358	0.4405	0.8137	0.7358	0.4405
GO_BP	Positive Regulation Of Cell Population Proliferation (GO:0008284)	58	0.8935	0.7617	0.3644	0.8878	0.7513	0.3644	0.875	0.7513	0.3644
GO_BP	Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	38	0.6962	0.7633	0.5774	0.7073	0.7726	0.5774	0.6738	0.7717	0.5774
GO_BP	Positive Regulation Of Cellular Process (GO:0048522)	82	0.8084	0.757	0.4725	0.8307	0.7461	0.4725	0.8155	0.7461	0.4725
GO_BP	Positive Regulation Of Cytokine Production (GO:0001819)	36	0.6907	0.6955	0.5268	0.7121	0.7186	0.5268	0.6798	0.7186	0.5268
GO_BP	Positive Regulation Of Developmental Process (GO:0051094)	32	0.741	0.6791	0.4037	0.7596	0.6675	0.4037	0.7369	0.6675	0.4037
GO_BP	Positive Regulation Of Gene Expression (GO:0010628)	70	0.844	0.8037	0.5191	0.8616	0.8079	0.5191	0.8458	0.8079	0.5191
GO_BP	Positive Regulation Of Intracellular Protein Transport (GO:0090316)	30	0.77	0.7775	0.5613	0.8141	0.8147	0.5613	0.7935	0.7794	0.5613
GO_BP	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	76	0.7506	0.7738	0.5565	0.7837	0.7791	0.5565	0.7589	0.7629	0.5565
GO_BP	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	49	0.8409	0.8186	0.5349	0.8729	0.8179	0.5349	0.8583	0.8179	0.5349
GO_BP	Positive Regulation Of Multicellular Organismal Process (GO:0051240)	48	0.7517	0.801	0.542	0.7927	0.8013	0.542	0.769	0.815	0.542
GO_BP	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	48	0.7477	0.8571	0.6274	0.797	0.8597	0.6274	0.7738	0.8546	0.6274
GO_BP	Positive Regulation Of Programmed Cell Death (GO:0043068)	36	0.7075	0.8257	0.6721	0.7618	0.8243	0.6721	0.7345	0.8062	0.6721
GO_BP	Positive Regulation Of Protein Metabolic Process (GO:0051247)	45	0.8131	0.7786	0.4769	0.8355	0.7972	0.4769	0.8167	0.7799	0.4769
GO_BP	Positive Regulation Of Protein Modification Process (GO:0031401)	30	0.6947	0.6498	0.4443	0.7457	0.6582	0.4443	0.7167	0.6451	0.4443
GO_BP	Positive Regulation Of Protein Phosphorylation (GO:0001934)	45	0.7671	0.656	0.3607	0.8066	0.6591	0.3607	0.7845	0.6255	0.3607
GO_BP	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	70	0.7292	0.6676	0.4812	0.7468	0.6542	0.4812	0.7179	0.6145	0.4812
GO_BP	Positive Regulation Of Translation (GO:0045727)	33	0.776	0.8209	0.556	0.805	0.8339	0.556	0.7827	0.8297	0.556
GO_BP	Proteasomal Protein Catabolic Process (GO:0010498)	45	0.6369	0.4077	0.153	0.6309	0.4114	0.153	0.6101	0.4039	0.153
GO_BP	Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	57	0.7005	0.4248	0.1188	0.7196	0.459	0.1188	0.6905	0.4243	0.1188
GO_BP	Protein Homooligomerization (GO:0051260)	35	0.8168	0.8668	0.4678	0.8392	0.8521	0.4678	0.8208	0.8507	0.4678
GO_BP	Protein Localization (GO:0008104)	88	0.8273	0.6433	0.3344	0.8125	0.5971	0.3344	0.7911	0.5929	0.3344
GO_BP	Protein Localization To Cell Periphery (GO:1990778)	30	0.82	0.7586	0.4714	0.8526	0.7605	0.4714	0.8375	0.7605	0.4714
GO_BP	Protein Localization To Membrane (GO:0072657)	45	0.8316	0.7259	0.4405	0.8419	0.7281	0.4405	0.8238	0.6281	0.4405
GO_BP	Protein Localization To Organelle (GO:0033365)	32	0.7031	0.8405	0.6293	0.7527	0.8435	0.6293	0.7244	0.8327	0.6293
GO_BP	Protein Modification By Small Protein Conjugation (GO:0032446)	43	0.6091	0.5452	0.2787	0.6271	0.5651	0.2787	0.5863	0.5362	0.2787
GO_BP	Protein Modification Process (GO:0036211)	86	0.7951	0.7703	0.5098	0.813	0.7693	0.5098	0.7917	0.7582	0.5098
GO_BP	Protein Phosphorylation (GO:0006468)	42	0.8061	0.7062	0.2305	0.8285	0.6967	0.2305	0.8149	0.7027	0.2305
GO_BP	Protein Stabilization (GO:0050821)	59	0.7323	0.777	0.5174	0.7885	0.7995	0.5174	0.7643	0.7834	0.5174
GO_BP	Protein Transport (GO:0015031)	85	0.7416	0.769	0.5237	0.7639	0.7971	0.5237	0.7476	0.7971	0.5237
GO_BP	Protein Ubiquitination (GO:0016567)	32	0.6273	0.4465	0.1924	0.6512	0.4601	0.1924	0.6137	0.4453	0.1924
GO_BP	protein-RNA Complex Assembly (GO:0022618)	45	0.7402	0.6715	0.2823	0.7879	0.7664	0.2823	0.7821	0.7712	0.2823
GO_BP	Protein-Containing Complex Assembly (GO:0065003)	74	0.68	0.732	0.5327	0.7292	0.7834	0.5327	0.7107	0.7834	0.5327
GO_BP	Proteolysis (GO:0006508)	53	0.7986	0.7411	0.458	0.812	0.7754	0.458	0.7905	0.7437	0.458
GO_BP	Proton Motive Force-Driven ATP Synthesis (GO:0015986)	32	0.4155	0.6473	0.7604	0.367	0.512	0.7604	0.3042	0.4796	0.7604
GO_BP	Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	32	0.4155	0.6473	0.7604	0.367	0.512	0.7604	0.3042	0.4796	0.7604
GO_BP	Receptor-Mediated Endocytosis (GO:0006898)	38	0.8119	0.7909	0.5183	0.8125	0.8037	0.5183	0.7911	0.7792	0.5183
GO_BP	Regulation Of DNA-templated Transcription (GO:0006355)	126	0.7488	0.7948	0.5076	0.7991	0.8004	0.5076	0.7762	0.8004	0.5076
GO_BP	Regulation Of GTPase Activity (GO:0043087)	31	0.7407	0.6954	0.3859	0.7639	0.7178	0.3859	0.7369	0.6262	0.3859
GO_BP	Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	32	0.8938	0.8714	0.4863	0.8851	0.8581	0.4863	0.872	0.854	0.4863
GO_BP	Regulation Of Angiogenesis (GO:0045765)	35	0.9389	0.7335	0.3771	0.9145	0.7095	0.3771	0.906	0.7232	0.3771
GO_BP	Regulation Of Apoptotic Process (GO:0042981)	131	0.851	0.7842	0.432	0.8499	0.7838	0.432	0.8327	0.7838	0.432
GO_BP	Regulation Of Autophagy (GO:0010506)	47	0.9858	0.7483	0.2148	0.9738	0.7204	0.2148	0.9708	0.6863	0.2148
GO_BP	Regulation Of Cell Migration (GO:0030334)	70	0.7807	0.8141	0.57	0.8333	0.8004	0.57	0.8149	0.8004	0.57
GO_BP	Regulation Of Cell Population Proliferation (GO:0042127)	84	0.9005	0.8377	0.3919	0.9012	0.8242	0.3919	0.8899	0.8351	0.3919
GO_BP	Regulation Of Cytoskeleton Organization (GO:0051493)	31	0.8044	0.7532	0.4669	0.8034	0.7579	0.4669	0.7845	0.7579	0.4669
GO_BP	Regulation Of Gene Expression (GO:0010468)	116	0.8038	0.7725	0.4577	0.8451	0.7867	0.4577	0.828	0.7867	0.4577
GO_BP	Regulation Of Macroautophagy (GO:0016241)	30	0.7089	0.6709	0.4971	0.6902	0.6871	0.4971	0.6554	0.663	0.4971
GO_BP	Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)	33	0.8788	0.7764	0.2595	0.906	0.7799	0.2595	0.8958	0.7816	0.2595
GO_BP	Regulation Of Organelle Organization (GO:0033043)	31	0.7448	0.6889	0.4323	0.7041	0.6429	0.4323	0.6702	0.5632	0.4323
GO_BP	Regulation Of Programmed Cell Death (GO:0043067)	40	0.7393	0.8016	0.5568	0.7949	0.8029	0.5568	0.7714	0.7789	0.5568
GO_BP	Regulation Of Protein Catabolic Process (GO:0042176)	32	0.781	0.7001	0.3381	0.8189	0.7121	0.3381	0.7982	0.6984	0.3381
GO_BP	Regulation Of Protein Phosphorylation (GO:0001932)	36	0.9693	0.7921	0.2532	0.9696	0.7939	0.2532	0.9661	0.7601	0.2532
GO_BP	Regulation Of Translation (GO:0006417)	63	0.9557	0.7719	0.2475	0.9391	0.7765	0.2475	0.9321	0.7729	0.2475
GO_BP	Supramolecular Fiber Organization (GO:0097435)	60	0.7633	0.8472	0.6663	0.7949	0.8455	0.6663	0.7863	0.8489	0.6663
GO_BP	Translation (GO:0006412)	93	0.6762	0.8295	0.4965	0.7329	0.8779	0.4965	0.7405	0.8836	0.4965
GO_BP	Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	61	0.6753	0.4828	0.3594	0.6506	0.5002	0.3594	0.628	0.4874	0.3594
GO_BP	Vesicle-Mediated Transport (GO:0016192)	83	0.8472	0.7374	0.3556	0.8681	0.7329	0.3556	0.853	0.7176	0.3556
KEGG	Alzheimer disease	108	0.7529	0.7547	0.5108	0.758	0.7519	0.5108	0.7304	0.6868	0.5108
KEGG	Amyotrophic lateral sclerosis	120	0.6817	0.6881	0.5144	0.6918	0.6989	0.5144	0.6589	0.6849	0.5144
KEGG	Bacterial invasion of epithelial cells	33	0.7413	0.8342	0.6262	0.7634	0.8442	0.6262	0.7458	0.8543	0.6262
KEGG	Chemical carcinogenesis	30	0.7164	0.7086	0.4452	0.7575	0.7099	0.4452	0.7298	0.6567	0.4452
KEGG	Coronavirus disease	77	0.6308	0.7689	0.5872	0.6998	0.8076	0.5872	0.6875	0.8153	0.5872
KEGG	Diabetic cardiomyopathy	62	0.8197	0.7799	0.5566	0.8237	0.7739	0.5566	0.8036	0.7551	0.5566
KEGG	Endocytosis	70	0.8747	0.6503	0.0936	0.8552	0.6476	0.0936	0.8387	0.6091	0.0936
KEGG	Epstein-Barr virus infection	31	0.6068	0.8032	0.7336	0.6496	0.8118	0.7336	0.6125	0.8036	0.7336
KEGG	Focal adhesion	53	0.6982	0.872	0.7556	0.711	0.8682	0.7556	0.6899	0.8682	0.7556
KEGG	Glycolysis / Gluconeogenesis	36	0.7908	0.5727	0.3509	0.7746	0.5848	0.3509	0.7488	0.5736	0.3509
KEGG	Human cytomegalovirus infection	32	0.7908	0.741	0.4365	0.8526	0.7535	0.4365	0.8357	0.7342	0.4365
