pathway	n_genes	auc_cat_over_mouse	cat_median	mouse_median
Actin Filament Organization (GO:0007015)	44	0.9722	0.9068	0.7487
Adipogenesis	86	1.0	0.8995	0.5738
Aerobic Electron Transport Chain (GO:0019646)	36	0.9167	0.9649	0.7671
Aerobic Respiration (GO:0009060)	36	0.9167	0.9622	0.7169
Alzheimer disease	108	1.0	0.8507	0.5771
Amyotrophic lateral sclerosis	120	1.0	0.8388	0.5709
Apical Junction	44	1.0	0.8889	0.6393
Apoptosis	40	1.0	0.8623	0.6464
Bacterial invasion of epithelial cells	33	0.8056	0.8258	0.7256
Bile Acid Metabolism	39	1.0	0.9123	0.3908
Cellular Component Assembly (GO:0022607)	51	0.9167	0.8487	0.5814
Cellular Respiration (GO:0045333)	45	0.9167	0.9551	0.77
Cellular Response To Cytokine Stimulus (GO:0071345)	34	1.0	0.9339	0.6004
Cellular Response To Oxygen-Containing Compound (GO:1901701)	59	1.0	0.9038	0.4091
Central Nervous System Development (GO:0007417)	31	1.0	0.9019	0.581
Chemical carcinogenesis	30	1.0	0.9075	0.4356
Coagulation	37	0.7778	0.8799	0.7348
Complement	40	1.0	0.8743	0.6852
Coronavirus disease	77	0.9444	0.8301	0.6493
Cytoplasmic Translation (GO:0002181)	67	1.0	0.7903	0.5943
DNA Damage Response (GO:0006974)	35	1.0	0.8119	0.3872
DNA Metabolic Process (GO:0006259)	37	1.0	0.873	0.2653
DNA Repair	36	1.0	0.7544	0.1591
DNA Repair (GO:0006281)	30	1.0	0.8323	0.1789
Diabetic cardiomyopathy	62	1.0	0.92	0.6261
Dicarboxylic Acid Metabolic Process (GO:0043648)	30	1.0	0.9279	0.3036
E2F Targets	40	1.0	0.8173	0.453
Endocytosis	70	1.0	0.7671	0.0148
Endocytosis (GO:0006897)	51	1.0	0.9014	0.6892
Endomembrane System Organization (GO:0010256)	39	1.0	0.8912	0.4281
Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888)	37	1.0	0.8169	0.0911
Endosomal Transport (GO:0016197)	41	1.0	0.8008	0.1078
Epithelial Mesenchymal Transition	49	0.8889	0.8419	0.771
Epithelium Development (GO:0060429)	30	1.0	0.8868	0.3917
Epstein-Barr virus infection	31	1.0	0.9715	0.7301
Estrogen Response Late	33	1.0	0.8163	0.3979
Fatty Acid Beta-Oxidation (GO:0006635)	32	0.9722	0.9429	0.7538
Fatty Acid Catabolic Process (GO:0009062)	30	1.0	0.9519	0.6556
Fatty Acid Metabolic Process (GO:0006631)	44	1.0	0.9257	0.469
Fatty Acid Metabolism	93	1.0	0.9248	0.485
Focal adhesion	53	0.7222	0.8682	0.8584
G2-M Checkpoint	34	1.0	0.6977	0.0846
Gene Expression (GO:0010467)	97	1.0	0.8362	0.4828
Glycolysis	67	1.0	0.9005	0.4996
Glycolysis / Gluconeogenesis	36	1.0	0.878	0.2932
Golgi Vesicle Transport (GO:0048193)	57	1.0	0.7765	0.0312
Human cytomegalovirus infection	32	1.0	0.8534	0.5302
Human immunodeficiency virus 1 infection	32	1.0	0.9142	0.3425
Human papillomavirus infection	55	0.8889	0.8686	0.8361
Huntington disease	103	1.0	0.8516	0.5568
Hypoxia	53	0.9722	0.7997	0.612
IL-2/STAT5 Signaling	33	1.0	0.9191	0.7603
Inorganic Cation Transmembrane Transport (GO:0098662)	30	1.0	0.8264	0.5544
Insulin signaling pathway	30	1.0	0.8069	-0.0278
Intracellular Protein Transport (GO:0006886)	87	1.0	0.8563	0.2018
Lipid and atherosclerosis	31	0.9722	0.6657	0.4213
Lysosome	43	1.0	0.6922	-0.0597
MAPK signaling pathway	34	1.0	0.7989	0.184
Macromolecule Biosynthetic Process (GO:0009059)	77	1.0	0.7143	0.5602
Membrane Organization (GO:0061024)	58	1.0	0.821	0.4129
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	37	0.9167	0.9658	0.7649
Mitochondrion Organization (GO:0007005)	41	1.0	0.9513	0.5767
Mitotic Spindle	45	0.9722	0.7988	0.507
Monocarboxylic Acid Metabolic Process (GO:0032787)	36	1.0	0.9256	0.4762
Myc Targets V1	129	1.0	0.7979	0.2172
