state	global_cos	n_pathways	pathway_cos_median	pathway_cos_max	n_above_random_band	max_pathway	max_n_genes
IRI_2h	0.193	193	0.212	0.625	5	Valine, leucine and isoleucine degradation	37
IRI_4h	0.303	193	0.332	0.76	3	Oxidative Phosphorylation	121
mouse_5D	0.346	193	0.412	0.814	10	Focal adhesion	53
IRI_12mo	0.442	193	0.527	0.916	15	Bacterial invasion of epithelial cells	33
IRI_14d	0.47	193	0.561	0.863	15	Proteoglycans in cancer	47
mouse_3W	0.48	193	0.506	0.877	7	Valine, leucine and isoleucine degradation	37
IRI_28d	0.484	193	0.582	0.956	20	Oxidative Phosphorylation (GO:0006119)	35
mouse_2W	0.498	193	0.533	0.958	8	Mitochondrial ATP Synthesis Coupled Electron	37
IRI_48h	0.51	193	0.521	0.898	9	Focal adhesion	53
IRI_7d	0.512	193	0.583	0.935	12	Focal adhesion	53
IRI_24h	0.518	193	0.528	0.948	11	Oxidative Phosphorylation (GO:0006119)	35
IRI_72h	0.548	193	0.582	0.912	9	Focal adhesion	53
