collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
GO_BP	DNA Damage Response (GO:0006974)	31	0.7179	0.7411	0.4136	0.7601	0.7437	0.4136	0.7327	0.7384	0.4136
GO_BP	DNA Metabolic Process (GO:0006259)	30	0.6965	0.6685	0.3386	0.7473	0.7015	0.3386	0.7185	0.6635	0.3386
GO_BP	Golgi Vesicle Transport (GO:0048193)	50	0.8681	0.5627	0.0581	0.8681	0.56	0.0581	0.853	0.4938	0.0581
GO_BP	RNA Processing (GO:0006396)	45	0.8223	0.6364	0.2346	0.852	0.6271	0.2346	0.8381	0.6271	0.2346
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	51	0.7211	0.6393	0.3476	0.7762	0.6838	0.3476	0.7619	0.7271	0.3476
GO_BP	Actin Filament Organization (GO:0007015)	40	0.724	0.877	0.6672	0.7885	0.8897	0.6672	0.7732	0.8899	0.6672
GO_BP	Cellular Component Assembly (GO:0022607)	42	0.7141	0.7917	0.4433	0.7783	0.8183	0.4433	0.7595	0.8224	0.4433
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	31	0.7034	0.8053	0.5481	0.7425	0.8255	0.5481	0.7131	0.7406	0.5481
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	46	0.8799	0.8132	0.1905	0.9092	0.8193	0.1905	0.8988	0.826	0.1905
GO_BP	Endocytosis (GO:0006897)	45	0.7523	0.8239	0.6131	0.7933	0.8243	0.6131	0.7696	0.8067	0.6131
GO_BP	Endomembrane System Organization (GO:0010256)	34	0.8547	0.7501	0.4013	0.8563	0.7518	0.4013	0.8399	0.6977	0.4013
GO_BP	Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888)	31	0.8929	0.5015	-0.0339	0.8841	0.4981	-0.0339	0.8708	0.4181	-0.0339
GO_BP	Endosomal Transport (GO:0016197)	37	0.8767	0.6793	0.258	0.8435	0.6094	0.258	0.8256	0.6045	0.258
GO_BP	Fatty Acid Metabolic Process (GO:0006631)	34	0.7228	0.6184	0.3611	0.7083	0.6489	0.3611	0.675	0.5762	0.3611
GO_BP	Gene Expression (GO:0010467)	41	0.7124	0.7106	0.4104	0.7607	0.7411	0.4104	0.7381	0.73	0.4104
GO_BP	Intracellular Protein Transport (GO:0006886)	76	0.8119	0.5954	0.1471	0.8221	0.6462	0.1471	0.8018	0.5534	0.1471
GO_BP	mRNA Processing (GO:0006397)	57	0.7214	0.652	0.3964	0.7692	0.672	0.3964	0.7518	0.6944	0.3964
GO_BP	mRNA Splicing, Via Spliceosome (GO:0000398)	57	0.7323	0.6169	0.3148	0.7831	0.655	0.3148	0.7643	0.6757	0.3148
GO_BP	Membrane Organization (GO:0061024)	53	0.8848	0.7787	0.4303	0.899	0.781	0.4303	0.8875	0.7716	0.4303
GO_BP	Mitochondrion Organization (GO:0007005)	34	0.555	0.6297	0.592	0.5294	0.5871	0.592	0.4756	0.574	0.592
GO_BP	Negative Regulation Of DNA-templated Transcription (GO:0045892)	69	0.809	0.7175	0.343	0.8328	0.7201	0.343	0.8137	0.7035	0.343
GO_BP	Negative Regulation Of Apoptotic Process (GO:0043066)	60	0.9294	0.8037	0.4259	0.9012	0.7898	0.4259	0.8899	0.7859	0.4259
GO_BP	Negative Regulation Of Cellular Process (GO:0048523)	49	0.884	0.8716	0.4054	0.8873	0.8646	0.4054	0.8744	0.8727	0.4054
GO_BP	Negative Regulation Of Gene Expression (GO:0010629)	42	0.8168	0.7498	0.4055	0.8344	0.7558	0.4055	0.8167	0.7422	0.4055
GO_BP	Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	36	0.7558	0.5428	0.2426	0.7596	0.5124	0.2426	0.7321	0.4771	0.2426
GO_BP	Negative Regulation Of Programmed Cell Death (GO:0043069)	54	0.9566	0.8329	0.3417	0.9338	0.8185	0.3417	0.9262	0.805	0.3417
GO_BP	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	43	0.8053	0.7119	0.3062	0.8296	0.7208	0.3062	0.8101	0.6677	0.3062
GO_BP	Organelle Assembly (GO:0070925)	43	0.7086	0.7821	0.5598	0.7014	0.7541	0.5598	0.6726	0.736	0.5598
GO_BP	Organelle Organization (GO:0006996)	68	0.7778	0.765	0.4283	0.7837	0.7188	0.4283	0.7589	0.6933	0.4283
GO_BP	Phosphate-Containing Compound Metabolic Process (GO:0006796)	30	0.8391	0.7163	0.4174	0.8745	0.7211	0.4174	0.8601	0.7134	0.4174
GO_BP	Phosphorylation (GO:0016310)	34	0.7086	0.6961	0.4584	0.7559	0.7262	0.4584	0.728	0.6742	0.4584
