collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
GO_BP	DNA Damage Response (GO:0006974)	37	0.8307	0.5477	0.2561	0.8301	0.5086	0.2561	0.8143	0.4811	0.2561
GO_BP	DNA-templated Transcription (GO:0006351)	32	0.9065	0.6557	0.3221	0.8478	0.6222	0.3221	0.8304	0.6222	0.3221
GO_BP	Golgi Vesicle Transport (GO:0048193)	34	0.6834	0.3702	0.1701	0.6864	0.4141	0.1701	0.6583	0.3544	0.1701
GO_BP	Apoptotic Process (GO:0006915)	36	0.798	0.6811	0.4986	0.773	0.6354	0.4986	0.7649	0.6407	0.4986
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	35	0.7714	0.6563	0.4586	0.7473	0.6646	0.4586	0.7274	0.6646	0.4586
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	44	0.8478	0.6096	0.3619	0.7954	0.5933	0.3619	0.7744	0.5481	0.3619
GO_BP	Endomembrane System Organization (GO:0010256)	32	0.6823	0.3977	0.2551	0.6319	0.3558	0.2551	0.6048	0.3428	0.2551
GO_BP	Gene Expression (GO:0010467)	39	0.6644	0.6326	0.4094	0.7185	0.6621	0.4094	0.6863	0.6283	0.4094
GO_BP	Inorganic Cation Transmembrane Transport (GO:0098662)	32	0.7567	0.7011	0.3846	0.7804	0.6994	0.3846	0.7554	0.6873	0.3846
GO_BP	Intracellular Protein Transport (GO:0006886)	49	0.7543	0.673	0.3892	0.8002	0.6806	0.3892	0.7774	0.6565	0.3892
GO_BP	Modification-Dependent Protein Catabolic Process (GO:0019941)	40	0.7572	0.481	0.2601	0.7404	0.4537	0.2601	0.7107	0.4355	0.2601
GO_BP	Monoatomic Cation Transmembrane Transport (GO:0098655)	32	0.7567	0.7011	0.3846	0.7804	0.6994	0.3846	0.7554	0.6873	0.3846
GO_BP	Negative Regulation Of DNA-templated Transcription (GO:0045892)	108	0.7514	0.4901	0.3313	0.6854	0.4544	0.3313	0.65	0.393	0.3313
GO_BP	Negative Regulation Of Apoptotic Process (GO:0043066)	64	0.7425	0.56	0.3011	0.7393	0.5783	0.3011	0.7095	0.5298	0.3011
GO_BP	Negative Regulation Of Cell Population Proliferation (GO:0008285)	45	0.6516	0.6169	0.4847	0.703	0.6406	0.4847	0.669	0.6176	0.4847
GO_BP	Negative Regulation Of Cellular Process (GO:0048523)	64	0.7182	0.6333	0.4536	0.7447	0.7033	0.4536	0.7155	0.6172	0.4536
GO_BP	Negative Regulation Of Gene Expression (GO:0010629)	45	0.5353	0.4409	0.3643	0.5096	0.4011	0.3643	0.4536	0.2957	0.3643
GO_BP	Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	33	0.7972	0.635	0.3326	0.773	0.6071	0.3326	0.747	0.5792	0.3326
GO_BP	Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	61	0.752	0.4505	0.3447	0.7046	0.4318	0.3447	0.6738	0.4274	0.3447
GO_BP	Negative Regulation Of Programmed Cell Death (GO:0043069)	58	0.8223	0.6227	0.3003	0.8291	0.597	0.3003	0.8095	0.5704	0.3003
GO_BP	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	83	0.7656	0.5292	0.3541	0.7014	0.474	0.3541	0.6673	0.4351	0.3541
GO_BP	Nervous System Development (GO:0007399)	37	0.8753	0.6652	0.3883	0.828	0.6403	0.3883	0.8083	0.6218	0.3883
GO_BP	Organelle Assembly (GO:0070925)	33	0.7459	0.4894	0.2618	0.7399	0.5121	0.2618	0.7101	0.4646	0.2618
GO_BP	Organelle Organization (GO:0006996)	59	0.8689	0.5047	0.1821	0.8451	0.4991	0.1821	0.8274	0.4353	0.1821
GO_BP	Phosphorylation (GO:0016310)	65	0.6913	0.5613	0.321	0.711	0.6079	0.321	0.678	0.529	0.321
GO_BP	Positive Regulation Of DNA-templated Transcription (GO:0045893)	157	0.8406	0.6446	0.4141	0.8381	0.6602	0.4141	0.8196	0.5926	0.4141
GO_BP	Positive Regulation Of MAPK Cascade (GO:0043410)	32	0.7179	0.7432	0.5641	0.7543	0.7453	0.5641	0.728	0.733	0.5641
GO_BP	Positive Regulation Of Cell Differentiation (GO:0045597)	36	0.8131	0.6557	0.463	0.7591	0.6319	0.463	0.744	0.6319	0.463
GO_BP	Positive Regulation Of Cell Migration (GO:0030335)	35	0.5909	0.6472	0.5901	0.5903	0.6404	0.5901	0.5435	0.6143	0.5901
GO_BP	Positive Regulation Of Cell Population Proliferation (GO:0008284)	55	0.6936	0.6665	0.5077	0.7457	0.6886	0.5077	0.7214	0.6675	0.5077
GO_BP	Positive Regulation Of Cellular Process (GO:0048522)	66	0.6991	0.6562	0.4998	0.7377	0.6757	0.4998	0.7125	0.6676	0.4998
GO_BP	Positive Regulation Of Developmental Process (GO:0051094)	32	0.7069	0.5379	0.3148	0.734	0.5154	0.3148	0.706	0.4774	0.3148
GO_BP	Positive Regulation Of Gene Expression (GO:0010628)	53	0.5804	0.6603	0.602	0.6175	0.6687	0.602	0.5851	0.6526	0.602
GO_BP	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	60	0.6863	0.6666	0.5191	0.7142	0.6615	0.5191	0.6815	0.6404	0.5191
GO_BP	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	37	0.5651	0.6922	0.6242	0.6095	0.7207	0.6242	0.5821	0.6734	0.6242
GO_BP	Positive Regulation Of Multicellular Organismal Process (GO:0051240)	39	0.6473	0.6811	0.556	0.6603	0.6832	0.556	0.6339	0.6073	0.556
GO_BP	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	84	0.7697	0.5859	0.3974	0.7767	0.6069	0.3974	0.7524	0.5857	0.3974
GO_BP	Positive Regulation Of Phosphorylation (GO:0042327)	34	0.6212	0.6849	0.5619	0.6624	0.6991	0.5619	0.6286	0.6831	0.5619
GO_BP	Positive Regulation Of Protein Metabolic Process (GO:0051247)	31	0.6916	0.5665	0.3249	0.7217	0.5529	0.3249	0.6911	0.4968	0.3249
GO_BP	Positive Regulation Of Protein Modification Process (GO:0031401)	33	0.6872	0.6146	0.3904	0.7356	0.663	0.3904	0.7054	0.608	0.3904
GO_BP	Positive Regulation Of Protein Phosphorylation (GO:0001934)	52	0.7211	0.7205	0.5135	0.7714	0.724	0.5135	0.7464	0.722	0.5135
GO_BP	Positive Regulation Of Signal Transduction (GO:0009967)	33	0.5929	0.3906	0.3625	0.6335	0.4449	0.3625	0.5917	0.3769	0.3625
GO_BP	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	115	0.9311	0.6497	0.3501	0.9097	0.6579	0.3501	0.9	0.5751	0.3501
GO_BP	Proteasomal Protein Catabolic Process (GO:0010498)	50	0.8027	0.6053	0.3257	0.7767	0.5649	0.3257	0.7512	0.5234	0.3257
GO_BP	Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	68	0.752	0.557	0.2944	0.7131	0.4453	0.2944	0.6827	0.4261	0.2944
