collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
GO_BP	DNA Damage Response (GO:0006974)	49	0.7205	0.6782	0.5032	0.7553	0.7145	0.5032	0.7274	0.6779	0.5032
GO_BP	DNA Metabolic Process (GO:0006259)	35	0.7934	0.6316	0.1643	0.8114	0.711	0.1643	0.8143	0.711	0.1643
GO_BP	DNA Repair (GO:0006281)	34	0.7581	0.4959	0.1633	0.7559	0.539	0.1633	0.728	0.4405	0.1633
GO_BP	DNA-templated Transcription (GO:0006351)	35	0.9358	0.7328	0.344	0.9209	0.73	0.344	0.9119	0.6423	0.344
GO_BP	Golgi Vesicle Transport (GO:0048193)	34	0.7708	0.4184	0.0705	0.7612	0.4092	0.0705	0.7339	0.3165	0.0705
GO_BP	Apoptotic Process (GO:0006915)	39	0.9193	0.7507	0.4879	0.9129	0.7295	0.4879	0.9137	0.7625	0.4879
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	31	0.6264	0.5509	0.4249	0.6116	0.6098	0.4249	0.572	0.4477	0.4249
GO_BP	Chromatin Organization (GO:0006325)	31	0.8675	0.75	0.5063	0.9199	0.7718	0.5063	0.9113	0.764	0.5063
GO_BP	Gene Expression (GO:0010467)	52	0.7769	0.7134	0.3133	0.8221	0.7462	0.3133	0.8018	0.7276	0.3133
GO_BP	Intracellular Protein Transport (GO:0006886)	44	0.6296	0.3592	0.3827	0.6506	0.3718	0.3827	0.6107	0.3158	0.3827
GO_BP	mRNA Processing (GO:0006397)	31	0.8825	0.6518	0.1222	0.8948	0.6979	0.1222	0.8863	0.6979	0.1222
GO_BP	Macromolecule Biosynthetic Process (GO:0009059)	36	0.7008	0.7173	0.4934	0.7543	0.7653	0.4934	0.7393	0.7501	0.4934
GO_BP	Modification-Dependent Protein Catabolic Process (GO:0019941)	47	0.8003	0.5588	0.3121	0.7965	0.5216	0.3121	0.7732	0.4924	0.3121
GO_BP	Negative Regulation Of DNA-templated Transcription (GO:0045892)	112	0.8281	0.5621	0.3275	0.8216	0.557	0.3275	0.8012	0.5247	0.3275
GO_BP	Negative Regulation Of Apoptotic Process (GO:0043066)	67	0.6427	0.5943	0.5268	0.6538	0.6013	0.5268	0.6149	0.5934	0.5268
GO_BP	Negative Regulation Of Cell Population Proliferation (GO:0008285)	49	0.6351	0.6898	0.5545	0.6934	0.7075	0.5545	0.6589	0.7042	0.5545
GO_BP	Negative Regulation Of Cellular Process (GO:0048523)	66	0.7781	0.7034	0.4795	0.8018	0.704	0.4795	0.7792	0.703	0.4795
GO_BP	Negative Regulation Of Gene Expression (GO:0010629)	43	0.5168	0.473	0.4596	0.5272	0.4908	0.4596	0.4744	0.4279	0.4596
GO_BP	Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	36	0.684	0.671	0.4069	0.6939	0.6958	0.4069	0.6607	0.6712	0.4069
GO_BP	Negative Regulation Of Multicellular Organismal Process (GO:0051241)	36	0.741	0.4211	0.248	0.7142	0.414	0.248	0.6815	0.3717	0.248
GO_BP	Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	52	0.7818	0.4433	0.2371	0.805	0.4203	0.2371	0.7827	0.3802	0.2371
GO_BP	Negative Regulation Of Programmed Cell Death (GO:0043069)	58	0.7801	0.6656	0.4988	0.797	0.6614	0.4988	0.7738	0.6326	0.4988
GO_BP	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	85	0.8096	0.6169	0.3666	0.8018	0.5666	0.3666	0.7792	0.5443	0.3666
GO_BP	Nervous System Development (GO:0007399)	36	0.9253	0.6822	0.2993	0.8814	0.6741	0.2993	0.8679	0.6678	0.2993
GO_BP	Nitrogen Compound Transport (GO:0071705)	30	0.706	0.5502	0.3487	0.6469	0.4361	0.3487	0.6065	0.426	0.3487
GO_BP	Organelle Assembly (GO:0070925)	41	0.6678	0.6059	0.416	0.7041	0.6563	0.416	0.6702	0.5848	0.416
GO_BP	Organelle Organization (GO:0006996)	43	0.6918	0.6849	0.58	0.6768	0.6634	0.58	0.6399	0.6331	0.58
GO_BP	Peptide Biosynthetic Process (GO:0043043)	30	0.7219	0.8018	0.3641	0.7874	0.8252	0.3641	0.7827	0.8252	0.3641
GO_BP	Phosphorylation (GO:0016310)	56	0.726	0.545	0.2986	0.7222	0.5857	0.2986	0.6905	0.4832	0.2986
GO_BP	Positive Regulation Of DNA-templated Transcription (GO:0045893)	159	0.6808	0.5825	0.4547	0.7174	0.5973	0.4547	0.6851	0.5813	0.4547
GO_BP	Positive Regulation Of MAPK Cascade (GO:0043410)	37	0.5842	0.5502	0.5616	0.617	0.5715	0.5616	0.5732	0.5507	0.5616
GO_BP	Positive Regulation Of Apoptotic Process (GO:0043065)	35	0.9086	0.6558	0.3095	0.9327	0.6722	0.3095	0.925	0.6639	0.3095
GO_BP	Positive Regulation Of Cell Differentiation (GO:0045597)	41	0.822	0.6496	0.4202	0.773	0.6289	0.4202	0.75	0.6281	0.4202
GO_BP	Positive Regulation Of Cell Migration (GO:0030335)	37	0.7714	0.6867	0.4686	0.8114	0.7131	0.4686	0.7899	0.6774	0.4686
GO_BP	Positive Regulation Of Cell Population Proliferation (GO:0008284)	52	0.6808	0.6287	0.4586	0.7575	0.6562	0.4586	0.7298	0.6077	0.4586
GO_BP	Positive Regulation Of Cellular Process (GO:0048522)	60	0.7743	0.6849	0.4194	0.8429	0.7079	0.4194	0.825	0.6659	0.4194
GO_BP	Positive Regulation Of Developmental Process (GO:0051094)	31	0.6811	0.5589	0.3651	0.6982	0.5826	0.3651	0.6637	0.5086	0.3651
GO_BP	Positive Regulation Of Gene Expression (GO:0010628)	59	0.6143	0.6278	0.5271	0.6469	0.6456	0.5271	0.6119	0.6182	0.5271
GO_BP	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	61	0.6334	0.5837	0.4761	0.6816	0.6468	0.4761	0.6452	0.553	0.4761
GO_BP	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	42	0.592	0.6596	0.562	0.633	0.6711	0.562	0.5994	0.6688	0.562
GO_BP	Positive Regulation Of Multicellular Organismal Process (GO:0051240)	45	0.7561	0.7052	0.4914	0.7874	0.7384	0.4914	0.7631	0.6954	0.4914
GO_BP	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	77	0.5911	0.5739	0.4634	0.633	0.5992	0.4634	0.5923	0.5647	0.4634
GO_BP	Positive Regulation Of Phosphorylation (GO:0042327)	37	0.5177	0.5264	0.54	0.5593	0.5796	0.54	0.5173	0.5483	0.54
GO_BP	Positive Regulation Of Protein Modification Process (GO:0031401)	41	0.5269	0.3218	0.4196	0.5502	0.3264	0.4196	0.5	0.3135	0.4196
GO_BP	Positive Regulation Of Protein Phosphorylation (GO:0001934)	52	0.5573	0.5595	0.5192	0.602	0.602	0.5192	0.5577	0.5731	0.5192
GO_BP	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	120	0.8339	0.6418	0.3709	0.8381	0.6184	0.3709	0.8196	0.6139	0.3709
GO_BP	Proteasomal Protein Catabolic Process (GO:0010498)	49	0.8186	0.6073	0.3183	0.8056	0.5967	0.3183	0.7845	0.5685	0.3183
GO_BP	Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	66	0.8999	0.5868	-0.1053	0.9172	0.5747	-0.1053	0.9077	0.5	-0.1053
