collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
GO_BP	B Cell Activation (GO:0042113)	32	0.8513	0.7281	0.3653	0.8793	0.7513	0.3653	0.8702	0.7513	0.3653
GO_BP	BMP Signaling Pathway (GO:0030509)	31	0.8137	0.6732	0.3685	0.8077	0.6698	0.3685	0.7857	0.6379	0.3685
GO_BP	DNA Damage Response (GO:0006974)	232	0.7448	0.7031	0.4579	0.7863	0.7043	0.4579	0.7619	0.6738	0.4579
GO_BP	DNA Metabolic Process (GO:0006259)	174	0.7381	0.6826	0.3301	0.7799	0.7086	0.3301	0.7548	0.6667	0.3301
GO_BP	DNA Repair (GO:0006281)	171	0.8018	0.6301	0.2248	0.8312	0.6237	0.2248	0.8119	0.5989	0.2248
GO_BP	DNA Replication (GO:0006260)	43	0.6577	0.7569	0.4642	0.7393	0.7855	0.4642	0.7095	0.7977	0.4642
GO_BP	DNA-templated DNA Replication (GO:0006261)	47	0.6389	0.7657	0.5432	0.7142	0.8075	0.5432	0.6815	0.7987	0.5432
GO_BP	DNA-templated Transcription (GO:0006351)	128	0.774	0.6004	0.2997	0.8125	0.5707	0.2997	0.7911	0.5381	0.2997
GO_BP	DNA-templated Transcription Initiation (GO:0006352)	42	0.8741	0.6889	0.3143	0.8814	0.7006	0.3143	0.8679	0.6879	0.3143
GO_BP	ERAD Pathway (GO:0036503)	63	0.9039	0.4807	0.0776	0.9332	0.4601	0.0776	0.9256	0.4546	0.0776
GO_BP	ERBB Signaling Pathway (GO:0038127)	35	0.8617	0.7861	0.3631	0.8665	0.773	0.3631	0.853	0.773	0.3631
GO_BP	G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	40	0.8093	0.7572	0.5842	0.8312	0.7906	0.5842	0.8315	0.7906	0.5842
GO_BP	Golgi Organization (GO:0007030)	78	0.7425	0.5637	0.382	0.7179	0.5155	0.382	0.6857	0.4741	0.382
GO_BP	Golgi To Plasma Membrane Transport (GO:0006893)	34	0.888	0.7474	0.361	0.8948	0.7572	0.361	0.8827	0.7254	0.361
GO_BP	Golgi Vesicle Transport (GO:0048193)	133	0.8466	0.63	0.1983	0.8451	0.6275	0.1983	0.8274	0.6156	0.1983
GO_BP	MAPK Cascade (GO:0000165)	64	0.717	0.761	0.5795	0.7345	0.7457	0.5795	0.7101	0.7275	0.5795
GO_BP	NADH Dehydrogenase Complex Assembly (GO:0010257)	35	0.4884	0.5614	0.6236	0.4193	0.5299	0.6236	0.353	0.4603	0.6236
GO_BP	RNA Catabolic Process (GO:0006401)	36	0.6991	0.6644	0.4898	0.727	0.6903	0.4898	0.6958	0.6394	0.4898
GO_BP	RNA Export From Nucleus (GO:0006405)	41	0.7911	0.5552	0.1359	0.8232	0.5658	0.1359	0.803	0.5227	0.1359
GO_BP	RNA Metabolic Process (GO:0016070)	76	0.6377	0.5356	0.3702	0.6672	0.5431	0.3702	0.6292	0.5174	0.3702
GO_BP	RNA Methylation (GO:0001510)	38	0.5749	0.5576	0.4506	0.6116	0.5873	0.4506	0.5696	0.5595	0.4506
GO_BP	RNA Modification (GO:0009451)	31	0.6733	0.4583	0.2614	0.7185	0.4639	0.2614	0.6863	0.4377	0.2614
GO_BP	RNA Processing (GO:0006396)	133	0.7598	0.5418	0.2085	0.7692	0.5704	0.2085	0.7429	0.4633	0.2085
GO_BP	RNA Splicing (GO:0008380)	68	0.7821	0.5334	0.2127	0.7698	0.5269	0.2127	0.7435	0.4634	0.2127
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	111	0.7911	0.5719	0.1949	0.8237	0.6283	0.1949	0.8048	0.6283	0.1949
GO_BP	Ras Protein Signal Transduction (GO:0007265)	91	0.8053	0.7428	0.4106	0.8408	0.7806	0.4106	0.8226	0.7523	0.4106
GO_BP	Rho Protein Signal Transduction (GO:0007266)	33	0.8189	0.7875	0.4827	0.8381	0.7811	0.4827	0.8232	0.76	0.4827
GO_BP	T Cell Activation (GO:0042110)	31	0.7662	0.7008	0.3375	0.8056	0.7042	0.3375	0.7857	0.6792	0.3375
GO_BP	T Cell Receptor Signaling Pathway (GO:0050852)	41	0.8336	0.7493	0.4641	0.8355	0.7446	0.4641	0.8179	0.7425	0.4641
GO_BP	Wnt Signaling Pathway (GO:0016055)	46	0.8492	0.6201	0.1694	0.821	0.568	0.1694	0.8012	0.5475	0.1694
GO_BP	Actin Cytoskeleton Reorganization (GO:0031532)	40	0.7141	0.7652	0.5707	0.679	0.7625	0.5707	0.6423	0.7107	0.5707
GO_BP	Actin Filament Organization (GO:0007015)	87	0.7535	0.8141	0.5582	0.8082	0.8284	0.5582	0.7875	0.8284	0.5582
GO_BP	Actin Polymerization Or Depolymerization (GO:0008154)	30	0.818	0.7683	0.3886	0.8381	0.8229	0.3886	0.8196	0.8242	0.3886
GO_BP	Activation Of GTPase Activity (GO:0090630)	62	0.8492	0.6356	0.3268	0.8328	0.6535	0.3268	0.8137	0.6317	0.3268
GO_BP	Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919)	34	0.748	0.7602	0.545	0.7628	0.782	0.545	0.7357	0.782	0.545
GO_BP	Activation Of Protein Kinase Activity (GO:0032147)	42	0.719	0.61	0.368	0.7585	0.6715	0.368	0.731	0.6582	0.368
GO_BP	Actomyosin Structure Organization (GO:0031032)	35	0.7882	0.795	0.638	0.813	0.7918	0.638	0.8012	0.7981	0.638
GO_BP	Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)	35	0.8394	0.7178	0.433	0.8349	0.7426	0.433	0.8185	0.7317	0.433
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	32	0.3903	0.5979	0.7762	0.3429	0.5485	0.7762	0.275	0.4284	0.7762
GO_BP	Aerobic Respiration (GO:0009060)	40	0.4413	0.6524	0.7238	0.4033	0.5882	0.7238	0.3363	0.4804	0.7238
GO_BP	Anterograde Trans-Synaptic Signaling (GO:0098916)	30	0.6713	0.7134	0.4939	0.7238	0.7506	0.4939	0.6958	0.7176	0.4939
GO_BP	Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	51	0.8003	0.7547	0.4853	0.8013	0.7544	0.4853	0.7792	0.7321	0.4853
GO_BP	Apical Junction Assembly (GO:0043297)	30	0.8267	0.729	0.4933	0.8178	0.7247	0.4933	0.8304	0.7247	0.4933
GO_BP	Apoptotic Process (GO:0006915)	125	0.7442	0.726	0.5412	0.7724	0.7257	0.5412	0.7464	0.7065	0.5412
GO_BP	Autophagosome Assembly (GO:0000045)	45	0.7448	0.3833	0.1241	0.687	0.3009	0.1241	0.6512	0.2538	0.1241
GO_BP	Autophagosome Organization (GO:1905037)	41	0.7211	0.3612	0.1337	0.6656	0.2869	0.1337	0.6274	0.2297	0.1337
GO_BP	Autophagy Of Mitochondrion (GO:0000422)	33	0.6319	0.5676	0.4614	0.6325	0.5623	0.4614	0.597	0.5296	0.4614
