state	curve	n_case	n_ctrl	r	n_case_avail	n_ctrl_avail	n_max
cat_CKD12	both	1	1	0.1812	8	6	3
cat_CKD12	both	2	2	0.3134	8	6	3
cat_CKD12	both	3	3	0.4876	8	6	3
cat_CKD12	ctrl_only	1	1	0.1926	8	6	3
cat_CKD12	ctrl_only	1	2	0.155	8	6	3
cat_CKD12	ctrl_only	1	3	0.1351	8	6	3
cat_CKD34	both	1	1	0.6118	7	6	3
cat_CKD34	both	2	2	0.7565	7	6	3
cat_CKD34	both	3	3	0.8307	7	6	3
cat_CKD34	ctrl_only	1	1	0.6092	7	6	3
cat_CKD34	ctrl_only	1	2	0.6633	7	6	3
cat_CKD34	ctrl_only	1	3	0.6718	7	6	3
cat_med_CKD12	both	1	1	0.5476	7	6	3
cat_med_CKD12	both	2	2	0.7344	7	6	3
cat_med_CKD12	both	3	3	0.8349	7	6	3
cat_med_CKD12	ctrl_only	1	1	0.542	7	6	3
cat_med_CKD12	ctrl_only	1	2	0.6137	7	6	3
cat_med_CKD12	ctrl_only	1	3	0.6641	7	6	3
cat_med_CKD34	both	1	1	0.3938	5	6	2
cat_med_CKD34	both	2	2	0.5306	5	6	2
cat_med_CKD34	ctrl_only	1	1	0.3928	5	6	2
cat_med_CKD34	ctrl_only	1	2	0.389	5	6	2
cat_med_CKD34	ctrl_only	1	3	0.354	5	6	2
mouse_5D	both	1	1	0.867	3	3	1
mouse_5D	ctrl_only	1	1	0.867	3	3	1
mouse_2W	both	1	1	0.9815	3	3	1
mouse_2W	ctrl_only	1	1	0.9815	3	3	1
mouse_3W	both	1	1	0.7765	3	3	1
mouse_3W	ctrl_only	1	1	0.7694	3	3	1
IRI_2h	both	1	1	0.4888	3	6	1
IRI_2h	ctrl_only	1	1	0.4839	3	6	1
IRI_2h	ctrl_only	1	2	0.6222	3	6	1
IRI_2h	ctrl_only	1	3	0.6386	3	6	1
IRI_4h	both	1	1	0.5391	3	6	1
IRI_4h	ctrl_only	1	1	0.4997	3	6	1
IRI_4h	ctrl_only	1	2	0.7091	3	6	1
IRI_4h	ctrl_only	1	3	0.7403	3	6	1
IRI_24h	both	1	1	0.89	3	6	1
IRI_24h	ctrl_only	1	1	0.8844	3	6	1
IRI_24h	ctrl_only	1	2	0.9297	3	6	1
IRI_24h	ctrl_only	1	3	0.941	3	6	1
IRI_48h	both	1	1	0.8634	3	6	1
IRI_48h	ctrl_only	1	1	0.8637	3	6	1
IRI_48h	ctrl_only	1	2	0.8988	3	6	1
IRI_48h	ctrl_only	1	3	0.9097	3	6	1
IRI_72h	both	1	1	0.7485	3	6	1
IRI_72h	ctrl_only	1	1	0.7602	3	6	1
IRI_72h	ctrl_only	1	2	0.7841	3	6	1
IRI_72h	ctrl_only	1	3	0.8048	3	6	1
IRI_7d	both	1	1	0.8865	3	6	1
IRI_7d	ctrl_only	1	1	0.8878	3	6	1
IRI_7d	ctrl_only	1	2	0.937	3	6	1
IRI_7d	ctrl_only	1	3	0.9492	3	6	1
IRI_14d	both	1	1	0.8128	3	6	1
IRI_14d	ctrl_only	1	1	0.8128	3	6	1
IRI_14d	ctrl_only	1	2	0.8441	3	6	1
IRI_14d	ctrl_only	1	3	0.8563	3	6	1
IRI_28d	both	1	1	0.7815	3	6	1
IRI_28d	ctrl_only	1	1	0.7824	3	6	1
IRI_28d	ctrl_only	1	2	0.8438	3	6	1
IRI_28d	ctrl_only	1	3	0.8555	3	6	1
IRI_12mo	both	1	1	0.7642	3	3	1
IRI_12mo	ctrl_only	1	1	0.7642	3	3	1
