state	species	n_case	n_ctrl	half_case	half_ctrl	frac_r_half_nonpositive	r_half_median	reliability_SB_median	reliability_SB_lo95	reliability_SB_hi95	n_splits
cat_CKD12	cat	8	6	4	3	0.046	0.5677	0.7243	0.0	0.872	500
cat_CKD34	cat	7	6	3	3	0.0	0.8407	0.9135	0.7968	0.9531	500
cat_med_CKD12	cat	7	6	3	3	0.0	0.8509	0.9194	0.7021	0.9622	500
cat_med_CKD34	cat	5	6	2	3	0.02	0.6157	0.7621	0.0721	0.9081	500
mouse_5D	mouse	3	3	1	1	0.0	0.9003	0.9475	0.9008	0.9766	500
mouse_2W	mouse	3	3	1	1	0.0	0.9857	0.9928	0.9825	0.9952	500
mouse_3W	mouse	3	3	1	1	0.0	0.9079	0.9517	0.8365	0.9749	500
IRI_2h	mouse	3	6	1	3	0.0	0.6773	0.8076	0.6104	0.9	500
IRI_4h	mouse	3	6	1	3	0.0	0.7771	0.8745	0.6529	0.9274	500
IRI_24h	mouse	3	6	1	3	0.0	0.9474	0.973	0.9288	0.9856	500
IRI_48h	mouse	3	6	1	3	0.0	0.9284	0.9629	0.9153	0.9869	500
IRI_72h	mouse	3	6	1	3	0.0	0.8136	0.8972	0.8123	0.9629	500
IRI_7d	mouse	3	6	1	3	0.0	0.9529	0.9759	0.9301	0.987	500
IRI_14d	mouse	3	6	1	3	0.0	0.8919	0.9429	0.885	0.9731	500
IRI_28d	mouse	3	6	1	3	0.0	0.8917	0.9428	0.7677	0.9707	500
IRI_12mo	mouse	3	3	1	1	0.0	0.814	0.8974	0.8552	0.936	500
