a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass	ceiling_median	ceiling_lo95	ceiling_hi95	cos_corrected	cos_corrected_lo95	cos_corrected_hi95	cos_exceeds_ceiling
cat_CKD12	cat_CKD34	0.9009	0.8862	within_dataset	cat	cat	True	same_compartment_diff_stage	0.8051	0.0	0.8857	1.1169	1.0167	2.3178	True
cat_CKD12	cat_med_CKD12	0.7443	0.8186	within_dataset	cat	cat	False	same_stage_diff_compartment	0.7992	0.0	0.8896	0.9281	0.8362	2.0633	False
cat_CKD12	cat_med_CKD34	0.7784	0.7945	within_dataset	cat	cat	False	diff_compartment_diff_stage	0.7101	0.0	0.8437	1.0878	0.9219	2.7337	True
cat_CKD12	mouse_5D	0.2477	0.3406	cross_species	cat	podtreck	False		0.8267	0.0	0.9083	0.2989	0.2726	0.6061	False
cat_CKD12	mouse_2W	0.4137	0.5465	cross_species	cat	podtreck	False		0.8491	0.0	0.9267	0.4852	0.4463	0.996	False
cat_CKD12	mouse_3W	0.3876	0.5285	cross_species	cat	podtreck	False		0.8194	0.0	0.908	0.4717	0.4268	0.9853	False
cat_CKD12	IRI_2h	0.2707	0.2896	cross_species	cat	iri	False		0.7552	0.0	0.8569	0.3564	0.3152	0.7416	False
cat_CKD12	IRI_4h	0.2827	0.324	cross_species	cat	iri	False		0.7897	0.0	0.876	0.3555	0.3226	0.7264	False
cat_CKD12	IRI_24h	0.3922	0.4896	cross_species	cat	iri	False		0.838	0.0	0.9146	0.466	0.4287	0.9641	False
cat_CKD12	IRI_48h	0.45	0.5161	cross_species	cat	iri	False		0.8376	0.0	0.9142	0.536	0.4922	1.0871	False
cat_CKD12	IRI_72h	0.4718	0.511	cross_species	cat	iri	False		0.805	0.0	0.8987	0.5837	0.5249	1.2036	False
cat_CKD12	IRI_7d	0.4839	0.5778	cross_species	cat	iri	False		0.8404	0.0	0.9191	0.5728	0.5258	1.1774	False
cat_CKD12	IRI_14d	0.4854	0.5165	cross_species	cat	iri	False		0.8289	0.0	0.9096	0.5845	0.5333	1.1973	False
cat_CKD12	IRI_28d	0.4413	0.4924	cross_species	cat	iri	False		0.8235	0.0	0.9073	0.5337	0.4862	1.1143	False
cat_CKD12	IRI_12mo	0.5049	0.558	cross_species	cat	iri	False		0.8099	0.0	0.8878	0.6215	0.5687	1.3005	False
cat_CKD34	cat_med_CKD12	0.7756	0.8197	within_dataset	cat	cat	False	diff_compartment_diff_stage	0.8996	0.7635	0.9356	0.8622	0.829	1.0159	False
cat_CKD34	cat_med_CKD34	0.8427	0.779	within_dataset	cat	cat	False	same_stage_diff_compartment	0.8093	0.3539	0.9036	1.0405	0.932	1.8282	True
cat_CKD34	mouse_5D	0.3258	0.4321	cross_species	cat	podtreck	False		0.92	0.8599	0.9526	0.3541	0.342	0.3789	False
cat_CKD34	mouse_2W	0.4489	0.6214	cross_species	cat	podtreck	False		0.9463	0.8785	0.9689	0.4744	0.4633	0.511	False
cat_CKD34	mouse_3W	0.4302	0.5886	cross_species	cat	podtreck	False		0.9184	0.8386	0.9518	0.4684	0.452	0.513	False
cat_CKD34	IRI_2h	0.2098	0.1994	cross_species	cat	iri	False		0.8498	0.7331	0.9092	0.2469	0.2307	0.2861	False
cat_CKD34	IRI_4h	0.2988	0.3412	cross_species	cat	iri	False		0.8895	0.7707	0.9225	0.3359	0.3239	0.3877	False
cat_CKD34	IRI_24h	0.4651	0.5565	cross_species	cat	iri	False		0.9338	0.8716	0.9605	0.4981	0.4842	0.5336	False
cat_CKD34	IRI_48h	0.4974	0.5596	cross_species	cat	iri	False		0.9294	0.8725	0.9574	0.5352	0.5195	0.5701	False
cat_CKD34	IRI_72h	0.5344	0.5766	cross_species	cat	iri	False		0.8978	0.8336	0.9459	0.5953	0.565	0.6411	False
cat_CKD34	IRI_7d	0.4933	0.5878	cross_species	cat	iri	False		0.9373	0.8709	0.9605	0.5264	0.5136	0.5665	False
cat_CKD34	IRI_14d	0.4657	0.5011	cross_species	cat	iri	False		0.9227	0.8565	0.9523	0.5047	0.489	0.5437	False
cat_CKD34	IRI_28d	0.4655	0.5703	cross_species	cat	iri	False		0.922	0.8408	0.9517	0.5048	0.4891	0.5536	False
cat_CKD34	IRI_12mo	0.4506	0.4843	cross_species	cat	iri	False		0.9032	0.8421	0.9356	0.4988	0.4816	0.535	False
cat_med_CKD12	cat_med_CKD34	0.8106	0.7468	within_dataset	cat	cat	True	same_compartment_diff_stage	0.8077	0.3515	0.9047	0.9999	0.8959	1.8318	True
cat_med_CKD12	mouse_5D	0.1519	0.3852	cross_species	cat	podtreck	False		0.9211	0.7899	0.9564	0.1649	0.1588	0.1923	False
cat_med_CKD12	mouse_2W	0.3297	0.6122	cross_species	cat	podtreck	False		0.9479	0.8086	0.974	0.3478	0.3385	0.4078	False
cat_med_CKD12	mouse_3W	0.3364	0.5916	cross_species	cat	podtreck	False		0.9133	0.7842	0.9567	0.3684	0.3517	0.429	False
cat_med_CKD12	IRI_2h	0.2263	0.2588	cross_species	cat	iri	False		0.8513	0.7036	0.9189	0.2658	0.2463	0.3216	False
cat_med_CKD12	IRI_4h	0.2638	0.3429	cross_species	cat	iri	False		0.8902	0.7389	0.9271	0.2963	0.2846	0.357	False
cat_med_CKD12	IRI_24h	0.3771	0.5185	cross_species	cat	iri	False		0.9346	0.7952	0.964	0.4034	0.3912	0.4741	False
cat_med_CKD12	IRI_48h	0.3841	0.5447	cross_species	cat	iri	False		0.9319	0.7926	0.9629	0.4121	0.3989	0.4846	False
cat_med_CKD12	IRI_72h	0.4024	0.5575	cross_species	cat	iri	False		0.8978	0.7577	0.951	0.4482	0.4231	0.531	False
cat_med_CKD12	IRI_7d	0.3609	0.6064	cross_species	cat	iri	False		0.9396	0.7981	0.9656	0.3841	0.3738	0.4522	False
cat_med_CKD12	IRI_14d	0.349	0.5362	cross_species	cat	iri	False		0.9226	0.7908	0.9523	0.3783	0.3665	0.4413	False
cat_med_CKD12	IRI_28d	0.3288	0.5785	cross_species	cat	iri	False		0.9222	0.7821	0.9563	0.3565	0.3438	0.4204	False
cat_med_CKD12	IRI_12mo	0.2796	0.519	cross_species	cat	iri	False		0.9029	0.7767	0.9417	0.3097	0.2969	0.36	False
cat_med_CKD34	mouse_5D	0.284	0.3785	cross_species	cat	podtreck	False		0.8327	0.3634	0.9217	0.3406	0.3081	0.5955	False
cat_med_CKD34	mouse_2W	0.3904	0.5017	cross_species	cat	podtreck	False		0.8578	0.3709	0.9457	0.4547	0.4128	0.8095	False
cat_med_CKD34	mouse_3W	0.4162	0.5374	cross_species	cat	podtreck	False		0.827	0.3579	0.9217	0.5027	0.4515	0.8771	False
cat_med_CKD34	IRI_2h	0.2326	0.282	cross_species	cat	iri	False		0.7625	0.3316	0.8665	0.3046	0.2685	0.5557	False
cat_med_CKD34	IRI_4h	0.2535	0.3056	cross_species	cat	iri	False		0.7955	0.3453	0.8921	0.3178	0.2841	0.559	False
cat_med_CKD34	IRI_24h	0.4297	0.4682	cross_species	cat	iri	False		0.8476	0.3673	0.9295	0.5066	0.4623	0.8966	False
cat_med_CKD34	IRI_48h	0.4756	0.5472	cross_species	cat	iri	False		0.8444	0.3648	0.9251	0.5625	0.514	0.9949	False
cat_med_CKD34	IRI_72h	0.4824	0.5238	cross_species	cat	iri	False		0.8167	0.3518	0.9099	0.5901	0.5301	1.0174	False
cat_med_CKD34	IRI_7d	0.4499	0.5862	cross_species	cat	iri	False		0.85	0.3664	0.9346	0.5287	0.4812	0.9375	False
cat_med_CKD34	IRI_14d	0.4058	0.4922	cross_species	cat	iri	False		0.8351	0.3643	0.9207	0.4847	0.4406	0.8631	False
cat_med_CKD34	IRI_28d	0.3334	0.4202	cross_species	cat	iri	False		0.8332	0.3578	0.9196	0.3992	0.3625	0.6986	False
cat_med_CKD34	IRI_12mo	0.3966	0.6008	cross_species	cat	iri	False		0.8201	0.3585	0.905	0.4833	0.4382	0.8551	False
mouse_5D	mouse_2W	0.7709	0.7031	within_dataset	podtreck	podtreck	True		0.9691	0.9389	0.9855	0.7955	0.7822	0.8211	False
mouse_5D	mouse_3W	0.7861	0.7131	within_dataset	podtreck	podtreck	True		0.9366	0.8759	0.9735	0.8394	0.8075	0.8975	False
mouse_5D	IRI_2h	-0.0366	-0.0033	same_species_diff_dataset	podtreck	iri	False		0.8732	0.7435	0.931	-0.042	-0.0493	-0.0393	False
mouse_5D	IRI_4h	0.3359	0.3705	same_species_diff_dataset	podtreck	iri	False		0.9092	0.7969	0.9431	0.3694	0.3562	0.4215	False
mouse_5D	IRI_24h	0.7232	0.6612	same_species_diff_dataset	podtreck	iri	False		0.9555	0.9209	0.9773	0.7568	0.7399	0.7853	False
mouse_5D	IRI_48h	0.705	0.6392	same_species_diff_dataset	podtreck	iri	False		0.9518	0.9125	0.9761	0.7406	0.7222	0.7725	False
mouse_5D	IRI_72h	0.7323	0.6885	same_species_diff_dataset	podtreck	iri	False		0.9205	0.872	0.9645	0.7956	0.7593	0.8398	False
mouse_5D	IRI_7d	0.6803	0.5983	same_species_diff_dataset	podtreck	iri	False		0.961	0.9253	0.9785	0.7079	0.6953	0.7352	False
mouse_5D	IRI_14d	0.4568	0.345	same_species_diff_dataset	podtreck	iri	False		0.9441	0.9042	0.9678	0.4839	0.4721	0.5052	False
mouse_5D	IRI_28d	0.6035	0.5416	same_species_diff_dataset	podtreck	iri	False		0.9441	0.8712	0.9722	0.6392	0.6207	0.6927	False
mouse_5D	IRI_12mo	0.5428	0.4327	same_species_diff_dataset	podtreck	iri	False		0.9223	0.8832	0.9563	0.5885	0.5676	0.6146	False
mouse_2W	mouse_3W	0.9567	0.931	within_dataset	podtreck	podtreck	True		0.9684	0.9123	0.9837	0.9879	0.9725	1.0486	False
mouse_2W	IRI_2h	0.1024	0.2058	same_species_diff_dataset	podtreck	iri	False		0.8951	0.7831	0.9455	0.1144	0.1083	0.1307	False
mouse_2W	IRI_4h	0.3763	0.4304	same_species_diff_dataset	podtreck	iri	False		0.9337	0.8148	0.9597	0.403	0.3921	0.4618	False
mouse_2W	IRI_24h	0.8633	0.8191	same_species_diff_dataset	podtreck	iri	False		0.9796	0.956	0.9889	0.8812	0.873	0.903	False
mouse_2W	IRI_48h	0.8358	0.7792	same_species_diff_dataset	podtreck	iri	False		0.977	0.9512	0.9894	0.8555	0.8448	0.8788	False
mouse_2W	IRI_72h	0.8574	0.8538	same_species_diff_dataset	podtreck	iri	False		0.9421	0.897	0.9774	0.91	0.8772	0.9558	False
mouse_2W	IRI_7d	0.8855	0.8525	same_species_diff_dataset	podtreck	iri	False		0.9836	0.9586	0.99	0.9003	0.8945	0.9237	False
mouse_2W	IRI_14d	0.7145	0.6877	same_species_diff_dataset	podtreck	iri	False		0.9689	0.937	0.983	0.7375	0.7269	0.7626	False
mouse_2W	IRI_28d	0.8494	0.8633	same_species_diff_dataset	podtreck	iri	False		0.9682	0.8879	0.9836	0.8773	0.8635	0.9566	False
mouse_2W	IRI_12mo	0.7068	0.6371	same_species_diff_dataset	podtreck	iri	False		0.948	0.9211	0.9672	0.7455	0.7308	0.7673	False
mouse_3W	IRI_2h	0.0835	0.1707	same_species_diff_dataset	podtreck	iri	False		0.8625	0.7436	0.9319	0.0968	0.0896	0.1123	False
mouse_3W	IRI_4h	0.3619	0.4156	same_species_diff_dataset	podtreck	iri	False		0.9052	0.7754	0.9418	0.3998	0.3843	0.4667	False
mouse_3W	IRI_24h	0.8399	0.7753	same_species_diff_dataset	podtreck	iri	False		0.9567	0.8976	0.9779	0.8779	0.8589	0.9358	False
