state	curve	n_case	n_ctrl	r	n_case_avail	n_ctrl_avail	n_max
cat_CKD12	both	1	1	0.1849	8	6	3
cat_CKD12	both	2	2	0.3325	8	6	3
cat_CKD12	both	3	3	0.4941	8	6	3
cat_CKD12	ctrl_only	1	1	0.1847	8	6	3
cat_CKD12	ctrl_only	1	2	0.1773	8	6	3
cat_CKD12	ctrl_only	1	3	0.1554	8	6	3
cat_CKD34	both	1	1	0.5883	7	6	3
cat_CKD34	both	2	2	0.7321	7	6	3
cat_CKD34	both	3	3	0.8135	7	6	3
cat_CKD34	ctrl_only	1	1	0.5809	7	6	3
cat_CKD34	ctrl_only	1	2	0.6401	7	6	3
cat_CKD34	ctrl_only	1	3	0.6509	7	6	3
cat_med_CKD12	both	1	1	0.498	7	6	3
cat_med_CKD12	both	2	2	0.6972	7	6	3
cat_med_CKD12	both	3	3	0.8073	7	6	3
cat_med_CKD12	ctrl_only	1	1	0.5013	7	6	3
cat_med_CKD12	ctrl_only	1	2	0.5701	7	6	3
cat_med_CKD12	ctrl_only	1	3	0.6277	7	6	3
cat_med_CKD34	both	1	1	0.3658	5	6	2
cat_med_CKD34	both	2	2	0.5083	5	6	2
cat_med_CKD34	ctrl_only	1	1	0.371	5	6	2
cat_med_CKD34	ctrl_only	1	2	0.3793	5	6	2
cat_med_CKD34	ctrl_only	1	3	0.3569	5	6	2
mouse_5D	both	1	1	0.8678	3	3	1
mouse_5D	ctrl_only	1	1	0.8688	3	3	1
mouse_2W	both	1	1	0.981	3	3	1
mouse_2W	ctrl_only	1	1	0.981	3	3	1
mouse_3W	both	1	1	0.7859	3	3	1
mouse_3W	ctrl_only	1	1	0.7824	3	3	1
IRI_2h	both	1	1	0.4978	3	6	1
IRI_2h	ctrl_only	1	1	0.4926	3	6	1
IRI_2h	ctrl_only	1	2	0.6273	3	6	1
IRI_2h	ctrl_only	1	3	0.6496	3	6	1
IRI_4h	both	1	1	0.5371	3	6	1
IRI_4h	ctrl_only	1	1	0.5202	3	6	1
IRI_4h	ctrl_only	1	2	0.7168	3	6	1
IRI_4h	ctrl_only	1	3	0.7516	3	6	1
IRI_24h	both	1	1	0.8745	3	6	1
IRI_24h	ctrl_only	1	1	0.8728	3	6	1
IRI_24h	ctrl_only	1	2	0.9225	3	6	1
IRI_24h	ctrl_only	1	3	0.9325	3	6	1
IRI_48h	both	1	1	0.8594	3	6	1
IRI_48h	ctrl_only	1	1	0.86	3	6	1
IRI_48h	ctrl_only	1	2	0.8967	3	6	1
IRI_48h	ctrl_only	1	3	0.9079	3	6	1
IRI_72h	both	1	1	0.7451	3	6	1
IRI_72h	ctrl_only	1	1	0.7509	3	6	1
IRI_72h	ctrl_only	1	2	0.7793	3	6	1
IRI_72h	ctrl_only	1	3	0.8066	3	6	1
IRI_7d	both	1	1	0.8878	3	6	1
IRI_7d	ctrl_only	1	1	0.8883	3	6	1
IRI_7d	ctrl_only	1	2	0.9379	3	6	1
IRI_7d	ctrl_only	1	3	0.9469	3	6	1
IRI_14d	both	1	1	0.8232	3	6	1
IRI_14d	ctrl_only	1	1	0.8235	3	6	1
IRI_14d	ctrl_only	1	2	0.8548	3	6	1
IRI_14d	ctrl_only	1	3	0.864	3	6	1
IRI_28d	both	1	1	0.8023	3	6	1
IRI_28d	ctrl_only	1	1	0.8029	3	6	1
IRI_28d	ctrl_only	1	2	0.8586	3	6	1
IRI_28d	ctrl_only	1	3	0.8705	3	6	1
IRI_12mo	both	1	1	0.776	3	3	1
IRI_12mo	ctrl_only	1	1	0.776	3	3	1
