state	species	n_case	n_ctrl	half_case	half_ctrl	frac_r_half_nonpositive	r_half_median	reliability_SB_median	reliability_SB_lo95	reliability_SB_hi95	n_splits
cat_CKD12	cat	8	6	4	3	0.032	0.573	0.7285	0.0	0.8662	500
cat_CKD34	cat	7	6	3	3	0.0	0.825	0.9041	0.7866	0.9475	500
cat_med_CKD12	cat	7	6	3	3	0.0	0.8271	0.9054	0.6575	0.9545	500
cat_med_CKD34	cat	5	6	2	3	0.016	0.5896	0.7418	0.1385	0.9045	500
mouse_5D	mouse	3	3	1	1	0.0	0.9035	0.9493	0.8931	0.9767	500
mouse_2W	mouse	3	3	1	1	0.0	0.9846	0.9922	0.9794	0.9948	500
mouse_3W	mouse	3	3	1	1	0.0	0.8984	0.9465	0.8419	0.9732	500
IRI_2h	mouse	3	6	1	3	0.0	0.6833	0.8119	0.6189	0.905	500
IRI_4h	mouse	3	6	1	3	0.0	0.7858	0.88	0.6687	0.9293	500
IRI_24h	mouse	3	6	1	3	0.0	0.9394	0.9687	0.9225	0.9848	500
IRI_48h	mouse	3	6	1	3	0.0	0.9286	0.963	0.9129	0.9865	500
IRI_72h	mouse	3	6	1	3	0.0	0.8111	0.8957	0.8089	0.9623	500
IRI_7d	mouse	3	6	1	3	0.0	0.9549	0.9769	0.9308	0.9877	500
IRI_14d	mouse	3	6	1	3	0.0	0.9004	0.9476	0.8919	0.9762	500
IRI_28d	mouse	3	6	1	3	0.0	0.9044	0.9498	0.7927	0.9737	500
IRI_12mo	mouse	3	3	1	1	0.0	0.8257	0.9045	0.8598	0.9406	500
