a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass	ceiling_median	ceiling_lo95	ceiling_hi95	cos_corrected	cos_corrected_lo95	cos_corrected_hi95	cos_exceeds_ceiling	ceiling_raw	ceiling_SB	ceiling_sat	shared_cohort
cat_CKD12	cat_CKD34	0.8805	0.8422	within_dataset	cat	cat	True	same_compartment_diff_stage	0.7904	0.0	0.88	1.1072	1.0005	1.885	True	0.6724	0.8012	0.7545	True
cat_CKD12	cat_med_CKD12	0.7113	0.7429	within_dataset	cat	cat	False	same_stage_diff_compartment	0.7926	0.0	0.8852	0.8925	0.8024	1.5797	False	0.6766	0.8039	0.7542	True
cat_CKD12	cat_med_CKD34	0.7661	0.742	within_dataset	cat	cat	False	diff_compartment_diff_stage	0.6782	0.0	0.8275	1.1184	0.9255	2.4773	True	0.5521	0.7114	0.6716	True
cat_CKD12	mouse_5D	0.1656	0.2361	cross_species	cat	podtreck	False		0.8292	0.0	0.9007	0.1993	0.1838	0.3433	False	0.7123	0.8265		False
cat_CKD12	mouse_2W	0.2725	0.3841	cross_species	cat	podtreck	False		0.8445	0.0	0.9196	0.3201	0.2962	0.5509	False	0.7432	0.8448		False
cat_CKD12	mouse_3W	0.2711	0.3669	cross_species	cat	podtreck	False		0.7963	0.0	0.8996	0.3386	0.3013	0.5837	False	0.7209	0.8318		False
cat_CKD12	IRI_2h	0.1927	0.231	cross_species	cat	iri	False		0.7635	0.0	0.8636	0.251	0.223	0.4453	False	0.637	0.7769		False
cat_CKD12	IRI_4h	0.2332	0.2374	cross_species	cat	iri	False		0.7941	0.0	0.8798	0.2927	0.2647	0.4964	False	0.6771	0.8042		False
cat_CKD12	IRI_24h	0.3384	0.383	cross_species	cat	iri	False		0.8246	0.0	0.9071	0.4094	0.373	0.7057	False	0.7238	0.8334		False
cat_CKD12	IRI_48h	0.4252	0.3977	cross_species	cat	iri	False		0.8137	0.0	0.8998	0.5216	0.4724	0.9009	False	0.6973	0.8172		False
cat_CKD12	IRI_72h	0.3866	0.3631	cross_species	cat	iri	False		0.7656	0.0	0.8803	0.5041	0.4387	0.8548	False	0.6274	0.77		False
cat_CKD12	IRI_7d	0.4018	0.4565	cross_species	cat	iri	False		0.8188	0.0	0.903	0.4894	0.4447	0.842	False	0.7139	0.8275		False
cat_CKD12	IRI_14d	0.3207	0.3646	cross_species	cat	iri	False		0.8026	0.0	0.8913	0.3981	0.3597	0.6834	False	0.692	0.8138		False
cat_CKD12	IRI_28d	0.3095	0.3302	cross_species	cat	iri	False		0.767	0.0	0.872	0.401	0.3547	0.7078	False	0.6476	0.7844		False
cat_CKD12	IRI_12mo	0.4484	0.4666	cross_species	cat	iri	False		0.7715	0.0	0.8683	0.5779	0.5163	1.0024	False	0.6468	0.7838		False
cat_CKD34	cat_med_CKD12	0.7071	0.728	within_dataset	cat	cat	False	diff_compartment_diff_stage	0.8881	0.7695	0.9252	0.7962	0.7643	0.9189	False	0.8069	0.8932	0.8827	True
cat_CKD34	cat_med_CKD34	0.8131	0.7135	within_dataset	cat	cat	False	same_stage_diff_compartment	0.7831	0.3036	0.8938	1.0364	0.9095	2.0437	True	0.6585	0.7904	0.7861	True
cat_CKD34	mouse_5D	0.2804	0.3161	cross_species	cat	podtreck	False		0.9187	0.8603	0.9443	0.3052	0.2969	0.3259	False	0.8495	0.9183		False
cat_CKD34	mouse_2W	0.3523	0.4507	cross_species	cat	podtreck	False		0.9385	0.8777	0.9627	0.3754	0.366	0.4014	False	0.8864	0.9386		False
cat_CKD34	mouse_3W	0.3213	0.3939	cross_species	cat	podtreck	False		0.9087	0.7956	0.946	0.3536	0.3396	0.4038	False	0.8598	0.9241		False
cat_CKD34	IRI_2h	0.148	0.1653	cross_species	cat	iri	False		0.856	0.7106	0.9094	0.1729	0.1627	0.2083	False	0.7596	0.8631		False
cat_CKD34	IRI_4h	0.2588	0.2737	cross_species	cat	iri	False		0.8915	0.7376	0.93	0.2902	0.2782	0.3508	False	0.8075	0.8935		False
cat_CKD34	IRI_24h	0.3905	0.414	cross_species	cat	iri	False		0.9226	0.8406	0.9516	0.4232	0.4103	0.4645	False	0.8632	0.926		False
cat_CKD34	IRI_48h	0.4485	0.3889	cross_species	cat	iri	False		0.9042	0.8284	0.9402	0.496	0.477	0.5414	False	0.8316	0.9079		False
cat_CKD34	IRI_72h	0.4532	0.4142	cross_species	cat	iri	False		0.8517	0.7416	0.9224	0.5321	0.4914	0.6112	False	0.7483	0.8555		False
cat_CKD34	IRI_7d	0.4121	0.4214	cross_species	cat	iri	False		0.9151	0.8298	0.9445	0.4503	0.4363	0.4967	False	0.8514	0.9193		False
cat_CKD34	IRI_14d	0.3076	0.328	cross_species	cat	iri	False		0.8966	0.8048	0.9328	0.3431	0.3298	0.3822	False	0.8253	0.9042		False
cat_CKD34	IRI_28d	0.3555	0.3867	cross_species	cat	iri	False		0.8638	0.6039	0.9164	0.4116	0.388	0.5887	False	0.7724	0.8715		False
cat_CKD34	IRI_12mo	0.384	0.3481	cross_species	cat	iri	False		0.864	0.788	0.9112	0.4445	0.4214	0.4873	False	0.7714	0.8708		False
cat_med_CKD12	cat_med_CKD34	0.7528	0.6771	within_dataset	cat	cat	True	same_compartment_diff_stage	0.7848	0.306	0.8935	0.9566	0.8425	1.9003	False	0.6626	0.7932	0.7857	True
cat_med_CKD12	mouse_5D	0.1739	0.269	cross_species	cat	podtreck	False		0.9211	0.7991	0.9486	0.1888	0.1833	0.2176	False	0.8549	0.9214		False
cat_med_CKD12	mouse_2W	0.3323	0.4487	cross_species	cat	podtreck	False		0.9418	0.817	0.9673	0.3528	0.3435	0.4067	False	0.892	0.9419		False
cat_med_CKD12	mouse_3W	0.3451	0.4321	cross_species	cat	podtreck	False		0.9052	0.7589	0.9487	0.3813	0.3638	0.4548	False	0.8652	0.9273		False
cat_med_CKD12	IRI_2h	0.1238	0.1894	cross_species	cat	iri	False		0.857	0.6946	0.9152	0.1445	0.1353	0.1783	False	0.7644	0.8661		False
cat_med_CKD12	IRI_4h	0.1914	0.2345	cross_species	cat	iri	False		0.8947	0.7322	0.9314	0.214	0.2055	0.2614	False	0.8125	0.8966		False
cat_med_CKD12	IRI_24h	0.3389	0.3919	cross_species	cat	iri	False		0.9259	0.7871	0.9557	0.366	0.3546	0.4306	False	0.8686	0.9292		False
cat_med_CKD12	IRI_48h	0.3757	0.3981	cross_species	cat	iri	False		0.9082	0.7625	0.9468	0.4137	0.3968	0.4928	False	0.8368	0.9111		False
cat_med_CKD12	IRI_72h	0.3539	0.4009	cross_species	cat	iri	False		0.8529	0.7279	0.9302	0.415	0.3805	0.4862	False	0.753	0.8585		False
cat_med_CKD12	IRI_7d	0.3287	0.445	cross_species	cat	iri	False		0.9189	0.7913	0.9479	0.3577	0.3468	0.4154	False	0.8567	0.9225		False
cat_med_CKD12	IRI_14d	0.2478	0.3708	cross_species	cat	iri	False		0.8994	0.7738	0.9341	0.2755	0.2652	0.3202	False	0.8304	0.9073		False
cat_med_CKD12	IRI_28d	0.2738	0.4001	cross_species	cat	iri	False		0.8638	0.6052	0.9221	0.317	0.2969	0.4524	False	0.7772	0.8745		False
cat_med_CKD12	IRI_12mo	0.2773	0.3855	cross_species	cat	iri	False		0.8638	0.7404	0.9163	0.321	0.3026	0.3745	False	0.7763	0.8739		False
cat_med_CKD34	mouse_5D	0.2506	0.2373	cross_species	cat	podtreck	False		0.819	0.3185	0.9137	0.3058	0.2742	0.6089	False	0.6976	0.8154		False
cat_med_CKD34	mouse_2W	0.3231	0.3588	cross_species	cat	podtreck	False		0.8339	0.3275	0.936	0.3864	0.3451	0.7669	False	0.7279	0.8335		False
cat_med_CKD34	mouse_3W	0.3488	0.386	cross_species	cat	podtreck	False		0.7819	0.304	0.9119	0.4445	0.3824	0.9012	False	0.706	0.8206		False
cat_med_CKD34	IRI_2h	0.2519	0.2892	cross_species	cat	iri	False		0.7507	0.2939	0.869	0.3348	0.2894	0.667	False	0.6238	0.7665		False
cat_med_CKD34	IRI_4h	0.2603	0.2504	cross_species	cat	iri	False		0.783	0.3027	0.8958	0.3312	0.2904	0.646	False	0.6631	0.7934		False
cat_med_CKD34	IRI_24h	0.3297	0.3134	cross_species	cat	iri	False		0.815	0.3203	0.9204	0.4033	0.3582	0.7943	False	0.7088	0.8223		False
cat_med_CKD34	IRI_48h	0.4493	0.4334	cross_species	cat	iri	False		0.803	0.3129	0.9046	0.5566	0.4965	1.111	False	0.6829	0.8062		False
cat_med_CKD34	IRI_72h	0.4244	0.3949	cross_species	cat	iri	False		0.7533	0.2885	0.8785	0.5622	0.483	1.16	False	0.6144	0.7597		False
cat_med_CKD34	IRI_7d	0.4352	0.4879	cross_species	cat	iri	False		0.8136	0.3108	0.9129	0.5337	0.4766	1.0589	False	0.6991	0.8164		False
cat_med_CKD34	IRI_14d	0.325	0.3587	cross_species	cat	iri	False		0.7898	0.3123	0.9009	0.4103	0.3607	0.799	False	0.6777	0.8029		False
cat_med_CKD34	IRI_28d	0.2412	0.2391	cross_species	cat	iri	False		0.7574	0.2955	0.8772	0.3176	0.2748	0.6466	False	0.6342	0.7739		False
cat_med_CKD34	IRI_12mo	0.425	0.5264	cross_species	cat	iri	False		0.7646	0.2973	0.8746	0.5548	0.486	1.0986	False	0.6334	0.7733		False
mouse_5D	mouse_2W	0.6324	0.6234	within_dataset	podtreck	podtreck	True		0.9681	0.9599	0.9798	0.6532	0.6454	0.6588	False	0.9391	0.9683		True
mouse_5D	mouse_3W	0.623	0.6036	within_dataset	podtreck	podtreck	True		0.948	0.8415	0.9654	0.6572	0.6453	0.7403	False	0.9109	0.9533		True
mouse_5D	IRI_2h	0.053	-0.0741	same_species_diff_dataset	podtreck	iri	False		0.8905	0.7463	0.9351	0.0595	0.0567	0.0711	False	0.8048	0.8904		False
mouse_5D	IRI_4h	0.326	0.281	same_species_diff_dataset	podtreck	iri	False		0.9221	0.762	0.9506	0.3535	0.3429	0.4278	False	0.8554	0.9218		False
mouse_5D	IRI_24h	0.4717	0.527	same_species_diff_dataset	podtreck	iri	False		0.954	0.8753	0.9709	0.4944	0.4858	0.5389	False	0.9144	0.9553		False
mouse_5D	IRI_48h	0.5319	0.5387	same_species_diff_dataset	podtreck	iri	False		0.9403	0.8645	0.9607	0.5656	0.5536	0.6152	False	0.881	0.9366		False
mouse_5D	IRI_72h	0.6554	0.6507	same_species_diff_dataset	podtreck	iri	False		0.8844	0.7633	0.9458	0.7411	0.6929	0.8586	False	0.7927	0.8826		False
mouse_5D	IRI_7d	0.4589	0.4408	same_species_diff_dataset	podtreck	iri	False		0.9475	0.8708	0.9639	0.4844	0.4761	0.527	False	0.9019	0.9484		False
mouse_5D	IRI_14d	0.2029	0.1855	same_species_diff_dataset	podtreck	iri	False		0.9307	0.8508	0.9525	0.218	0.213	0.2385	False	0.8743	0.9328		False
