state	curve	n_case	n_ctrl	r	n_case_avail	n_ctrl_avail	n_max
cat_CKD12	both	1	1	0.1663	8	6	3
cat_CKD12	both	2	2	0.3144	8	6	3
cat_CKD12	both	3	3	0.4756	8	6	3
cat_CKD12	ctrl_only	1	1	0.1833	8	6	3
cat_CKD12	ctrl_only	1	2	0.1571	8	6	3
cat_CKD12	ctrl_only	1	3	0.1531	8	6	3
cat_CKD34	both	1	1	0.5424	7	6	3
cat_CKD34	both	2	2	0.7052	7	6	3
cat_CKD34	both	3	3	0.7907	7	6	3
cat_CKD34	ctrl_only	1	1	0.5461	7	6	3
cat_CKD34	ctrl_only	1	2	0.6127	7	6	3
cat_CKD34	ctrl_only	1	3	0.6181	7	6	3
cat_med_CKD12	both	1	1	0.5162	7	6	3
cat_med_CKD12	both	2	2	0.6842	7	6	3
cat_med_CKD12	both	3	3	0.7895	7	6	3
cat_med_CKD12	ctrl_only	1	1	0.5033	7	6	3
cat_med_CKD12	ctrl_only	1	2	0.5519	7	6	3
cat_med_CKD12	ctrl_only	1	3	0.6048	7	6	3
cat_med_CKD34	both	1	1	0.3377	5	6	2
cat_med_CKD34	both	2	2	0.4824	5	6	2
cat_med_CKD34	ctrl_only	1	1	0.3396	5	6	2
cat_med_CKD34	ctrl_only	1	2	0.3315	5	6	2
cat_med_CKD34	ctrl_only	1	3	0.3184	5	6	2
mouse_5D	both	1	1	0.8736	3	3	1
mouse_5D	ctrl_only	1	1	0.8736	3	3	1
mouse_2W	both	1	1	0.9741	3	3	1
mouse_2W	ctrl_only	1	1	0.9741	3	3	1
mouse_3W	both	1	1	0.6969	3	3	1
mouse_3W	ctrl_only	1	1	0.6916	3	3	1
IRI_2h	both	1	1	0.4673	3	6	1
IRI_2h	ctrl_only	1	1	0.4781	3	6	1
IRI_2h	ctrl_only	1	2	0.6632	3	6	1
IRI_2h	ctrl_only	1	3	0.6577	3	6	1
IRI_4h	both	1	1	0.5356	3	6	1
IRI_4h	ctrl_only	1	1	0.4915	3	6	1
IRI_4h	ctrl_only	1	2	0.7751	3	6	1
IRI_4h	ctrl_only	1	3	0.7797	3	6	1
IRI_24h	both	1	1	0.7743	3	6	1
IRI_24h	ctrl_only	1	1	0.7697	3	6	1
IRI_24h	ctrl_only	1	2	0.912	3	6	1
IRI_24h	ctrl_only	1	3	0.9137	3	6	1
IRI_48h	both	1	1	0.6969	3	6	1
IRI_48h	ctrl_only	1	1	0.7059	3	6	1
IRI_48h	ctrl_only	1	2	0.8251	3	6	1
IRI_48h	ctrl_only	1	3	0.8246	3	6	1
IRI_72h	both	1	1	0.5958	3	6	1
IRI_72h	ctrl_only	1	1	0.5963	3	6	1
IRI_72h	ctrl_only	1	2	0.6392	3	6	1
IRI_72h	ctrl_only	1	3	0.6889	3	6	1
IRI_7d	both	1	1	0.7011	3	6	1
IRI_7d	ctrl_only	1	1	0.7044	3	6	1
IRI_7d	ctrl_only	1	2	0.8677	3	6	1
IRI_7d	ctrl_only	1	3	0.8885	3	6	1
IRI_14d	both	1	1	0.6889	3	6	1
IRI_14d	ctrl_only	1	1	0.7158	3	6	1
IRI_14d	ctrl_only	1	2	0.7667	3	6	1
IRI_14d	ctrl_only	1	3	0.7803	3	6	1
IRI_28d	both	1	1	0.4906	3	6	1
IRI_28d	ctrl_only	1	1	0.4906	3	6	1
IRI_28d	ctrl_only	1	2	0.6492	3	6	1
IRI_28d	ctrl_only	1	3	0.6717	3	6	1
IRI_12mo	both	1	1	0.6908	3	3	1
IRI_12mo	ctrl_only	1	1	0.6908	3	3	1
