state	species	n_case	n_ctrl	half_case	half_ctrl	frac_r_half_nonpositive	r_half_median	reliability_SB_median	reliability_SB_lo95	reliability_SB_hi95	n_splits
cat_CKD12	cat	8	6	4	3	0.036	0.5638	0.7211	0.0	0.854	500
cat_CKD34	cat	7	6	3	3	0.0	0.8019	0.8901	0.78	0.935	500
cat_med_CKD12	cat	7	6	3	3	0.0	0.812	0.8963	0.6751	0.9443	500
cat_med_CKD34	cat	5	6	2	3	0.016	0.5407	0.7019	0.1082	0.8827	500
mouse_5D	mouse	3	3	1	1	0.0	0.9	0.9473	0.9327	0.9681	500
mouse_2W	mouse	3	3	1	1	0.0	0.9798	0.9898	0.9862	0.9934	500
mouse_3W	mouse	3	3	1	1	0.0	0.9219	0.9594	0.7539	0.9638	500
IRI_2h	mouse	3	6	1	3	0.0	0.7196	0.837	0.5867	0.9173	500
IRI_4h	mouse	3	6	1	3	0.0	0.8131	0.8969	0.6144	0.9447	500
IRI_24h	mouse	3	6	1	3	0.0	0.9291	0.9633	0.8111	0.9771	500
IRI_48h	mouse	3	6	1	3	0.0	0.8624	0.9261	0.7957	0.9691	500
IRI_72h	mouse	3	6	1	3	0.0	0.6982	0.8223	0.6069	0.9342	500
IRI_7d	mouse	3	6	1	3	0.0	0.9039	0.9495	0.7966	0.9675	500
IRI_14d	mouse	3	6	1	3	0.0	0.8493	0.9185	0.7761	0.9531	500
IRI_28d	mouse	3	6	1	3	0.0	0.7439	0.8532	0.3996	0.9326	500
IRI_12mo	mouse	3	3	1	1	0.0	0.7421	0.852	0.734	0.8977	500
