a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass	ceiling_median	ceiling_lo95	ceiling_hi95	cos_corrected	cos_corrected_lo95	cos_corrected_hi95	cos_exceeds_ceiling	ceiling_raw	ceiling_SB	ceiling_sat	shared_cohort
cat_CKD12	cat_CKD34	0.876	0.8442	within_dataset	cat	cat	True	same_compartment_diff_stage	0.7945	0.0	0.8805	1.0976	0.9941	1.9889	True	0.6729	0.8013	0.7485	True
cat_CKD12	cat_med_CKD12	0.7226	0.7472	within_dataset	cat	cat	False	same_stage_diff_compartment	0.796	0.0	0.8865	0.9047	0.8149	1.6447	False	0.6756	0.803	0.7497	True
cat_CKD12	cat_med_CKD34	0.763	0.7562	within_dataset	cat	cat	False	diff_compartment_diff_stage	0.6811	0.0	0.8295	1.1085	0.9182	2.4696	True	0.5602	0.7181	0.6658	True
cat_CKD12	mouse_5D	0.1422	0.2177	cross_species	cat	podtreck	False		0.8276	0.0	0.9007	0.1715	0.1578	0.3073	False	0.7126	0.8265		False
cat_CKD12	mouse_2W	0.2591	0.3672	cross_species	cat	podtreck	False		0.8447	0.0	0.9197	0.3055	0.2815	0.5466	False	0.7428	0.8443		False
cat_CKD12	mouse_3W	0.2532	0.3653	cross_species	cat	podtreck	False		0.804	0.0	0.9011	0.3138	0.2809	0.5476	False	0.7201	0.831		False
cat_CKD12	IRI_2h	0.1899	0.219	cross_species	cat	iri	False		0.7517	0.0	0.8536	0.2515	0.2223	0.4556	False	0.6236	0.7672		False
cat_CKD12	IRI_4h	0.1977	0.2197	cross_species	cat	iri	False		0.7931	0.0	0.8764	0.2481	0.2255	0.4433	False	0.6769	0.8039		False
cat_CKD12	IRI_24h	0.2805	0.3644	cross_species	cat	iri	False		0.8272	0.0	0.9074	0.3377	0.309	0.6041	False	0.724	0.8333		False
cat_CKD12	IRI_48h	0.3248	0.3515	cross_species	cat	iri	False		0.811	0.0	0.8966	0.3976	0.3623	0.7056	False	0.6976	0.8172		False
cat_CKD12	IRI_72h	0.3174	0.3272	cross_species	cat	iri	False		0.7614	0.0	0.8806	0.4154	0.3604	0.7245	False	0.6215	0.7656		False
cat_CKD12	IRI_7d	0.3639	0.4368	cross_species	cat	iri	False		0.8223	0.0	0.9028	0.4413	0.4028	0.7792	False	0.7164	0.8288		False
cat_CKD12	IRI_14d	0.3285	0.368	cross_species	cat	iri	False		0.801	0.0	0.8876	0.4089	0.37	0.7475	False	0.6881	0.8112		False
cat_CKD12	IRI_28d	0.2996	0.3191	cross_species	cat	iri	False		0.7749	0.0	0.875	0.3852	0.3424	0.7141	False	0.6521	0.7873		False
cat_CKD12	IRI_12mo	0.4265	0.4463	cross_species	cat	iri	False		0.7668	0.0	0.8651	0.5543	0.493	0.9976	False	0.6349	0.7753		False
cat_CKD34	cat_med_CKD12	0.734	0.7577	within_dataset	cat	cat	False	diff_compartment_diff_stage	0.8923	0.7789	0.9279	0.8226	0.7911	0.9424	False	0.8098	0.8948	0.8881	True
cat_CKD34	cat_med_CKD34	0.8239	0.7356	within_dataset	cat	cat	False	same_stage_diff_compartment	0.7898	0.3337	0.8985	1.0409	0.9169	2.0272	True	0.6715	0.8002	0.7887	True
cat_CKD34	mouse_5D	0.2641	0.301	cross_species	cat	podtreck	False		0.9208	0.8658	0.9456	0.2868	0.2793	0.3051	False	0.8541	0.921		False
cat_CKD34	mouse_2W	0.363	0.438	cross_species	cat	podtreck	False		0.9406	0.8869	0.9639	0.3859	0.3766	0.4093	False	0.8904	0.9408		False
cat_CKD34	mouse_3W	0.3266	0.3928	cross_species	cat	podtreck	False		0.9138	0.8187	0.9488	0.3574	0.3442	0.3989	False	0.8631	0.926		False
cat_CKD34	IRI_2h	0.138	0.1437	cross_species	cat	iri	False		0.8494	0.6962	0.901	0.1625	0.1532	0.1983	False	0.7475	0.8549		False
cat_CKD34	IRI_4h	0.2356	0.2346	cross_species	cat	iri	False		0.8953	0.7534	0.9291	0.2632	0.2536	0.3127	False	0.8113	0.8958		False
cat_CKD34	IRI_24h	0.3796	0.4173	cross_species	cat	iri	False		0.9262	0.8549	0.9525	0.4098	0.3985	0.444	False	0.8678	0.9286		False
cat_CKD34	IRI_48h	0.3847	0.3666	cross_species	cat	iri	False		0.9071	0.8415	0.9418	0.4242	0.4085	0.4572	False	0.8362	0.9106		False
