state	curve	n_case	n_ctrl	r	n_case_avail	n_ctrl_avail	n_max
cat_CKD12	both	1	1	0.16	8	6	3
cat_CKD12	both	2	2	0.3046	8	6	3
cat_CKD12	both	3	3	0.4618	8	6	3
cat_CKD12	ctrl_only	1	1	0.1926	8	6	3
cat_CKD12	ctrl_only	1	2	0.1521	8	6	3
cat_CKD12	ctrl_only	1	3	0.1702	8	6	3
cat_CKD34	both	1	1	0.5411	7	6	3
cat_CKD34	both	2	2	0.7122	7	6	3
cat_CKD34	both	3	3	0.7964	7	6	3
cat_CKD34	ctrl_only	1	1	0.5476	7	6	3
cat_CKD34	ctrl_only	1	2	0.6107	7	6	3
cat_CKD34	ctrl_only	1	3	0.6067	7	6	3
cat_med_CKD12	both	1	1	0.5218	7	6	3
cat_med_CKD12	both	2	2	0.6948	7	6	3
cat_med_CKD12	both	3	3	0.8011	7	6	3
cat_med_CKD12	ctrl_only	1	1	0.5102	7	6	3
cat_med_CKD12	ctrl_only	1	2	0.5495	7	6	3
cat_med_CKD12	ctrl_only	1	3	0.6236	7	6	3
cat_med_CKD34	both	1	1	0.3509	5	6	2
cat_med_CKD34	both	2	2	0.4847	5	6	2
cat_med_CKD34	ctrl_only	1	1	0.3518	5	6	2
cat_med_CKD34	ctrl_only	1	2	0.3451	5	6	2
cat_med_CKD34	ctrl_only	1	3	0.3292	5	6	2
mouse_5D	both	1	1	0.8771	3	3	1
mouse_5D	ctrl_only	1	1	0.8771	3	3	1
mouse_2W	both	1	1	0.9768	3	3	1
mouse_2W	ctrl_only	1	1	0.9768	3	3	1
mouse_3W	both	1	1	0.7121	3	3	1
mouse_3W	ctrl_only	1	1	0.7077	3	3	1
IRI_2h	both	1	1	0.4256	3	6	1
IRI_2h	ctrl_only	1	1	0.4386	3	6	1
IRI_2h	ctrl_only	1	2	0.6369	3	6	1
IRI_2h	ctrl_only	1	3	0.6535	3	6	1
IRI_4h	both	1	1	0.5363	3	6	1
IRI_4h	ctrl_only	1	1	0.487	3	6	1
IRI_4h	ctrl_only	1	2	0.7702	3	6	1
IRI_4h	ctrl_only	1	3	0.7872	3	6	1
IRI_24h	both	1	1	0.7971	3	6	1
IRI_24h	ctrl_only	1	1	0.7967	3	6	1
IRI_24h	ctrl_only	1	2	0.9178	3	6	1
IRI_24h	ctrl_only	1	3	0.9241	3	6	1
IRI_48h	both	1	1	0.7118	3	6	1
IRI_48h	ctrl_only	1	1	0.7144	3	6	1
IRI_48h	ctrl_only	1	2	0.8253	3	6	1
IRI_48h	ctrl_only	1	3	0.8299	3	6	1
IRI_72h	both	1	1	0.6011	3	6	1
IRI_72h	ctrl_only	1	1	0.6119	3	6	1
IRI_72h	ctrl_only	1	2	0.6476	3	6	1
IRI_72h	ctrl_only	1	3	0.6814	3	6	1
IRI_7d	both	1	1	0.7419	3	6	1
IRI_7d	ctrl_only	1	1	0.7552	3	6	1
IRI_7d	ctrl_only	1	2	0.8797	3	6	1
IRI_7d	ctrl_only	1	3	0.8969	3	6	1
IRI_14d	both	1	1	0.703	3	6	1
IRI_14d	ctrl_only	1	1	0.703	3	6	1
IRI_14d	ctrl_only	1	2	0.7663	3	6	1
IRI_14d	ctrl_only	1	3	0.7749	3	6	1
IRI_28d	both	1	1	0.5216	3	6	1
IRI_28d	ctrl_only	1	1	0.5229	3	6	1
IRI_28d	ctrl_only	1	2	0.6942	3	6	1
IRI_28d	ctrl_only	1	3	0.7205	3	6	1
IRI_12mo	both	1	1	0.6518	3	3	1
IRI_12mo	ctrl_only	1	1	0.6518	3	3	1
